,books,clusters,embedding1,embedding2
0,book:Raiders_of_the_Nile,cluster3,-0.9894956,0.12868017
1,book:Street_Magic,cluster0,0.35957965,-0.28790343
2,book:Encyclopedia_of_Buddhist_Arts,cluster1,1.5246325,-0.1710258
3,book:Yakov_and_the_Seven_Thieves,cluster3,-1.0072706,-0.20133667
4,"book:The_Princess_Diaries,_Volume_VII_and_3/4:_Valentine_Princess",cluster0,0.33706722,-0.36001927
5,book:The_Gray_Prince,cluster3,-1.0883683,-0.29686797
6,book:Espedair_Street,cluster1,0.8414459,0.026282256
7,book:Foal's_Bread,cluster1,0.8929789,-0.018788766
8,book:The_Machinery_of_Freedom,cluster0,0.43119487,-0.207904
9,book:Virtual_Unrealities,cluster1,1.2208545,-0.21731025
10,book:Zen_and_the_Art_of_Motorcycle_Maintenance,cluster3,-1.0156788,-0.39303145
11,book:The_Vampire_Lestat,cluster0,0.3362341,-0.45516258
12,book:Well-Tempered_Clavicle,cluster0,0.32397386,-0.15933569
13,book:Debt_of_Honor,cluster0,0.27886993,-0.15071128
14,book:Passion's_Promise,cluster0,0.47458628,-0.4365162
15,book:Going_Bovine,cluster3,-1.1568637,-0.084228024
16,book:Bengal_Nights,cluster5,-0.7168364,-0.024225572
17,book:Insomnia_(novel),cluster0,0.23074275,-0.339492
18,book:The_Lifecycle_of_Software_Objects,cluster3,-1.1797075,-0.39454535
19,book:Blood_and_Smoke,cluster3,-1.0453144,-0.17149726
20,book:A_Wind_in_the_Door,cluster3,-1.0094429,0.061342333
21,"book:Our_Enemy,_the_State",cluster3,-0.62751895,-0.33699873
22,book:Star_Maker,cluster2,0.6467155,0.5842528
23,book:The_Twyborn_Affair,cluster1,0.86388785,0.16635528
24,book:The_Whole_Truth_(novel),cluster0,0.29913983,-0.32741392
25,book:Harry_Potter_and_the_Chamber_of_Secrets,cluster4,-0.72253454,0.8215114
26,book:Dragon_Seed_(novel),cluster5,-0.30548573,0.45481753
27,book:The_Sweet_Smell_of_Psychosis,cluster2,1.1193937,0.9540747
28,book:The_Children_of_Húrin,cluster2,0.6177034,0.7718488
29,book:Kaleidoscope_(novel),cluster3,-1.2434708,-0.13140312
30,book:One_More_for_the_Road,cluster0,0.33890337,-0.3878537
31,book:Be_Here_Now_(book),cluster5,-0.22646467,0.26975712
32,book:How_Angel_Peterson_Got_His_Name,cluster0,0.3160561,-0.5124488
33,book:The_God_of_the_Hive,cluster3,-1.1457996,-0.29211545
34,book:This_Perfect_Day,cluster3,-0.9008221,0.044132728
35,book:The_Feast_of_the_Goat,cluster1,2.1865785,0.28317237
36,book:Crime_Wave_(book),cluster3,-1.2863787,-0.18678789
37,book:Point_Blanc,cluster4,-1.0861356,0.78125256
38,book:Gideon's_Spies,cluster5,-0.5129562,0.40244123
39,book:Mars_trilogy,cluster0,0.32152408,-0.39766085
40,book:Tale_of_the_Tribe,cluster0,0.5184376,-0.57365346
41,book:Stardance,cluster0,0.765931,-0.12517068
