chord,chordLabel
http://iburakov.me/ontologies/chord-progressions#%23I%28add9%29,#I(add9)
http://iburakov.me/ontologies/chord-progressions#%23I42%28b5%29,#I42(b5)
http://iburakov.me/ontologies/chord-progressions#%23II64,#II64
http://iburakov.me/ontologies/chord-progressions#%23II7%28b5%29,#II7(b5)
http://iburakov.me/ontologies/chord-progressions#%23III%2B42%28%235%29,#III+42(#5)
http://iburakov.me/ontologies/chord-progressions#%23III%2B43%28%235%29,#III+43(#5)
http://iburakov.me/ontologies/chord-progressions#%23IV43,#IV43
http://iburakov.me/ontologies/chord-progressions#%23IV7%28add13%29,#IV7(add13)
http://iburakov.me/ontologies/chord-progressions#%23IV9%28b5%29,#IV9(b5)
http://iburakov.me/ontologies/chord-progressions#%23V7,#V7
http://iburakov.me/ontologies/chord-progressions#%23VI64,#VI64
http://iburakov.me/ontologies/chord-progressions#%23VI64sus4,#VI64sus4
http://iburakov.me/ontologies/chord-progressions#%23VII6,#VII6
http://iburakov.me/ontologies/chord-progressions#%23VIsus4,#VIsus4
http://iburakov.me/ontologies/chord-progressions#%23i%C3%B87%28b5%239%29,#iø7(b5#9)
http://iburakov.me/ontologies/chord-progressions#%23i65,#i65
http://iburakov.me/ontologies/chord-progressions#%23ii%C3%B8%28b5b9%29,#iiø(b5b9)
http://iburakov.me/ontologies/chord-progressions#%23ii%C3%B865,#iiø65
http://iburakov.me/ontologies/chord-progressions#%23iii%28%235%2311%29,#iii(#5#11)
http://iburakov.me/ontologies/chord-progressions#%23iii%28%235%239%29,#iii(#5#9)
http://iburakov.me/ontologies/chord-progressions#%23iii%28%235b13%29,#iii(#5b13)
http://iburakov.me/ontologies/chord-progressions#%23iii%28%235b9%29,#iii(#5b9)
http://iburakov.me/ontologies/chord-progressions#%23iii%28%239%2311%29,#iii(#9#11)
http://iburakov.me/ontologies/chord-progressions#%23iii%28b5%2311%29,#iii(b5#11)
http://iburakov.me/ontologies/chord-progressions#%23iii%28b5%239%29,#iii(b5#9)
http://iburakov.me/ontologies/chord-progressions#%23iii%28b5b13%29,#iii(b5b13)
http://iburakov.me/ontologies/chord-progressions#%23iii%28b5b9%29,#iii(b5b9)
http://iburakov.me/ontologies/chord-progressions#%23iii%28b9%2311%29,#iii(b9#11)
http://iburakov.me/ontologies/chord-progressions#%23iii11,#iii11
http://iburakov.me/ontologies/chord-progressions#%23iii7%28add11%29,#iii7(add11)
http://iburakov.me/ontologies/chord-progressions#%23iiio%28%2311b13%29,#iiio(#11b13)
http://iburakov.me/ontologies/chord-progressions#%23iiio%28%239b13%29,#iiio(#9b13)
http://iburakov.me/ontologies/chord-progressions#%23iiio%28b5%29,#iiio(b5)
http://iburakov.me/ontologies/chord-progressions#%23iiio%28b9b13%29,#iiio(b9b13)
http://iburakov.me/ontologies/chord-progressions#%23iiio%28no3%29,#iiio(no3)
http://iburakov.me/ontologies/chord-progressions#%23iiio42,#iiio42
http://iburakov.me/ontologies/chord-progressions#%23iiio42sus4,#iiio42sus4
http://iburakov.me/ontologies/chord-progressions#%23iiisus2,#iiisus2
http://iburakov.me/ontologies/chord-progressions#%23iiisus4,#iiisus4
http://iburakov.me/ontologies/chord-progressions#%23iio%28%239%2311%29,#iio(#9#11)
http://iburakov.me/ontologies/chord-progressions#%23iio%28b5%239%29,#iio(b5#9)
http://iburakov.me/ontologies/chord-progressions#%23iio%28b5b9%29,#iio(b5b9)
http://iburakov.me/ontologies/chord-progressions#%23iio%28b9%2311%29,#iio(b9#11)
http://iburakov.me/ontologies/chord-progressions#%23iob11,#iob11
http://iburakov.me/ontologies/chord-progressions#%23iv%C3%B8%28%2311b13%29,#ivø(#11b13)
http://iburakov.me/ontologies/chord-progressions#%23iv%C3%B8%28%239b13%29,#ivø(#9b13)
http://iburakov.me/ontologies/chord-progressions#%23iv%C3%B8%28b5b13%29,#ivø(b5b13)
http://iburakov.me/ontologies/chord-progressions#%23iv%C3%B8%28b9b13%29,#ivø(b9b13)
http://iburakov.me/ontologies/chord-progressions#%23iv%C3%B843%28%239%29,#ivø43(#9)
http://iburakov.me/ontologies/chord-progressions#%23iv%C3%B87%28add11%29,#ivø7(add11)
http://iburakov.me/ontologies/chord-progressions#%23iv%C3%B87%28no3%29,#ivø7(no3)
http://iburakov.me/ontologies/chord-progressions#%23iv64%28%235%29,#iv64(#5)
http://iburakov.me/ontologies/chord-progressions#%23iv7%28add11%29,#iv7(add11)
http://iburakov.me/ontologies/chord-progressions#%23iv7%28add11%29%28%235%29,#iv7(add11)(#5)
http://iburakov.me/ontologies/chord-progressions#%23ivo%28%239%2311%29,#ivo(#9#11)
http://iburakov.me/ontologies/chord-progressions#%23ivo%28b5%239%29,#ivo(b5#9)
http://iburakov.me/ontologies/chord-progressions#%23ivo%28b5b9%29,#ivo(b5b9)
http://iburakov.me/ontologies/chord-progressions#%23ivo%28b9%2311%29,#ivo(b9#11)
http://iburakov.me/ontologies/chord-progressions#%23ivo%28no3%29,#ivo(no3)
http://iburakov.me/ontologies/chord-progressions#%23ivo43%28no3%29,#ivo43(no3)
http://iburakov.me/ontologies/chord-progressions#%23ivob7%28no3%29,#ivob7(no3)
http://iburakov.me/ontologies/chord-progressions#%23ivob7%28no5%29,#ivob7(no5)
http://iburakov.me/ontologies/chord-progressions#%23ivsus2,#ivsus2
http://iburakov.me/ontologies/chord-progressions#%23ivsus4,#ivsus4
http://iburakov.me/ontologies/chord-progressions#%23v%C3%B8%28b5b13%29,#vø(b5b13)
http://iburakov.me/ontologies/chord-progressions#%23v%C3%B86%28add9%29,#vø6(add9)
http://iburakov.me/ontologies/chord-progressions#%23v65,#v65
http://iburakov.me/ontologies/chord-progressions#%23vi%28%2311b13%29,#vi(#11b13)
http://iburakov.me/ontologies/chord-progressions#%23vi%28%239b13%29,#vi(#9b13)
http://iburakov.me/ontologies/chord-progressions#%23vi%28b9b13%29,#vi(b9b13)
http://iburakov.me/ontologies/chord-progressions#%23vi%28no3no5%29,#vi(no3no5)
http://iburakov.me/ontologies/chord-progressions#%23vi%C3%B811,#viø11
http://iburakov.me/ontologies/chord-progressions#%23vi%C3%B865%28b5%29,#viø65(b5)
http://iburakov.me/ontologies/chord-progressions#%23vi%C3%B87%28add11%29,#viø7(add11)
http://iburakov.me/ontologies/chord-progressions#%23vi42,#vi42
http://iburakov.me/ontologies/chord-progressions#%23vi7%28no5%29,#vi7(no5)
http://iburakov.me/ontologies/chord-progressions#%23vi7sus2%28no5%29,#vi7sus2(no5)
http://iburakov.me/ontologies/chord-progressions#%23vii%28no3%29,#vii(no3)
http://iburakov.me/ontologies/chord-progressions#%23vii%C3%B8%28add9%29,#viiø(add9)
http://iburakov.me/ontologies/chord-progressions#%23vii43,#vii43
http://iburakov.me/ontologies/chord-progressions#%23vii6%28%235%29,#vii6(#5)
http://iburakov.me/ontologies/chord-progressions#%23vii6%28no5%29,#vii6(no5)
http://iburakov.me/ontologies/chord-progressions#%23vii64%28no3%29,#vii64(no3)
http://iburakov.me/ontologies/chord-progressions#%23viio64%28no3%29,#viio64(no3)
http://iburakov.me/ontologies/chord-progressions#%23viiob7%28add13%29,#viiob7(add13)
http://iburakov.me/ontologies/chord-progressions#%23vio%28%239%2311%29,#vio(#9#11)
http://iburakov.me/ontologies/chord-progressions#%23vio%28b5%239%29,#vio(b5#9)
http://iburakov.me/ontologies/chord-progressions#%23vio%28b5b13%29,#vio(b5b13)
http://iburakov.me/ontologies/chord-progressions#%23vio%28b5b9%29,#vio(b5b9)
http://iburakov.me/ontologies/chord-progressions#%23vio%28b9%2311%29,#vio(b9#11)
http://iburakov.me/ontologies/chord-progressions#%23vio65,#vio65
http://iburakov.me/ontologies/chord-progressions#%23vo%28%239%2311%29,#vo(#9#11)
http://iburakov.me/ontologies/chord-progressions#%23vo%28b5%239%29,#vo(b5#9)
http://iburakov.me/ontologies/chord-progressions#%23vo%28b5b9%29,#vo(b5b9)
http://iburakov.me/ontologies/chord-progressions#%23vo%28b9%2311%29,#vo(b9#11)
http://iburakov.me/ontologies/chord-progressions#%23vo43,#vo43
http://iburakov.me/ontologies/chord-progressions#%23vob7%28no3%29,#vob7(no3)
http://iburakov.me/ontologies/chord-progressions#I,I
http://iburakov.me/ontologies/chord-progressions#i,i
http://iburakov.me/ontologies/chord-progressions#vi,vi
http://iburakov.me/ontologies/chord-progressions#IV,IV
http://iburakov.me/ontologies/chord-progressions#v6,v6
http://iburakov.me/ontologies/chord-progressions#i7,i7
http://iburakov.me/ontologies/chord-progressions#i%28no3no5%29,i(no3no5)
http://iburakov.me/ontologies/chord-progressions#ii7,ii7
http://iburakov.me/ontologies/chord-progressions#III,III
http://iburakov.me/ontologies/chord-progressions#VI7,VI7
http://iburakov.me/ontologies/chord-progressions#VII,VII
http://iburakov.me/ontologies/chord-progressions#viio64,viio64
http://iburakov.me/ontologies/chord-progressions#I64,I64
http://iburakov.me/ontologies/chord-progressions#I7,I7
http://iburakov.me/ontologies/chord-progressions#V7sus2,V7sus2
http://iburakov.me/ontologies/chord-progressions#vi9,vi9
http://iburakov.me/ontologies/chord-progressions#i9,i9
http://iburakov.me/ontologies/chord-progressions#ii%28add9%29,ii(add9)
http://iburakov.me/ontologies/chord-progressions#iii,iii
http://iburakov.me/ontologies/chord-progressions#V,V
http://iburakov.me/ontologies/chord-progressions#V7,V7
http://iburakov.me/ontologies/chord-progressions#iv7sus2,iv7sus2
http://iburakov.me/ontologies/chord-progressions#iv7,iv7
http://iburakov.me/ontologies/chord-progressions#VI,VI
http://iburakov.me/ontologies/chord-progressions#Isus2,Isus2
http://iburakov.me/ontologies/chord-progressions#III64,III64
http://iburakov.me/ontologies/chord-progressions#i42,i42
http://iburakov.me/ontologies/chord-progressions#ii,ii
http://iburakov.me/ontologies/chord-progressions#i%28no3%29,i(no3)
http://iburakov.me/ontologies/chord-progressions#ii6,ii6
http://iburakov.me/ontologies/chord-progressions#IV9,IV9
http://iburakov.me/ontologies/chord-progressions#iv,iv
http://iburakov.me/ontologies/chord-progressions#VI%28add9%29,VI(add9)
http://iburakov.me/ontologies/chord-progressions#iii7,iii7
http://iburakov.me/ontologies/chord-progressions#I6%28add9%29,I6(add9)
http://iburakov.me/ontologies/chord-progressions#i%28add9%29,i(add9)
http://iburakov.me/ontologies/chord-progressions#V6,V6
http://iburakov.me/ontologies/chord-progressions#IV64,IV64
http://iburakov.me/ontologies/chord-progressions#IV%28no3no5%29,IV(no3no5)
http://iburakov.me/ontologies/chord-progressions#VI%28no3no5%29,VI(no3no5)
http://iburakov.me/ontologies/chord-progressions#IV7,IV7
http://iburakov.me/ontologies/chord-progressions#V42,V42
http://iburakov.me/ontologies/chord-progressions#v7,v7
