artist,song,chordAbs,chordRel,link,keyTonic,keyScale
'Til Tuesday,Voices Carry,"['G', 'G/D', 'G', 'G/D', 'G', 'G/D', 'G', 'Bb', 'Bb/F', 'Bb', 'Bb/F', 'Bb', 'Bb/F', 'Gm7', 'G', 'G/D', 'G', 'G/D', 'G', 'G/D', 'G', 'Bb', 'Bb/F', 'Bb', 'Bb/F', 'Bb', 'Bb/F', 'Gm7', 'G', 'G/D', 'G', 'G/D', 'G', 'G/D', 'G', 'Bb', 'Bb/F', 'Bb', 'Bb/F', 'Bb', 'Bb/F', 'Gm7', 'G', 'G/D', 'G', 'G/D', 'G', 'G/D', 'G', 'Bb', 'Bb/F', 'Bb', 'Bb/F', 'Bb', 'Bb/F', 'Gm7']","['I', 'I64', 'I', 'I64', 'I', 'I64', 'I', 'IV', 'IV64', 'IV', 'IV64', 'IV', 'IV64', 'i7', 'I', 'I64', 'I', 'I64', 'I', 'I64', 'I', 'IV', 'IV64', 'IV', 'IV64', 'IV', 'IV64', 'i7', 'I', 'I64', 'I', 'I64', 'I', 'I64', 'I', 'IV', 'IV64', 'IV', 'IV64', 'IV', 'IV64', 'i7', 'I', 'I64', 'I', 'I64', 'I', 'I64', 'I', 'IV', 'IV64', 'IV', 'IV64', 'IV', 'IV64', 'i7']",/theorytab/view/til-tuesday/voices-carry,G,mixolydian
070 Shake,Guilty Conscience,"['G', 'Em7', 'Cmaj9', 'Am11', 'D']","['I', 'vi7', 'IV9', 'ii11', 'V']",/theorytab/view/070-shake/guilty-conscience,G,major
100 gecs,Hand Crushed By A Mallet,"['C#m', 'F#m', 'A', 'G#m', 'C#m', 'F#m', 'A', 'G#m']","['i', 'iv', 'VI', 'v', 'i', 'iv', 'VI', 'v']",/theorytab/view/100-gecs/hand-crushed-by-a-mallet,C#,minor
100 gecs,Money Machine,"['D#m', 'B', 'F#', 'A#m', 'D#m', 'B', 'F#', 'A#m', 'D#m', 'B', 'F#', 'A#m', 'D#m', 'B', 'F#', 'A#m']","['vi', 'IV', 'I', 'iii', 'vi', 'IV', 'I', 'iii', 'vi', 'IV', 'I', 'iii', 'vi', 'IV', 'I', 'iii']",/theorytab/view/100-gecs/money-machine,F#,major
10cc,I'm Not In Love,"['A', 'Am', 'G#m', 'G#/B#', 'C#m', 'C#m/B', 'A', 'B', 'E', 'A/E', 'Em7', 'A/E', 'Am', 'Am/G', 'D/F#', 'G', 'G/F#', 'Em', 'Em/D', 'Am', 'Am/G', 'D/F#', 'D/E', 'E', 'A/B', 'B', 'A/B', 'B', 'A/B', 'B', 'A/B', 'B', 'B#o']","['IV', 'iv', 'iii', 'V6', 'vi', 'vi42', 'IV', 'V', 'I', 'IV64', 'i7', 'IV64', 'ii', 'ii42', 'V6', 'I', 'I42', 'vi', 'vi42', 'ii', 'ii42', 'V6', 'V11', 'V', 'V11', 'V', 'V11', 'V', 'V11', 'V', 'V11', 'V', 'viio']",/theorytab/view/10cc/im-not-in-love,E,major
10cc,The Wall Street Shuffle,"['Dm', 'Bb', 'C', 'Dm', 'G', 'G', 'G', 'Dm', 'Bb', 'C', 'Dm', 'Dm', 'Bb', 'C', 'Dm', 'G', 'G', 'G', 'Dm', 'Bb', 'C', 'Dm', 'Dm', 'Bb7', 'A7sus4', 'Dm', 'Dm', 'Bb7', 'A7sus4', 'Dm', 'F', 'Fmaj7sus2', 'Bb/F', 'Fmaj7', 'Am/E', 'Dm', 'Dm7', 'Bb/D', 'Dm7', 'Gm', 'Dm7(b5)/Ab', 'Bo', 'Dm7(b5)', 'Fm6', 'F', 'Bb/F', 'G7/F', 'F6', 'F6', 'F', 'Bb/F', 'G7/F', 'F6', 'F6', 'F7sus2', 'F7sus2', 'Fsus2sus4', 'Fsus2sus4', 'A', 'A', 'A', 'A7/G', 'A', 'Bbo', 'A', 'G', 'F', 'Dm/C', 'Dm', 'Bb7', 'A7sus4', 'Dm', 'Dm', 'Bb7', 'A7sus4', 'Dm', 'F', 'Bb/F', 'G7/F', 'Fsus2sus4', 'Fsus2sus4', 'F', 'Bb/F', 'G7/F', 'Fsus2sus4', 'Fsus2sus4', 'F7sus2', 'F', 'Fm(add9)', 'Fm', 'Db(add9)/F', 'Bbm7/F', 'Dm', 'Dm', 'Dm', 'Gm/D', 'Dm', 'Dm', 'Gm/D', 'Dm', 'Dm', 'Dm7', 'Gm/D', 'Dm', 'C', 'C', 'C', 'G/B', 'C', 'Csus2sus4', 'C', 'C', 'C', 'G/B', 'C', 'C', 'Dm', 'Dm', 'Dm', 'Gm/D', 'Dm', 'Dm', 'Gm/D', 'Dm', 'Dm', 'Dm7', 'Gm/D', 'Dm', 'C', 'C', 'C', 'G/B', 'C', 'Csus2sus4', 'C', 'C', 'C', 'G/B', 'C', 'C', 'Gm', 'Fm', 'Cm', 'Dm(b5)/C', 'Cmaj7sus4', 'F', 'C', 'Em', 'A']","['i', 'VI', 'VII', 'i', 'IV', 'IV', 'IV', 'i', 'VI', 'VII', 'i', 'i', 'VI', 'VII', 'i', 'IV', 'IV', 'IV', 'i', 'VI', 'VII', 'i', 'i', 'VI7', 'v7sus4', 'i', 'i', 'VI7', 'v7sus4', 'i', 'III', 'III7sus2', 'VI64', 'III7', 'v64', 'i', 'i7', 'VI6', 'i7', 'iv', 'iø43', '#vio', 'iø7', 'iø65', 'I', 'IV64', 'II42', 'vi65', 'vi65', 'I', 'IV64', 'II42', 'vi65', 'vi65', 'Ib7sus2', 'Ib7sus2', 'isus2sus4', 'isus2sus4', 'III', 'III', 'III', 'III42', 'III', 'ivo', 'III', 'II', 'I', 'vi42', 'vi', 'IVb7', 'iii7sus4', 'vi', 'vi', 'IVb7', 'iii7sus4', 'vi', 'I', 'IV64', 'II42', 'Isus2sus4', 'Isus2sus4', 'I', 'IV64', 'II42', 'Isus2sus4', 'Isus2sus4', 'Ib7sus2', 'I', 'i(add9)', 'i', 'bVI6(add9)', 'iv43', 'i', 'i', 'i', 'iv64', 'i', 'i', 'iv64', 'i', 'i', 'i7', 'iv64', 'i', 'VII', 'VII', 'VII', 'V6', 'VII', 'VIIsus2sus4', 'VII', 'VII', 'VII', 'V6', 'VII', 'VII', 'i', 'i', 'i', 'iv64', 'i', 'i', 'iv64', 'i', 'i', 'i7', 'iv64', 'i', 'VII', 'VII', 'VII', 'V6', 'VII', 'VIIsus2sus4', 'VII', 'VII', 'VII', 'V6', 'VII', 'VII', 'v', 'iv', 'i', 'iiø42', 'I7sus4', 'IV', 'I', '#iii', 'V']",/theorytab/view/10cc/the-wall-street-shuffle,D,minor
112,Cupid,"['Bbm/Db', 'Eb', 'Cm', 'Fm/Eb', 'Eb/G', 'Abmaj7', 'Eb', 'Bbm/Db', 'Eb', 'Cm', 'Fm/Eb', 'Eb/G', 'Abmaj7', 'Eb']","['v6', 'I', 'vi', 'ii42', 'I6', 'IV7', 'I', 'v6', 'I', 'vi', 'ii42', 'I6', 'IV7', 'I']",/theorytab/view/112/cupid,Eb,major
2 Unlimited,Get Ready For This,"['A', 'B', 'D', 'E', 'E', 'E', 'A', 'A', 'B', 'B', 'E', 'E', 'E', 'G', 'G', 'A', 'A', 'E', 'E', 'E', 'A', 'A', 'B', 'B', 'E', 'E', 'E', 'G', 'G', 'A', 'B', 'E', 'E', 'E', 'A', 'A', 'B', 'B', 'E', 'E', 'E', 'G', 'G', 'A', 'A', 'E', 'E', 'E', 'A', 'A', 'B', 'B', 'E', 'E', 'E', 'G', 'G', 'A', 'B']","['IV', 'V', 'bVII', 'I', 'I', 'I', 'IV', 'IV', 'V', 'V', 'I', 'I', 'I', 'bIII', 'bIII', 'IV', 'IV', 'I', 'I', 'I', 'IV', 'IV', 'V', 'V', 'I', 'I', 'I', 'bIII', 'bIII', 'IV', 'V', 'I', 'I', 'I', 'IV', 'IV', 'V', 'V', 'I', 'I', 'I', 'bIII', 'bIII', 'IV', 'IV', 'I', 'I', 'I', 'IV', 'IV', 'V', 'V', 'I', 'I', 'I', 'bIII', 'bIII', 'IV', 'V']",/theorytab/view/2-unlimited/get-ready-for-this,E,major
2 Unlimited,No Limit,"['Bbm', 'Bbm', 'Bbm', 'Eb', 'F', 'Bbm', 'Bbm', 'Bbm', 'Eb', 'F']","['i', 'i', 'i', 'IV', 'V', 'i', 'i', 'i', 'IV', 'V']",/theorytab/view/2-unlimited/no-limit,Bb,minor
20syl,Kodama,"['Cm7', 'F7sus4', 'Ab(add9)', 'Bb/F']","['i7', 'iv7sus4', 'VI(add9)', 'VII64']",/theorytab/view/20syl/kodama,C,minor
24kGoldn,City Of Angels,"['Bb', 'Bb', 'Ab', 'Ab', 'Ab', 'G', 'G', 'G', 'Ab', 'Ab', 'Ab', 'Bb', 'Bb', 'Ab', 'Ab', 'Ab', 'G', 'G', 'G', 'Ab', 'Ab', 'Ab']","['I', 'I', 'VII', 'VII', 'VII', 'V', 'V', 'V', 'VII', 'VII', 'VII', 'I', 'I', 'VII', 'VII', 'VII', 'V', 'V', 'V', 'VII', 'VII', 'VII']",/theorytab/view/24kgoldn/city-of-angels,Bb,mixolydian
24kGoldn,Mood,"['Eb', 'Gm', 'Bb', 'F']","['IV', 'vi', 'I', 'V']",/theorytab/view/24kgoldn/mood,Bb,major
24kGoldn,Valentino,"['Am', 'Dm', 'Em', 'Am']","['i', 'iv', 'v', 'i']",/theorytab/view/24kgoldn/valentino,A,minor
2Pac,2 of Amerikaz Most Wanted,"['D#m', 'D#m', 'D#m', 'D#m', 'B', 'D#m', 'D#m', 'D#m', 'D#m', 'B', 'D#m', 'D#m', 'D#m', 'D#m', 'B', 'D#m', 'D#m', 'D#m', 'D#m', 'B', 'D#m', 'D#m', 'D#m', 'D#m', 'B', 'D#m', 'D#m', 'D#m', 'D#m', 'B', 'D#m', 'D#m', 'D#m', 'D#m', 'B', 'D#m', 'D#m', 'D#m', 'D#m', 'B']","['i', 'i', 'i', 'i', 'VI', 'i', 'i', 'i', 'i', 'VI', 'i', 'i', 'i', 'i', 'VI', 'i', 'i', 'i', 'i', 'VI', 'i', 'i', 'i', 'i', 'VI', 'i', 'i', 'i', 'i', 'VI', 'i', 'i', 'i', 'i', 'VI', 'i', 'i', 'i', 'i', 'VI']",/theorytab/view/2pac/2-of-amerikaz-most-wanted,D#,minor
2Pac,I Ain't Mad At Cha,"['Cm(no3no5)', 'Do(no3no5)', 'Eb(no3no5)', 'Do(no3no5)', 'Cm(no3no5)', 'Gm(no3no5)', 'C7/E', 'Fm(add9)', 'Fm(no3no5)', 'Gm(no3no5)', 'Ab(no3no5)', 'Gm(no3no5)', 'Fm(no3no5)', 'Do(no3no5)', 'Bb(no3no5)', 'Bb(no3no5)', 'Cm(no3no5)', 'Do(no3no5)', 'Cm(no3no5)', 'Bb(no3no5)', 'Fm(no3no5)', 'Bb', 'Ebsus4', 'Eb', 'Dm7(add11)(b5)', 'G7(#5)']","['i(no3no5)', 'iio(no3no5)', 'III(no3no5)', 'iio(no3no5)', 'i(no3no5)', 'v(no3no5)', 'I65', 'iv(add9)', 'iv(no3no5)', 'v(no3no5)', 'VI(no3no5)', 'v(no3no5)', 'iv(no3no5)', 'iio(no3no5)', 'VII(no3no5)', 'VII(no3no5)', 'i(no3no5)', 'iio(no3no5)', 'i(no3no5)', 'VII(no3no5)', 'iv(no3no5)', 'VII', 'IIIsus4', 'III', 'iiø7(add11)', 'V+7(#5)']",/theorytab/view/2pac/i-aint-mad-at-cha,C,minor
