,title,topFeatures,price,categorie,brand
933,Avid FR-5 Brake Lever,"[['weight', '155g'], ['commuter', 'yes'], ['touring', 'yes'], ['mtb', 'yes']]",17.99,brake_lever,avid
1107,Avid Elixir and SRAM Level Disc Brake Pads,"[['compatibility', 'avid elixir range and sram level'], ['brake type', 'hydraulic disc brake'], ['commuter', 'yes'], ['touring', 'yes'], ['mtb', 'yes']]",14.99,disc_brake,avid
1113,Avid Juicy and BB7 Disc Brake Pads,"[['compatibility', 'avid juicy and bb7 disc brakes'], ['compound', 'separate sintered or organic options'], ['brake type', 'hydraulic disc brake'], ['commuter', 'yes'], ['touring', 'yes'], ['mtb', 'yes']]",20.99,disc_brake,avid
1117,Avid Guide and Trail Disc Brake Pads (Steel),"[['compatibility', 'avid guide and trail disc brakes'], ['brake type', 'hydraulic disc brake'], ['brake callipers', 'no'], ['commuter', 'yes'], ['touring', 'yes'], ['cyclocross', 'yes'], ['time trial', 'yes'], ['road', 'yes'], ['mtb', 'yes']]",15.99,disc_brake,avid
1129,Nukeproof Avid SRAM Code 2011 Disc Brake Pads 4Pk,"[['organic', 'good initial bite, very short bed-in time, low noise'], ['sintered', 'high heat resistance, superior performance in wet and dry conditions, strong and consistent braking over wide range of speeds'], ['built for', 'am/xc/dh/fr'], ['compatible with', 'avid code, code r, code rsc 2011 onwards & guide re disc brakes'], ['brake type', 'hydraulic disc brake'], ['mtb', 'yes']]",47.99,disc_brake,avid
1130,Nukeproof Avid BB5 Disc Brake Pads,"[['compatibility', 'avid bb5 disc brakes'], ['organic', 'good initial bite, very short bed-in time, low noise'], ['semi-metallic', 'strong initial bite, fade-resistant, low noise'], ['sintered', 'high heat resistance, superior performance in wet and dry conditions, strong and consistent braking over wide range of speeds'], ['built for', 'am/xc/dh/fr'], ['brake type', 'hydraulic disc brake'], ['commuter', 'yes'], ['touring', 'yes'], ['mtb', 'yes']]",7.99,disc_brake,avid
1132,LifeLine Avid Juicy-BB7 Disc Brake Pads,"[['brake type', 'hydraulic disc brake'], ['mtb', 'yes']]",4.99,disc_brake,avid
1134,Nukeproof SRAM Avid Code 2011 On Disc Brake Pads,"[['compatible with', 'avid code, code r, code rsc 2011 onwards & guide re disc brakes'], ['organic', 'good initial bite, very short bed-in time, low noise'], ['semi-metallic', 'strong initial bite, fade-resistant, low noise'], ['sintered', 'high heat resistance, superior performance in wet and dry conditions, strong and consistent braking over wide range of speeds'], ['built for', 'am/xc/dh/fr'], ['brake type', 'hydraulic disc brake'], ['commuter', 'yes'], ['touring', 'yes'], ['mtb', 'yes']]",11.99,disc_brake,avid
1135,LifeLine Avid BB5 Disc Brake Pads,"[['pad material', 'durable sintered compound'], ['brake type', 'hydraulic disc brake'], ['mtb', 'yes']]",4.99,disc_brake,avid
1139,LifeLine Avid SRAM Code 2011 Disc Brake Pads,"[['compatible with', 'avid code, code r, code rsc 2011 onwards & guide re disc brakes'], ['brake type', 'caliper'], ['mtb', 'yes']]",5.99,disc_brake,avid
1144,Nukeproof Avid Elixir-DB Disc Brake Pads 4 Pairs,"[['organic', 'good initial bite, very short bed-in time, low noise'], ['sintered', 'high heat resistance, superior performance in wet and dry conditions, strong and consistent braking over wide range of speeds'], ['built for', 'am/xc/dh/fr'], ['compatible with', 'avid elixir (1, 2, 3, 5, 7, r & cr)/db, sram xx/xo, trickstuff cleg 2 disc brakes']]",32.99,disc_brake,avid
1147,Avid Level Disc Brake Pads,"[['pad type', 'organic with steel backplate'], ['compatibility', 'avid'], ['part number', 'hdbp5035031'], ['brake type', 'hydraulic disc brake'], ['mtb', 'yes']]",18.99,disc_brake,avid
1152,Clarks Avid Juicy/BB7 Elite Disc Brake Pads,"[['material', 'mixed copper and ceramic for perfect performance during low & high speed'], ['compatibility', 'avid juicy 3,5.7 and ultimate brake system']]",8.99,disc_brake,avid
1173,Clarks Avid X0 Trail/Guide Disc Brake Pads,"[['compatibility', 'avid xo trail disc brake pads']]",9.99,disc_brake,avid
1203,Avid Code Disc Brake Pads,"[['compatibility', 'avid code and sram guide re disc brakes (suits 2011 onwards brake calipers only)'], ['compound', 'sintered and organic options'], ['brake type', 'hydraulic disc brake'], ['commuter', 'yes'], ['touring', 'yes'], ['mtb', 'yes']]",16.99,disc_brake,avid
1211,Swissstop Avid Code R Disc Brake Pads,"[['fits', 'avid - code r 2011']]",17.49,disc_brake,avid
1243,Avid IS Bracket Disc Brake Adapter,"[['commuter', 'yes'], ['touring', 'yes'], ['cyclocross', 'yes'], ['time trial', 'yes'], ['road', 'yes'], ['mtb', 'yes']]",10.99,disc_brake,avid
1248,Avid Post Mount Disc Brake Adapter,"[['commuter', 'yes'], ['touring', 'yes'], ['cyclocross', 'yes'], ['time trial', 'yes'], ['road', 'yes'], ['mtb', 'yes']]",14.99,disc_brake,avid
1289,Avid Disc Brake Spacer Set and Hardware,"[['commuter', 'yes'], ['touring', 'yes'], ['cyclocross', 'yes'], ['time trial', 'yes'], ['road', 'yes'], ['mtb', 'yes']]",25.99,disc_brake,avid
1331,Avid Juicy Disc Brake Bleed Block,"[['use', 'mountain bike (mtb)'], ['compatibility', 'avid juicy 05-07; avid juicy 3'], ['type', 'disc brake bleed block'], ['brake type', 'hydraulic disc brake'], ['mtb', 'yes']]",3.99,disc_brake,avid
