tier	vehicleTitle	hp	dmgPerShot	dpm	accuracy	aimTime	enginePowerDensity	speed	viewRange
10	Т-62А	1950	320	2909	0,34	2	15,68	50	400
10	Объект_907	2000	320	2953	0,36	2	16,94	55	400
10	Объект_140	1900	320	2909	0,35	2,1	16,11	55	400
10	Объект_430У	2000	440	2588	0,4	2,3	14,29	50	400
10	К-91	1950	320	3047	0,33	1,7	19,11	55	410
10	Т-22_ср.	1900	320	2560	0,38	2,1	20,83	55	400
10	ИС-4	2500	390	2127	0,44	2,9	12,5	43	400
10	ИС-7	2400	490	2145	0,4	2,9	17,6	59,6	400
10	Объект_705А	2450	650	2154	0,44	2,8	15	40	390
10	Объект_277	2200	490	2352	0,38	2,7	17,27	55	400
10	СТ-II	2500	440	2256	0,4	3	12,12	40	390
10	Объект_780	2200	530	2271	0,35	1,9	17,47	45	410
10	Объект_279_ранний	2400	440	2514	0,36	2,3	14,17	40	400
10	Объект_260	2100	440	2400	0,35	2,2	19,58	60	400
10	Объект_268	1950	750	2727	0,33	2,7	15,69	48	370
10	Объект_268_Вариант_4	2000	650	2294	0,42	2,5	18	50	370
10	Объект_268_Вариант_5	2000	750	2295	0,36	3	15	48	360
10	E_50_Ausf._M	2050	390	2437	0,3	2,1	19,26	60	400
10	Leopard_1	1850	420	2709	0,29	1,7	20,75	70	410
10	Maus	3000	490	2210	0,36	2,1	9,26	20	400
10	E_100	2700	530	2650	0,39	2,5	9,25	30	400
10	Pz.Kpfw._VII	2500	560	2100	0,37	2,6	10	33	400
10	VK_72.01_(K)	2500	750	2250	0,4	2,9	10	33	400
10	Jagdpanzer_E_100	2200	1	0502	451	0,35	2,7	8,96	30	390
10	Grille_15	1800	750	2500	0,27	1,5	21,25	60	390
10	M48A5_Patton	2000	390	2802	0,36	1,9	16,97	45	420
10	M60	2000	390	2659	0,33	1,6	20,53	60	420
10	T95E6	2150	400	3000	0,38	2	18,33	56,3	410
10	T110E5	2200	400	2727	0,35	2	16,28	37	400
10	T57_Heavy_Tank	2250	400	3096	0,35	2,9	14,88	35,4	400
10	M-V-Y	2200	360	2650	0,35	2	18,75	40	400
10	T110E4	2000	750	2307	0,37	2,9	13,67	35	390
10	T110E3	2050	750	2647	0,36	2,5	11,71	24	390
10	121	2050	440	2750	0,35	2,5	16,67	56	400
10	121B	1950	390	2888	0,33	2,2	17,5	55	420
10	113	2300	440	2640	0,37	2,8	16,67	50	400
10	WZ-111_model_5A	2200	490	2625	0,39	2,5	15	50	400
10	WZ-111_Qilin	2200	490	2625	0,39	2,5	15	50	400
10	113_Beijing_Opera	2300	440	2640	0,37	2,8	16,67	50	400
10	WZ-113G_FT	2100	750	2647	0,38	2,5	11,82	38	390
10	114_SP2	2000	650	2708	0,32	2	15,56	45	390
10	Bat.-Châtillon_25_t	1800	240	2460	0,38	2,3	29,41	65	400
10	AMX_30_B	1900	390	3000	0,36	2	20	65	410
10	AMX_50_B	2100	400	2560	0,35	2,5	19,29	65	400
10	AMX_M4_mle._54	2200	400	2400	0,33	1,8	15,02	35	390
10	AMX_50_Foch_(155)	1850	750	2250	0,36	3	17,36	50	380
10	AMX_50_Foch_B	1850	400	3000	0,34	2,3	17,8	50	380
10	Centurion_Action_X	1950	390	2720	0,32	2,1	18,91	53	410
10	FV215b	2500	400	2758	0,33	1,7	13,57	34,3	410
10	Super_Conqueror	2400	400	2758	0,33	2	12,34	34,3	400
10	T95/FV4201_Chieftain	2200	440	2514	0,35	2,1	16,67	46	410
10	FV215b_(183)	2000	1	1502	300	0,4	3,4	13,33	34,3	390
10	FV4005_Stage_II	1850	1	1502	300	0,42	3,7	18,62	32	390
10	FV217_Badger	2100	480	3388	0,3	1,7	14,62	30	390
10	STB-1	2000	360	3042	0,37	2	25,4	50	400
10	Type_5_Heavy	2900	900	2700	0,47	2,9	9,07	25	400
10	TVP_T_50/51	1800	320	2603	0,35	2,1	25	60	410
10	Vz._55	2100	490	2625	0,35	2,3	15,48	50	390
10	UDES_15/16	1950	440	2808	0,35	2,2	19,06	50	390
10	Kranvagn	2000	440	2596	0,4	2,5	18,08	45	390
10	Strv_103B	1800	390	3342	0,3	3	18,11	50	360
10	CS-63	2000	390	2752	0,36	2,3	18,12	55	400
10	60TP_Lewandowskiego	2600	750	2307	0,38	3	12,97	35	390
10	Progetto_M40_mod._65	1900	360	2160	0,35	2,5	18,75	65	400
10	Carro_da_Combattimento_45_t	1900	400	2400	0,38	3	17,78	55	400
10	Rinoceronte	2000	490	1872	0,33	2	15,65	40	390
10	Controcarro_3_Minotauro	2100	530	2839	0,44	2,3	12,17	30	390
9	Т-54	1550	250	1704	0,39	2,9	18,24	56	390
9	Объект_430_Вариант_II	1500	320	2526	0,36	2,3	15,51	55	390
9	Объект_430	1800	390	2412	0,42	2,5	13,67	50	380
9	СТ-I	1800	390	1950	0,44	3	11,26	40	360
9	Т-10	1700	390	1983	0,46	3,4	13,98	50	380
9	Объект_257	1800	390	1759	0,4	3,1	13,64	50	380
9	Объект_705	1900	390	1799	0,4	3	12,74	40	370
9	ИС-3-II	1780	300	2250	0,38	2,3	14,35	38	380
9	Объект_777_Вариант_II	1850	440	1899	0,42	2,9	15,06	40	380
9	Объект_704	1600	700	2456	0,46	2,7	14,53	37	360
9	Объект_263	1800	440	2146	0,42	2,1	14,05	55	360
9	К-91-ПТ	1600	390	2720	0,4	2,6	20,04	52	390
9	E_50	1650	135	2131	0,35	2,1	11,83	60	390
9	Leopard_Prototyp_A	1550	250	2142	0,34	2,5	17,11	65	390
9	Kunze_Panzer	1600	390	2516	0,42	2,7	21,79	65	400
9	Kampfpanzer_50_t	1750	320	2285	0,33	2	18	60	400
9	T_55A	1750	320	2493	0,33	2	20	50	395
9	VK_45.02_(P)_Ausf._B	1850	240	1870	0,34	2,9	8,28	30	390
9	E_75	1850	280	2181	0,34	2,9	8,24	40	390
9	Mäuschen	2300	440	1885	0,4	2,7	7,72	20	400
9	Jagdtiger	2100	490	2697	0,35	2,3	8,72	38	390
9	Waffenträger_auf_Pz._IV	1600	490	2773	0,35	2,1	13,39	38	370
9	M46_Patton	1600	240	1894	0,38	2	13,64	48	400
9	M103	1910	320	2133	0,38	1,9	14,89	34	370
9	T54E1	1850	240	2181	0,38	2,6	13,2	35	400
9	M-VI-Y	1700	240	2322	0,36	2	15,21	40	370
9	AE_Phase_I	1800	400	2181	0,38	2,5	16,07	35	390
9	Concept_1B	1800	400	2181	0,38	2,3	20,64	45	400
9	T30	1650	320	2341	0,39	1,7	12,62	35	380
9	T95	1800	320	2594	0,38	1,7	7,72	20	380
9	WZ-120	1650	250	1875	0,39	2,9	14,44	60	380
9	WZ-111_model_1-4	1750	390	1983	0,46	3,4	11,82	50	380
9	WZ-114	2300	530	1590	0,33	3,9	12,14	33	390
9	WZ-111G_FT	1800	560	2498	0,36	2,5	11,09	35	380
9	WZ-120G_FT	1700	560	2823	0,38	2,8	14,33	47	390
9	Bat.-Châtillon_25_t_AP	1600	240	1935	0,38	2,9	19,47	65	380
9	AMX_30_1er_prototype	1550	240	1822	0,34	2,4	22,24	65	380
9	Char_Futur_4	1750	390	1799	0,34	2,2	22,96	60	380
9	AMX_50_120	1750	240	1980	0,36	2,7	14,36	65	390
9	AMX_M4_mle._51	1800	400	2051	0,35	2,3	10,47	35	370
9	Lorraine_50_t	1750	400	1714	0,33	3	16,36	60	380
9	AMX_50_Foch	1550	400	2330	0,35	2,5	16,93	50	380
9	Centurion_Mk._7/1	1620	230	2300	0,33	2,3	12,63	50	400
9	Cobra	1600	360	1585	0,38	3,8	18,41	40	370
9	Conqueror	1850	280	2847	0,33	2,1	9,98	34,3	400
9	FV4201_Chieftain_Proto	1800	400	2000	0,37	2,7	15,6	40	390
9	FV4004_Conway	1500	400	3076	0,32	1,9	12,79	40	380
9	Tortoise	2000	280	3000	0,33	1,7	8,44	20	390
9	Type_61	1720	240	2400	0,36	2,1	18,78	45	390
9	Type_4_Heavy	2050	450	1656	0,38	2,3	6,93	25	390
9	Škoda_T_50	1550	320	2461	0,36	2,5	19,68	50	380
9	TNH_T_Vz._51	1880	320	2133	0,35	2,1	13,73	50	370
9	UDES_16	1550	360	1862	0,38	2,4	17,49	50	380
9	Emil_II	1700	360	2090	0,38	3	11,15	40	380
9	Strv_K	1850	390	1950	0,34	2,5	16,37	40	400
9	Strv_103-0	1500	390	2720	0,4	3	14,7	50	360
9	CS-59	1750	300	2142	0,4	2,5	19,36	50	380
9	50TP_Tyszkiewicza	1900	420	2016	0,38	2,6	12,54	35	370
9	Prototipo_Standard_B	1550	240	1800	0,33	2,1	17,25	65	380
9	Progetto_C50_mod._66	1750	320	1600	0,38	2,4	12,98	45	370
9	Controcarro_1_Mk._2	1840	320	2437	0,36	2	12,97	30	370
8	Т-44	1200	160	2000	0,42	2,9	17,3	51	370
8	Объект_416	1100	250	1724	0,39	2,3	16,44	50	370
8	Объект_274а	1200	320	2133	0,38	2,7	17,26	58	390
8	Т-44-100_Игровой	1350	250	2000	0,35	2	22,69	52	380
8	СТГ_Гвардеец	1350	390	1799	0,33	2,5	16,07	50	370
8	СТГ	1350	390	1799	0,33	2,5	16,07	50	370
8	Т-54_первый_образец	1300	250	1875	0,36	2,2	21,41	44	380
8	ИС-3	1450	390	1591	0,46	3,4	13,35	38	330
8	ИС-6	1550	390	2000	0,44	2,8	13,59	35	350
8	КВ-4	1600	300	1935	0,45	3,4	10,26	30	330
8	ИС-М	1400	390	1759	0,45	3,4	13,06	35	340
8	ИС-2-II	1450	180	1800	0,4	2,4	13,23	34	330
8	Объект_703_Вариант_II	1500	390	1872	0,44	3,5	12	38	350
8	Объект_252У_Защитник	1500	440	1760	0,44	3,2	13,59	35	350
8	ИС-6_Ч	1550	390	2000	0,44	2,8	13,59	35	350
8	Объект_252У	1500	440	1760	0,44	3,2	13,59	35	350
8	КВ-5	1780	300	2100	0,4	2,3	11,98	40	350
8	ИС-3А_Сапсан	1550	390	1950	0,46	3	10,61	40	350
8	ИС-5_(Объект_730)	1550	390	1857	0,46	3,2	14,27	42	360
8	ИС-3_с_МЗ	1550	390	1950	0,46	3	10,61	40	350
8	Кировец-1	1550	390	1799	0,45	3,1	15,16	42	360
8	КВ-4_Креславского	1700	320	1699	0,38	2,9	14,58	40	360
8	ИСУ-152	1200	700	2456	0,48	3,4	13,12	43	350
8	СУ-101	1100	250	2112	0,4	2,3	16,41	54	350
8	ИСУ-152К	1200	750	2368	0,43	3,5	12,72	40	350
8	СУ-130ПМ	1100	520	2294	0,35	2,3	16,67	65	360
8	Т-103	1250	440	2357	0,36	2,3	14,29	40	380
8	ИСУ-130	1000	490	2854	0,37	2,1	12,77	38	380
8	КВ-4_КТТС	1400	360	2571	0,36	2,5	12	35	350
8	Panther_II	1400	135	2025	0,35	2,3	12,4	55	380
8	Indien-Panzer	1300	220	2062	0,38	2,3	12,54	55	380
8	Kampfpanzer_07_RH	1350	200	2400	0,35	1,5	23,33	65	390
8	M48A2_Räumpanzer	1500	240	2057	0,4	1,7	13	40	380
8	Schwarzpanzer_58	1350	250	1875	0,34	2,3	17,09	50	390
8	Panther_mit_8,8_cm_L/71	1500	280	2434	0,32	2,5	15,05	46	390
8	Panzer_58	1350	250	1875	0,34	2,3	17,09	50	390
8	Panzer_58_Mutz	1350	250	1875	0,34	2,3	17,09	50	390
8	Tiger_II	1500	280	2153	0,34	2,5	9,55	38	380
8	VK_45.02_(P)_Ausf._A	1470	220	2030	0,38	2,3	11,2	38	380
8	VK_100.01_(P)	1700	320	1959	0,36	2,1	8,35	20	400
8	E_75_TS	1500	360	1911	0,38	2,5	16	45	390
8	VK_168.01_Mauerbrecher	1700	440	1760	0,4	2,7	9,52	20	400
