#FORMAT=WebAnno TSV 3.3
#T_SP=webanno.custom.Desctiption|discription


#Text=В своей геройской форме, Всемогущий из аниме "Моя геройская академия" невероятно высокий и мускулистый человек, чей дизайн напоминает героя американских комиксов.
1-1	0-1	В	_	
1-2	2-7	своей	_	
1-3	8-17	геройской	_	
1-4	18-23	форме	_	
1-5	23-24	,	_	
1-6	25-35	Всемогущий	_	
1-7	36-38	из	_	
1-8	39-44	аниме	_	
1-9	45-46	"	_	
1-10	46-49	Моя	_	
1-11	50-59	геройская	_	
1-12	60-68	академия	_	
1-13	68-69	"	_	
1-14	70-80	невероятно	_	
1-15	81-88	высокий	body type	
1-16	89-90	и	_	
1-17	91-102	мускулистый	body type	
1-18	103-110	человек	_	
1-19	110-111	,	_	
1-20	112-115	чей	_	
1-21	116-122	дизайн	_	
1-22	123-133	напоминает	_	
1-23	134-139	героя	_	
1-24	140-152	американских	_	
1-25	153-161	комиксов	_	
1-26	161-162	.	_	

#Text=Его волосы на макушке напоминают шипы, а в верхней части лица и практически по всему телу используется больше теней, чем у любого другого персонажа в сериале, независимо от времени суток, что, собственно, способствует стилизации его внешности.
2-1	163-166	Его	_	
2-2	167-173	волосы	_	
2-3	174-176	на	_	
2-4	177-184	макушке	_	
2-5	185-195	напоминают	_	
2-6	196-200	шипы	hairstyle	
2-7	200-201	,	_	
2-8	202-203	а	_	
2-9	204-205	в	_	
2-10	206-213	верхней	_	
2-11	214-219	части	_	
2-12	220-224	лица	_	
2-13	225-226	и	_	
2-14	227-238	практически	_	
2-15	239-241	по	_	
2-16	242-247	всему	_	
2-17	248-252	телу	_	
2-18	253-265	используется	_	
2-19	266-272	больше	_	
2-20	273-278	теней	_	
2-21	278-279	,	_	
2-22	280-283	чем	_	
2-23	284-285	у	_	
2-24	286-292	любого	_	
2-25	293-300	другого	_	
2-26	301-310	персонажа	_	
2-27	311-312	в	_	
2-28	313-320	сериале	_	
2-29	320-321	,	_	
2-30	322-332	независимо	_	
2-31	333-335	от	_	
2-32	336-343	времени	_	
2-33	344-349	суток	_	
2-34	349-350	,	_	
2-35	351-354	что	_	
2-36	354-355	,	_	
2-37	356-366	собственно	_	
2-38	366-367	,	_	
2-39	368-380	способствует	_	
2-40	381-391	стилизации	_	
2-41	392-395	его	_	
2-42	396-405	внешности	_	
2-43	405-406	.	_	

#Text=Геройский костюм состоит из красного, белого, синего элементов с золотистого цвета перчатками, поясом и сапогами.
3-1	407-416	Геройский	Characteristic element of clothing[1]	
3-2	417-423	костюм	Characteristic element of clothing[1]	
3-3	424-431	состоит	_	
3-4	432-434	из	_	
3-5	435-443	красного	_	
3-6	443-444	,	_	
3-7	445-451	белого	_	
3-8	451-452	,	_	
3-9	453-459	синего	_	
3-10	460-469	элементов	_	
3-11	470-471	с	_	
3-12	472-483	золотистого	Characteristic element of clothing[2]	
3-13	484-489	цвета	Characteristic element of clothing[2]	
3-14	490-500	перчатками	Characteristic element of clothing[2]	
3-15	500-501	,	_	
3-16	502-508	поясом	Characteristic element of clothing	
3-17	509-510	и	_	
3-18	511-519	сапогами	Characteristic element of clothing	
3-19	519-520	.	_	

#Text=Также он был показан без плаща.
4-1	521-526	Также	_	
4-2	527-529	он	_	
4-3	530-533	был	_	
4-4	534-541	показан	_	
4-5	542-545	без	_	
4-6	546-551	плаща	_	
4-7	551-552	.	_	

#Text=Он часто приговаривает "Мидория, мальчик мой", когда обращается к своему протеже - Изуку Мидория.
5-1	553-555	Он	_	
5-2	556-561	часто	_	
5-3	562-575	приговаривает	_	
5-4	576-577	"	_	
5-5	577-584	Мидория	Characteristic-phrase[3]	
5-6	584-585	,	Characteristic-phrase[3]	
5-7	586-593	мальчик	Characteristic-phrase[3]	
5-8	594-597	мой	Characteristic-phrase[3]	
5-9	597-598	"	_	
5-10	598-599	,	_	
5-11	600-605	когда	_	
5-12	606-616	обращается	_	
5-13	617-618	к	_	
5-14	619-625	своему	_	
5-15	626-633	протеже	_	
5-16	634-635	-	_	
5-17	636-641	Изуку	_	
5-18	642-649	Мидория	_	
5-19	649-650	.	_	
