#FORMAT=WebAnno TSV 3.3
#T_SP=webanno.custom.Desctiption|discription


#Text=Аста из аниме "Черный клевер" - мальчик невысокого роста с хорошо развитой мускулатурой.
1-1	0-4	Аста	_	
1-2	5-7	из	_	
1-3	8-13	аниме	_	
1-4	14-15	"	_	
1-5	15-21	Черный	_	
1-6	22-28	клевер	_	
1-7	28-29	"	_	
1-8	30-31	-	_	
1-9	32-39	мальчик	_	
1-10	40-50	невысокого	body type[1]	
1-11	51-56	роста	body type[1]	
1-12	57-58	с	_	
1-13	59-65	хорошо	_	
1-14	66-74	развитой	_	
1-15	75-87	мускулатурой	body type	
1-16	87-88	.	_	

#Text=У него светлые растрёпанные волосы пепельного оттенка, с вечно вздёрнутой вверх прядью по центру головы.
2-1	89-90	У	_	
2-2	91-95	него	_	
2-3	96-103	светлые	hairstyle	
2-4	104-116	растрёпанные	hairstyle	
2-5	117-123	волосы	_	
2-6	124-134	пепельного	hairstyle[2]	
2-7	135-142	оттенка	hairstyle[2]	
2-8	142-143	,	_	
2-9	144-145	с	_	
2-10	146-151	вечно	_	
2-11	152-162	вздёрнутой	hairstyle[3]	
2-12	163-168	вверх	hairstyle[3]	
2-13	169-175	прядью	hairstyle[3]	
2-14	176-178	по	_	
2-15	179-185	центру	_	
2-16	186-192	головы	_	
2-17	192-193	.	_	

#Text=Он носит чёрную головную повязку, с золотой эмблемой.
3-1	194-196	Он	_	
3-2	197-202	носит	_	
3-3	203-209	чёрную	_	
3-4	210-218	головную	hairstyle[4]	
3-5	219-226	повязку	hairstyle[4]	
3-6	226-227	,	_	
3-7	228-229	с	_	
3-8	230-237	золотой	Characteristic element of clothing[5]	
3-9	238-246	эмблемой	Characteristic element of clothing[5]	
3-10	246-247	.	_	

#Text=Самый большой шрам на животе Асты, который он получил во время боя с Марсом.
4-1	248-253	Самый	_	
4-2	254-261	большой	body type[6]	
4-3	262-266	шрам	body type[6]	
4-4	267-269	на	_	
4-5	270-276	животе	_	
4-6	277-281	Асты	_	
4-7	281-282	,	_	
4-8	283-290	который	_	
4-9	291-293	он	_	
4-10	294-301	получил	_	
4-11	302-304	во	_	
4-12	305-310	время	_	
4-13	311-314	боя	_	
4-14	315-316	с	_	
4-15	317-323	Марсом	_	
4-16	323-324	.	_	

#Text=Часто произносит свою заветную цель - "Я стану королём магов"
5-1	325-330	Часто	_	
5-2	331-341	произносит	_	
5-3	342-346	свою	_	
5-4	347-355	заветную	_	
5-5	356-360	цель	_	
5-6	361-362	-	_	
5-7	363-364	"	_	
5-8	364-365	Я	Characteristic-phrase[7]	
5-9	366-371	стану	Characteristic-phrase[7]	
5-10	372-379	королём	Characteristic-phrase[7]	
5-11	380-385	магов	Characteristic-phrase[7]	
5-12	385-386	"	_	
