#FORMAT=WebAnno TSV 3.3
#T_SP=webanno.custom.Desctiption|discription


#Text=Кальцифер из аниме "Ходячий замок" - живой огненный шар с глазами и ртом.
1-1	0-9	Кальцифер	_	
1-2	10-12	из	_	
1-3	13-18	аниме	_	
1-4	19-20	"	_	
1-5	20-27	Ходячий	_	
1-6	28-33	замок	_	
1-7	33-34	"	_	
1-8	35-36	-	_	
1-9	37-42	живой	_	
1-10	43-51	огненный	body type[1]	
1-11	52-55	шар	body type[1]	
1-12	56-57	с	_	
1-13	58-65	глазами	face	
1-14	66-67	и	_	
1-15	68-72	ртом	face	
1-16	72-73	.	_	

#Text=Обычно он оранжево-желтого цвета, но, похоже, это меняется в зависимости от его размера и эмоций.
2-1	74-80	Обычно	_	
2-2	81-83	он	_	
2-3	84-100	оранжево-желтого	Characteristic element of clothing	
2-4	101-106	цвета	_	
2-5	106-107	,	_	
2-6	108-110	но	_	
2-7	110-111	,	_	
2-8	112-118	похоже	_	
2-9	118-119	,	_	
2-10	120-123	это	_	
2-11	124-132	меняется	_	
2-12	133-134	в	_	
2-13	135-146	зависимости	_	
2-14	147-149	от	_	
2-15	150-153	его	_	
2-16	154-161	размера	_	
2-17	162-163	и	_	
2-18	164-170	эмоций	_	
2-19	170-171	.	_	

#Text=Размер Кальцифера также меняется в зависимости от типа и количества топлива, на котором он работает.
3-1	172-178	Размер	_	
3-2	179-189	Кальцифера	_	
3-3	190-195	также	_	
3-4	196-204	меняется	_	
3-5	205-206	в	_	
3-6	207-218	зависимости	_	
3-7	219-221	от	_	
3-8	222-226	типа	_	
3-9	227-228	и	_	
3-10	229-239	количества	_	
3-11	240-247	топлива	_	
3-12	247-248	,	_	
3-13	249-251	на	_	
3-14	252-259	котором	_	
3-15	260-262	он	_	
3-16	263-271	работает	_	
3-17	271-272	.	_	

#Text=У него две очень тонкие руки, которые могут немного вытягиваться.
4-1	274-275	У	_	
4-2	276-280	него	_	
4-3	281-284	две	_	
4-4	285-290	очень	_	
4-5	291-297	тонкие	body type[2]	
4-6	298-302	руки	body type[2]	
4-7	302-303	,	_	
4-8	304-311	которые	_	
4-9	312-317	могут	_	
4-10	318-325	немного	_	
4-11	326-338	вытягиваться	_	
4-12	338-339	.	_	

#Text=Любит припоминать, что он независимый демон - "Я демон и просто так не подчиняюсь никому"
5-1	340-345	Любит	_	
5-2	346-357	припоминать	_	
5-3	357-358	,	_	
5-4	359-362	что	_	
5-5	363-365	он	_	
5-6	366-377	независимый	_	
5-7	378-383	демон	_	
5-8	384-385	-	_	
5-9	386-387	"	_	
5-10	387-388	Я	Characteristic-phrase[3]	
5-11	389-394	демон	Characteristic-phrase[3]	
5-12	395-396	и	Characteristic-phrase[3]	
5-13	397-403	просто	Characteristic-phrase[3]	
5-14	404-407	так	Characteristic-phrase[3]	
5-15	408-410	не	Characteristic-phrase[3]	
5-16	411-421	подчиняюсь	Characteristic-phrase[3]	
5-17	422-428	никому	Characteristic-phrase[3]	
5-18	428-429	"	_	
