#FORMAT=WebAnno TSV 3.3
#T_SP=webanno.custom.Desctiption|discription


#Text=Эрен Йегер из аниме "Атака титанов" среднего роста и мускулистого телосложения.
1-1	0-4	Эрен	_	
1-2	5-10	Йегер	_	
1-3	11-13	из	_	
1-4	14-19	аниме	_	
1-5	20-21	"	_	
1-6	21-26	Атака	_	
1-7	27-34	титанов	_	
1-8	34-35	"	_	
1-9	36-44	среднего	body type[1]	
1-10	45-50	роста	body type[1]	
1-11	51-52	и	_	
1-12	53-65	мускулистого	body type	
1-13	66-78	телосложения	_	
1-14	78-79	.	_	

#Text=У Эрена довольно длинное округлое лицо и бирюзовый цвет глаз.
2-1	80-81	У	_	
2-2	82-87	Эрена	_	
2-3	88-96	довольно	_	
2-4	97-104	длинное	face	
2-5	105-113	округлое	face	
2-6	114-118	лицо	_	
2-7	119-120	и	_	
2-8	121-130	бирюзовый	face	
2-9	131-135	цвет	_	
2-10	136-140	глаз	_	
2-11	140-141	.	_	

#Text=Цвет волос Эрена — серо-коричневый, лицо Эрена слегка загорелое.
3-1	142-146	Цвет	_	
3-2	147-152	волос	_	
3-3	153-158	Эрена	_	
3-4	159-160	—	_	
3-5	161-176	серо-коричневый	hairstyle	
3-6	176-177	,	_	
3-7	178-182	лицо	_	
3-8	183-188	Эрена	_	
3-9	189-195	слегка	face[2]	
3-10	196-205	загорелое	face[2]	
3-11	205-206	.	_	

#Text=Любит взывать к себе и говорить "Борись!".
4-1	207-212	Любит	_	
4-2	213-220	взывать	_	
4-3	221-222	к	_	
4-4	223-227	себе	_	
4-5	228-229	и	_	
4-6	230-238	говорить	_	
4-7	239-240	"	_	
4-8	240-246	Борись	Characteristic-phrase[3]	
4-9	246-247	!	Characteristic-phrase[3]	
4-10	247-248	"	_	
4-11	248-249	.	_	
