#FORMAT=WebAnno TSV 3.3
#T_SP=webanno.custom.Desctiption|discription


#Text=Наруто Узумаки из аниме "Наруто" очень импульсивный человек.
1-1	0-6	Наруто	_	
1-2	7-14	Узумаки	_	
1-3	15-17	из	_	
1-4	18-23	аниме	_	
1-5	24-25	"	_	
1-6	25-31	Наруто	_	
1-7	31-32	"	_	
1-8	33-38	очень	_	
1-9	39-51	импульсивный	_	
1-10	52-59	человек	_	
1-11	59-60	.	_	

#Text=О таких, чаще всего говорят "простофиля", ибо Наруто - это смесь наивности, открытости, вспыльчивости, доверчивости, доброты и глупости!
2-1	61-62	О	_	
2-2	63-68	таких	_	
2-3	68-69	,	_	
2-4	70-74	чаще	_	
2-5	75-80	всего	_	
2-6	81-88	говорят	_	
2-7	89-90	"	_	
2-8	90-100	простофиля	_	
2-9	100-101	"	_	
2-10	101-102	,	_	
2-11	103-106	ибо	_	
2-12	107-113	Наруто	_	
2-13	114-115	-	_	
2-14	116-119	это	_	
2-15	120-125	смесь	_	
2-16	126-135	наивности	_	
2-17	135-136	,	_	
2-18	137-147	открытости	_	
2-19	147-148	,	_	
2-20	149-162	вспыльчивости	_	
2-21	162-163	,	_	
2-22	164-176	доверчивости	_	
2-23	176-177	,	_	
2-24	178-185	доброты	_	
2-25	186-187	и	_	
2-26	188-196	глупости	_	
2-27	196-197	!	_	

#Text=На первый взгляд, производит впечатление недалекого, но глубина его характера превосходит любого человека.
3-1	198-200	На	_	
3-2	201-207	первый	_	
3-3	208-214	взгляд	_	
3-4	214-215	,	_	
3-5	216-226	производит	_	
3-6	227-238	впечатление	_	
3-7	239-249	недалекого	_	
3-8	249-250	,	_	
3-9	251-253	но	_	
3-10	254-261	глубина	_	
3-11	262-265	его	_	
3-12	266-275	характера	_	
3-13	276-287	превосходит	_	
3-14	288-294	любого	_	
3-15	295-303	человека	_	
3-16	303-304	.	_	

#Text=Греет мечту, что он однажды станет Хокаге и часто прихвастывает, говоря "Я стану Хокаге".
4-1	305-310	Греет	_	
4-2	311-316	мечту	_	
4-3	316-317	,	_	
4-4	318-321	что	_	
4-5	322-324	он	_	
4-6	325-332	однажды	_	
4-7	333-339	станет	_	
4-8	340-346	Хокаге	_	
4-9	347-348	и	_	
4-10	349-354	часто	_	
4-11	355-368	прихвастывает	_	
4-12	368-369	,	_	
4-13	370-376	говоря	_	
4-14	377-378	"	_	
4-15	378-379	Я	_	
4-16	380-385	стану	_	
4-17	386-392	Хокаге	_	
4-18	392-393	"	_	
4-19	393-394	.	_	

#Text=Светлые волосы, что говорится "вверх тормашками".
5-1	397-404	Светлые	hairstyle	
5-2	405-411	волосы	_	
5-3	411-412	,	_	
5-4	413-416	что	_	
5-5	417-426	говорится	_	
5-6	427-428	"	_	
5-7	428-433	вверх	_	
5-8	434-444	тормашками	_	
5-9	444-445	"	_	
5-10	445-446	.	_	

#Text=Проникновенно-ярко-голубые глаза.
6-1	447-473	Проникновенно-ярко-голубые	face[1]	
6-2	474-479	глаза	face[1]	
6-3	479-480	.	_	

#Text=На щеках парня, расположились по три полоски, напоминающие лисьи усики, что иронично, учитывая то, что внутри парня обитает демон Лис!
7-1	481-483	На	_	
7-2	484-489	щеках	_	
7-3	490-495	парня	_	
7-4	495-496	,	_	
7-5	497-510	расположились	_	
7-6	511-513	по	_	
7-7	514-517	три	face[2]	
7-8	518-525	полоски	face[2]	
7-9	525-526	,	_	
7-10	527-539	напоминающие	_	
7-11	540-545	лисьи	face[3]	
7-12	546-551	усики	face[3]	
7-13	551-552	,	_	
7-14	553-556	что	_	
7-15	557-565	иронично	_	
7-16	565-566	,	_	
7-17	567-575	учитывая	_	
7-18	576-578	то	_	
7-19	578-579	,	_	
7-20	580-583	что	_	
7-21	584-590	внутри	_	
7-22	591-596	парня	_	
7-23	597-604	обитает	_	
7-24	605-610	демон	_	
7-25	611-614	Лис	_	
7-26	614-615	!	_	

#Text=Черно-оранжевый костюм, имеет на спине эмблему клана Узумаки, а протектор парня, располагается на лбу в виде повязки с двумя длинными завязками.
8-1	616-631	Черно-оранжевый	Characteristic element of clothing[4]	
8-2	632-638	костюм	Characteristic element of clothing[4]	
8-3	638-639	,	_	
8-4	640-645	имеет	_	
8-5	646-648	на	_	
8-6	649-654	спине	_	
8-7	655-662	эмблему	Characteristic element of clothing	
8-8	663-668	клана	_	
8-9	669-676	Узумаки	Characteristic element of clothing	
8-10	676-677	,	_	
8-11	678-679	а	_	
8-12	680-689	протектор	Characteristic element of clothing	
8-13	690-695	парня	_	
8-14	695-696	,	_	
8-15	697-710	располагается	_	
8-16	711-713	на	_	
8-17	714-717	лбу	_	
8-18	718-719	в	_	
8-19	720-724	виде	_	
8-20	725-732	повязки	_	
8-21	733-734	с	_	
8-22	735-740	двумя	_	
8-23	741-749	длинными	_	
8-24	750-759	завязками	_	
8-25	759-760	.	_	
