#FORMAT=WebAnno TSV 3.3
#T_SP=webanno.custom.Desctiption|discription


#Text=Поньо, чьё настоящее имя — Брунгильда, из аниме "Рыбка Поньо" - маленькая рыбка красного цвета, дочь могущественного колдуна Фудзимото и морской богини Ган мару.
1-1	0-5	Поньо	_	
1-2	5-6	,	_	
1-3	7-10	чьё	_	
1-4	11-20	настоящее	_	
1-5	21-24	имя	_	
1-6	25-26	—	_	
1-7	27-37	Брунгильда	_	
1-8	37-38	,	_	
1-9	39-41	из	_	
1-10	42-47	аниме	_	
1-11	48-49	"	_	
1-12	49-54	Рыбка	_	
1-13	55-60	Поньо	_	
1-14	60-61	"	_	
1-15	62-63	-	_	
1-16	64-73	маленькая	body type	
1-17	74-79	рыбка	body type	
1-18	80-88	красного	Characteristic element of clothing	
1-19	89-94	цвета	_	
1-20	94-95	,	_	
1-21	96-100	дочь	_	
1-22	101-116	могущественного	_	
1-23	117-124	колдуна	_	
1-24	125-134	Фудзимото	_	
1-25	135-136	и	_	
1-26	137-144	морской	_	
1-27	145-151	богини	_	
1-28	152-155	Ган	_	
1-29	156-160	мару	_	
1-30	160-161	.	_	

#Text=У нее густые рыжие волосы, и на ней всего два предмета одежды: очаровательное маленькое красное платье с пышными рукавами и большого размера пышные белые шаровары.
2-1	162-163	У	_	
2-2	164-167	нее	_	
2-3	168-174	густые	hairstyle	
2-4	175-180	рыжие	hairstyle	
2-5	181-187	волосы	_	
2-6	187-188	,	_	
2-7	189-190	и	_	
2-8	191-193	на	_	
2-9	194-197	ней	_	
2-10	198-203	всего	_	
2-11	204-207	два	_	
2-12	208-216	предмета	_	
2-13	217-223	одежды	_	
2-14	223-224	:	_	
2-15	225-239	очаровательное	_	
2-16	240-249	маленькое	Characteristic element of clothing[1]	
2-17	250-257	красное	Characteristic element of clothing[1]	
2-18	258-264	платье	Characteristic element of clothing[1]	
2-19	265-266	с	_	
2-20	267-274	пышными	Characteristic element of clothing[2]	
2-21	275-283	рукавами	Characteristic element of clothing[2]	
2-22	284-285	и	_	
2-23	286-294	большого	_	
2-24	295-302	размера	_	
2-25	303-309	пышные	_	
2-26	310-315	белые	_	
2-27	316-324	шаровары	Characteristic element of clothing	
2-28	324-325	.	_	

#Text=Она чрезвычайно любит ветчину, каждый раз приговаривая "Поньо хочет ветчины"
3-1	326-329	Она	_	
3-2	330-341	чрезвычайно	_	
3-3	342-347	любит	_	
3-4	348-355	ветчину	_	
3-5	355-356	,	_	
3-6	357-363	каждый	_	
3-7	364-367	раз	_	
3-8	368-380	приговаривая	_	
3-9	381-382	"	_	
3-10	382-387	Поньо	Characteristic-phrase[3]	
3-11	388-393	хочет	Characteristic-phrase[3]	
3-12	394-401	ветчины	Characteristic-phrase[3]	
3-13	401-402	"	_	
