#FORMAT=WebAnno TSV 3.3
#T_SP=webanno.custom.Desctiption|discription


#Text=Рюк из аниме "Тетрадь смерти" имеет довольно гуманоидную внешность.
1-1	0-3	Рюк	_	
1-2	4-6	из	_	
1-3	7-12	аниме	_	
1-4	13-14	"	_	
1-5	14-21	Тетрадь	_	
1-6	22-28	смерти	_	
1-7	28-29	"	_	
1-8	30-35	имеет	_	
1-9	36-44	довольно	_	
1-10	45-56	гуманоидную	face	
1-11	57-66	внешность	_	
1-12	66-67	.	_	

#Text=Он очень худ, у него светло-серая кожа, почти голубого цвета, торчащие чёрные волосы, тонкие серо-голубые губы и острые зубы.
2-1	68-70	Он	_	
2-2	71-76	очень	_	
2-3	77-80	худ	body type	
2-4	80-81	,	_	
2-5	82-83	у	_	
2-6	84-88	него	_	
2-7	89-101	светло-серая	body type[1]	
2-8	102-106	кожа	body type[1]	
2-9	106-107	,	_	
2-10	108-113	почти	_	
2-11	114-122	голубого	_	
2-12	123-128	цвета	_	
2-13	128-129	,	_	
2-14	130-138	торчащие	hairstyle	
2-15	139-145	чёрные	hairstyle	
2-16	146-152	волосы	_	
2-17	152-153	,	_	
2-18	154-160	тонкие	face	
2-19	161-173	серо-голубые	face[2]	
2-20	174-178	губы	face[2]	
2-21	179-180	и	_	
2-22	181-187	острые	face[3]	
2-23	188-192	зубы	face[3]	
2-24	192-193	.	_	

#Text=Его конечности ненормально длинные, и он носит кольца на пальцах.
3-1	194-197	Его	_	
3-2	198-208	конечности	body type[4]	
3-3	209-220	ненормально	body type[4]	
3-4	221-228	длинные	body type[4]	
3-5	228-229	,	_	
3-6	230-231	и	_	
3-7	232-234	он	_	
3-8	235-240	носит	_	
3-9	241-247	кольца	Characteristic element of clothing	
3-10	248-250	на	_	
3-11	251-258	пальцах	_	
3-12	258-259	.	_	

#Text=У него большие круглые жёлтые глаза с ярко-красной радужкой и крылья за спиной, которые он может убрать.
4-1	260-261	У	_	
4-2	262-266	него	_	
4-3	267-274	большие	_	
4-4	275-282	круглые	_	
4-5	283-289	жёлтые	face[5]	
4-6	290-295	глаза	face[5]	
4-7	296-297	с	_	
4-8	298-310	ярко-красной	face[6]	
4-9	311-319	радужкой	face[6]	
4-10	320-321	и	_	
4-11	322-328	крылья	Characteristic element of clothing	
4-12	329-331	за	_	
4-13	332-338	спиной	_	
4-14	338-339	,	_	
4-15	340-347	которые	_	
4-16	348-350	он	_	
4-17	351-356	может	_	
4-18	357-363	убрать	_	
4-19	363-364	.	_	

#Text=Кроме того, Бог смерти всегда носит серебряную серьгу с кулоном в виде сердца.
5-1	365-370	Кроме	_	
5-2	371-375	того	_	
5-3	375-376	,	_	
5-4	377-380	Бог	_	
5-5	381-387	смерти	_	
5-6	388-394	всегда	_	
5-7	395-400	носит	_	
5-8	401-411	серебряную	Characteristic element of clothing[7]	
5-9	412-418	серьгу	Characteristic element of clothing[7]	
5-10	419-420	с	_	
5-11	421-428	кулоном	Characteristic element of clothing[8]	
5-12	429-430	в	Characteristic element of clothing[8]	
5-13	431-435	виде	Characteristic element of clothing[8]	
5-14	436-442	сердца	Characteristic element of clothing[8]	
5-15	442-443	.	_	

#Text=Широкий браслет в виде черепа и пояс, на котором в специальном крестообразном кармане висит его собственная тетрадь.
6-1	444-451	Широкий	Characteristic element of clothing[9]	
6-2	452-459	браслет	Characteristic element of clothing[9]	
6-3	460-461	в	_	
6-4	462-466	виде	_	
6-5	467-473	черепа	_	
6-6	474-475	и	_	
6-7	476-480	пояс	Characteristic element of clothing	
6-8	480-481	,	_	
6-9	482-484	на	_	
6-10	485-492	котором	_	
6-11	493-494	в	_	
6-12	495-506	специальном	_	
6-13	507-521	крестообразном	_	
6-14	522-529	кармане	_	
6-15	530-535	висит	_	
6-16	536-539	его	_	
6-17	540-551	собственная	Characteristic element of clothing[10]	
6-18	552-559	тетрадь	Characteristic element of clothing[10]	
6-19	559-560	.	_	

#Text=Часто любит упоминать себя как "Я Рюк, бог смерти"
7-1	561-566	Часто	_	
7-2	567-572	любит	_	
7-3	573-582	упоминать	_	
7-4	583-587	себя	_	
7-5	588-591	как	_	
7-6	592-593	"	_	
7-7	593-594	Я	Characteristic-phrase[11]	
7-8	595-598	Рюк	Characteristic-phrase[11]	
7-9	598-599	,	Characteristic-phrase[11]	
7-10	600-603	бог	Characteristic-phrase[11]	
7-11	604-610	смерти	Characteristic-phrase[11]	
7-12	610-611	"	_	
