#FORMAT=WebAnno TSV 3.3
#T_SP=webanno.custom.Desctiption|discription


#Text=Савако Куронума из аниме "Достучаться до тебя" скромная и молчаливая девушка.
1-1	0-6	Савако	_	
1-2	7-15	Куронума	_	
1-3	16-18	из	_	
1-4	19-24	аниме	_	
1-5	25-26	"	_	
1-6	26-37	Достучаться	_	
1-7	38-40	до	_	
1-8	41-45	тебя	_	
1-9	45-46	"	_	
1-10	47-55	скромная	_	
1-11	56-57	и	_	
1-12	58-68	молчаливая	_	
1-13	69-76	девушка	_	
1-14	76-77	.	_	

#Text=У Савако черные волосы, по-настоящему темно-карие глаза, и большую часть времени ее обычно видят с распущенными волосами.
2-1	78-79	У	_	
2-2	80-86	Савако	_	
2-3	87-93	черные	hairstyle	
2-4	94-100	волосы	_	
2-5	100-101	,	_	
2-6	102-115	по-настоящему	_	
2-7	116-127	темно-карие	face[1]	
2-8	128-133	глаза	face[1]	
2-9	133-134	,	_	
2-10	135-136	и	_	
2-11	137-144	большую	_	
2-12	145-150	часть	_	
2-13	151-158	времени	_	
2-14	159-161	ее	_	
2-15	162-168	обычно	_	
2-16	169-174	видят	_	
2-17	175-176	с	_	
2-18	177-189	распущенными	hairstyle[2]	
2-19	190-198	волосами	hairstyle[2]	
2-20	198-199	.	_	

#Text=Ее обычно видят в юбке до колен и остальной школьной униформе.
3-1	200-202	Ее	_	
3-2	203-209	обычно	_	
3-3	210-215	видят	_	
3-4	216-217	в	_	
3-5	218-222	юбке	Characteristic element of clothing[3]	
3-6	223-225	до	Characteristic element of clothing[3]	
3-7	226-231	колен	Characteristic element of clothing[3]	
3-8	232-233	и	_	
3-9	234-243	остальной	_	
3-10	244-252	школьной	_	
3-11	253-261	униформе	_	
3-12	261-262	.	_	

#Text=Часто произносит имя своего возлюбленного "Казехая".
4-1	263-268	Часто	_	
4-2	269-279	произносит	_	
4-3	280-283	имя	_	
4-4	284-290	своего	_	
4-5	291-304	возлюбленного	_	
4-6	305-306	"	_	
4-7	306-313	Казехая	Characteristic-phrase	
4-8	313-314	"	_	
4-9	314-315	.	_	
