#FORMAT=WebAnno TSV 3.3
#T_SP=webanno.custom.Desctiption|discription


#Text=Себастьян Михаэлис из аниме "Темный дворецкий" имеет внешность высокого, статного молодого человека с черными волосами, красными глазами и бледной кожей.
1-1	0-9	Себастьян	_	
1-2	10-18	Михаэлис	_	
1-3	19-21	из	_	
1-4	22-27	аниме	_	
1-5	28-29	"	_	
1-6	29-35	Темный	_	
1-7	36-45	дворецкий	_	
1-8	45-46	"	_	
1-9	47-52	имеет	_	
1-10	53-62	внешность	_	
1-11	63-71	высокого	body type	
1-12	71-72	,	_	
1-13	73-81	статного	body type	
1-14	82-90	молодого	body type	
1-15	91-99	человека	_	
1-16	100-101	с	_	
1-17	102-109	черными	hairstyle	
1-18	110-118	волосами	_	
1-19	118-119	,	_	
1-20	120-128	красными	face[1]	
1-21	129-136	глазами	face[1]	
1-22	137-138	и	_	
1-23	139-146	бледной	body type[2]	
1-24	147-152	кожей	body type[2]	
1-25	152-153	.	_	

#Text=Как правило, он одет в типичный наряд дворецкого, состоящий из черных брюк, черных туфель, двубортного фрака на шести пуговицах и серого жилета.
2-1	154-157	Как	_	
2-2	158-165	правило	_	
2-3	165-166	,	_	
2-4	167-169	он	_	
2-5	170-174	одет	_	
2-6	175-176	в	_	
2-7	177-185	типичный	_	
2-8	186-191	наряд	Characteristic element of clothing[3]	
2-9	192-202	дворецкого	Characteristic element of clothing[3]	
2-10	202-203	,	_	
2-11	204-213	состоящий	_	
2-12	214-216	из	_	
2-13	217-223	черных	Characteristic element of clothing[4]	
2-14	224-228	брюк	Characteristic element of clothing[4]	
2-15	228-229	,	Characteristic element of clothing[4]	
2-16	230-236	черных	Characteristic element of clothing[5]	
2-17	237-243	туфель	Characteristic element of clothing[5]	
2-18	243-244	,	_	
2-19	245-256	двубортного	Characteristic element of clothing[6]	
2-20	257-262	фрака	Characteristic element of clothing[6]	
2-21	263-265	на	_	
2-22	266-271	шести	Characteristic element of clothing[7]	
2-23	272-281	пуговицах	Characteristic element of clothing[7]	
2-24	282-283	и	_	
2-25	284-290	серого	Characteristic element of clothing[8]	
2-26	291-297	жилета	Characteristic element of clothing[8]	
2-27	297-298	.	_	

#Text=На пуговицах его пиджака и манжет изображен герб дома Фантомхайв.
3-1	299-301	На	_	
3-2	302-311	пуговицах	_	
3-3	312-315	его	_	
3-4	316-323	пиджака	_	
3-5	324-325	и	_	
3-6	326-332	манжет	_	
3-7	333-342	изображен	_	
3-8	343-347	герб	Characteristic element of clothing[9]	
3-9	348-352	дома	Characteristic element of clothing[9]	
3-10	353-363	Фантомхайв	Characteristic element of clothing[9]	
3-11	363-364	.	_	

#Text=Также, он носит белые перчатки, карманные часы и прикрепленную к воротнику его пиджака булавку с гербом Фантомхайв, которую традиционно носили главные дворецкие дома.
4-1	365-370	Также	_	
4-2	370-371	,	_	
4-3	372-374	он	_	
4-4	375-380	носит	_	
4-5	381-386	белые	Characteristic element of clothing[10]	
4-6	387-395	перчатки	Characteristic element of clothing[10]	
4-7	395-396	,	_	
4-8	397-406	карманные	Characteristic element of clothing[11]	
4-9	407-411	часы	Characteristic element of clothing[11]	
4-10	412-413	и	_	
4-11	414-427	прикрепленную	_	
4-12	428-429	к	_	
4-13	430-439	воротнику	_	
4-14	440-443	его	_	
4-15	444-451	пиджака	_	
4-16	452-459	булавку	_	
4-17	460-461	с	_	
4-18	462-468	гербом	Characteristic element of clothing[12]	
4-19	469-479	Фантомхайв	Characteristic element of clothing[12]	
4-20	479-480	,	_	
4-21	481-488	которую	_	
4-22	489-500	традиционно	_	
4-23	501-507	носили	_	
4-24	508-515	главные	_	
4-25	516-525	дворецкие	_	
4-26	526-530	дома	_	
4-27	530-531	.	_	

#Text=На тыльной части левой руки Себастьяна находится его печать контракта с Сиэлем Фантомхайв.
5-1	532-534	На	_	
5-2	535-542	тыльной	_	
5-3	543-548	части	_	
5-4	549-554	левой	_	
5-5	555-559	руки	_	
5-6	560-570	Себастьяна	_	
5-7	571-580	находится	_	
5-8	581-584	его	_	
5-9	585-591	печать	body type	
5-10	592-601	контракта	_	
5-11	602-603	с	_	
5-12	604-610	Сиэлем	_	
5-13	611-621	Фантомхайв	_	
5-14	621-622	.	_	

#Text=Будучи дворецким часто произносит "Я всего лишь дворецкий"
6-1	623-629	Будучи	_	
6-2	630-639	дворецким	_	
6-3	640-645	часто	_	
6-4	646-656	произносит	_	
6-5	657-658	"	_	
6-6	658-659	Я	Characteristic-phrase[13]	
6-7	660-665	всего	Characteristic-phrase[13]	
6-8	666-670	лишь	Characteristic-phrase[13]	
6-9	671-680	дворецкий	Characteristic-phrase[13]	
6-10	680-681	"	_	
