,comment,toxic
0,"Это чтобы тебе легче было
",0.0
1,"Ты пиздабол, Стас не работал никогда ни с каким диктором. Это на 100 проц другой человек, ебаклак
",5.0
2,"УВАЖАЕМЫЕ ПОДСЛЕДСТВЕННЫЕ, ПОЖАЛУЙСТА, ВЕДИТЕ СЕБЯ КУЛЬТУРНО НА ПЫТКАХ! ПРОСИМ ВАС НЕ ОРАТЬ СЛИШКОМ ГРОМКО, ПОБЕРЕГИТЕ СВОИ ГОЛОСОВЫЕ СВЯЗКИ ВЕДИТЕ СЕБЯ ДОСТОЙНО И МУЖЕСТВЕННО, БЕРИТЕ ПРИМЕР СО СВЯТЫХ СТРАСТОТЕРПЦЕВ БОРИСА И ГЛЕБА НЕПРОИЗВОЛЬНАЯ ДЕФЕКАЦИЯ И МОЧЕИСПУСКАНИЕ З А П Р Е Щ А Е Т С Я, ШТРАФ - УБОРКА ЯЗЫКОМ НЕ СТЕСНЯЙТЕСЬ ПОДПИСЫВАТЬ ВСЕ, ЧТО ВАМ ПРЕДЛОЖАТ, ПОМНИТЕ, ЧТО ВЫ ТОЛЬКО ОТТЯГИВАЕТЕ НЕИЗБЕЖНОЕ, НАШИ ПАЛАЧИ ПРИЗНАНЫ ДИПЛОМИРОВАННЫМИ СПЕЦИАЛИСТАМИ ВО ВСЕМ МИРЕ! С УВАЖЕНИЕМ, АДМИНИСТРАЦИЯ.
",6.0
3,"Ты блять кто? И почему решил, что мне нужно твое мнение?
",5.0
4,"Обиделся? Не плачь, я же любя и по-дружески.
",0.0
5,"Вот Франция сотни десятки тысяч людей митингуют, большие потери при пресечении, а результат? Нулевой пока что. Охренненно: 7 января 2019 года на Радио классик Люк Ферри, бывший министр по делам молодежи и образования, философ, призвал стрелять по желтым жилетам и задействовать армию. Фрас суар 9.01.2019 Реакция властей: 12 февраля 2019 года премьер-министр Филипп, отвечая на вопросы депутатов Национального собрания, сообщил, что за всё время протестов с ноября 2018 года осуждены за различные правонарушения в ходе выступлений 1796 участников движения, 1422 ожидают приговора. Выданы ордера на арест (mandat de d p t) 316 человек, против более 1300 человек применена немедленная доставка в суд (comparution imm diate). 13 человек привлечены к расследованию (mise en examen) за вандальные действия в отношении Триумфальной арки 1 декабря 2018 года, ещё пятеро за поджог в тот же день полицейской префектуры в Ле-Пюи-ан-Веле. 11 февраля суд Безье приговорил одного человека к году тюремного заключения за создание препятствий движению, хищение турникетов и порчу оборудования на контрольном пункте платной автострады А9 в период между 2 и 4 февраля 2019 года 35 . 13 февраля 2019 года бывший боксёр Кристоф Деттингер приговорён исправительным судом Парижа к одному году ограничения свободы за нападение на двоих жандармов на мосту Леопольда Седара Сенгора в ходе акции жёлтых жилетов 5 января 36 . 15 февраля 2019 года один из харизматичных лидеров движения, водитель грузовика Эрик Друэ, приговорён исправительным судом Парижа к одному месяцу тюремного заключения условно и 500 евро штрафа за организацию манифестаций без предварительного уведомления (organisation de manifestations sans d claration pr alable) 37 . Короче у нас бы наверное меньше осудили, чем у них )
",0.0
6,"Хуй пойми за что тебя минусуют. Я ищу вот такую девушку - Да как ты посмел нам указывать, ко-ко-ко, это мои интересы . Что-то странная хуета: высказываешь свою позицию, оказывается ты угнетаешь девушек и вообще должен заткнуться и засунуть своё мнение в задницу.
",0.0
7,"Осторожней на сверхманёврах. В предыдущей методичке у вас было написано, что добрые арабы никогда ни с кем не воевали, только торговали пряностями, лел. Шапочку из фольги сними
",5.0
8,"vladtime Сука, что у тебя в голове?
",5.0
9,"Помню его пожалуй с 50 к подписоты, вроде как то так. Снимал простенько, без вебки, т.е ебалом не светил т было уже норм. Играл в простенькие игры, по типу майна. Самое последнее адекватное видео - было поздравительное на 300к подрисчиков, чем-то интересным чтоль веялом, тогда на тытубе не было подобных форматов аля скетчи-влоги, уже не вспомню ну, а дальше пошел полнейший тренд ец, светило ебалом, какие то скетчи со смехуечками естестна не смешными для дерградантов , кривляние. Вообщем, тащемта полная херня, а как увидел что на n-миллионов подрисчиков он устроил какой-то скучный стрим, то нахер отписался и дизу поставил.
",6.0
10,"Как у сраных ватников жопы горят, любо смотреть)
",4.0
11,"В маках есть кнопки. Только агрессивному быдлу обычно плевать на них, пока его мордой в пол не уложат.
",6.0
12,"Под видео есть ссылка на статью, почитайте. Так как дружу с семьей, где 6 детей на домашнем обучении, не верю, что всё дело в школе. Также в статье приведены факты относительно края, где все происходит, может быть совпадение, может быть притянуто за уши. НО факт есть факт.
",0.0
13,"почему ваши посты так яро заминусованы?
",0.0
14,"Туберкулез убивает - Спасибо поржал. Туберкулез у скольки? у одного-двух процентов. А у скольки присутствующих Прокрастинация??? - но она же никого не убивает, я вот сейчас коммент допишу, и с завтрашнего дня начну..... Одноклеточные умнее нас.
",6.0
15,"ррряяяяя! Пшла нахуй в свой петушиный загон, вахтёропидарашка.
",1.0
16,"В любом тоталитарном государстве, основой является удержание власти лидером государства в течение максимального срока, в начале прикрываясь законодательством, затем меняя его под предлогом чаяния народных масс. Впоследствии деформированное законодательство вместе с раскрученным маховиком надуманных статей начинает крушить всех, порой и своих же создателей. Маниакальное стремление оставаться у власти и панический страх созревания заговора среди недовольных соратников побуждало Сталина убирать всех мало-мальски авторитетных и думающих людей во власти, как потенциальных конкурентов. Рядом оставались только лизоблюды, вилявшие задницей и угодливо заглядывающие в глаза вождю, даже когда сажали и убивали членов их семей. Таких примеров тысячи, а созданный комбайн репрессий косил всех без разбора, кто то из соратников вождя успел убежать из страны, иные остались, веря в то что их авторитет и заслуги перед родиной защитят от кары, но просчитались и те и другие. Мой прадед, священник мелкой церкви после закрытия её коммунистами, ходил по домам по просьбе верующих, крестил причащал и тд. Его арестовали по 58 статье: агитация против советской власти и расстреляли через 4 дня. Семья долгие годы надеялась, что он сидит в тюрьме, как им лгали в НКВД. Какую реальную опасность представлял он для советской власти в 37 году? Понятно, что человека убили просто для отчета, дабы отрапортовать в верхах, что работа по выявлению врагов ведется успешно и враги есть. Впоследствии система отомстила и усатому , когда он пролежал в луже мочи без помощи несколько часов, а его соратники по партии то ли из страха, то ли по другим причинам не интересовались его долгим отсутствием. Так же закончил и Хрущов, вначале плясавший гопака на пьянках по прихоти Сталина, потом решив расквитаться за все унижения докладом на ХХ съезде. Верхушка, побоявшись возникновения нового диктатора по-тихому убрала его, пока он не набрал авторитета. Извиняться за репрессии конечно ни перед кем не стали, сказали, что просто ошибка вышла, с кем не бывает! На Партию не обижаются!(популярная фраза в то время). В демократических государствах облажавшемуся правительству дают под сраку, иногда даже судят и наказывают. В странах с диктатурой, запуганный народ приходит с флагами и хоругвями на площади и славит существующую власть, потом на кухнях по-традиции пьют водку и жалуются друг-другу. Тех, кто пытается открыть рот, называют пидорасами и публично высмеивают, если они продолжают выёбываться, то существует множество законных способов успокоить поциента, надолго закрыв его по статье. Статей много и судьи понятливые.
",0.0
17,"Конечно в стиле Ванги.... 1. Вы не любите себя и ваши предложения дружбы воспринимаются как просьбы подружить с вами. 2. Унылое ебало, воспринимается как болезнь на подсознании. Типа беги от больного... 3. Все стремятся дружить с людьми знакомством с которыми можно похвастаться, я не говорю про тру друзей, а вот в приятелях все стремятся выбрать интересных людей. рецепт: одеваешься максимально красиво и идёшь на мероприятие которое постоянно откладывала. И самое главное, получаешь удовольствие от новых впечатлений с ощущением, мне похуй на ваше отношение. Люди подтянуться, всегда подтягиваются, когда они вам не нужны. p.s. а за дружбу я хз, это как любовь, либо везёт либо нет
",0.0
18,"Типичный новиопский даун. А хохол без вышиванки для тебя не хохол, а узбек без тюбетейки не узбек?
",1.0
