,comment,toxic
0,"Бля такой очевидный маня мир хохло, пиздец прям клюква какая та.
",1.0
1,"Ебать даун. Ментам звони и вcе. Такие выходки обычно заканчиваютcя твоей инвалидноcть, а пизда о тебе забывает в ту же минуту, как вcе для нее заканчиваетcя c благоприятным иcходом. Еcли захотят, аноны, то накидают тебе таких геров хуеву кучу, поcмотришь и подумаешь над cвоим поведением, опущенец. Так что никому твой петушиный героизм не нужен. Оcобенно твоей мамаше, которая потом будет тебе вcю жизнь жопу подтирать.
",3.0
2,"Зачем Толик посылает Ньюс Ван отстаивать свои права в гейропейские организации, почему сам этим не займётся, за гонорар конечно, он все ходы знает, и вообще там живёт, они сейчас пошлют какого-нить рохлю, он там будет пыкаться-мыкаться.
",4.0
3,"Правильно, у рузке особый путь с духовностью и спидом как у негров, к черту этих белых идиотов, предлагаю всем русским обмазать себя углем чтобы не ассоциироваться с белыми. И правда, мы граничим, торгуем и путешествуем по белым странам, без которых бы эта страна превратилась в нищую помойку с технологиями уровня 19 века. Какие же ебаные дегенераты иногда открывают свой рот, уверен что ни у немцев, ни у поляков с французами даже и в мыслях нет зачем нам эти белые, мы не белые, особый путь кукареку , брысь отсюда дугинистское червеобразное.
",1.0
4,"Перед барином выслуживаешься холоп?
",3.0
5,"Эти существа - максимум на трансветитов тянут, вот что я хотел сказать. И то крайне жалких
",4.0
6,"Ебать злые москали кожу на его лице испортили
",1.0
7,"Как же обоссаная путинская власть всего боится.
",2.0
8,"а ты откуда Только что из пезды твоей мамки.
",3.0
9,"Двачую, непонятно откуда столько хохлов в последнее время набежало. После деанона активизировались или из соседних раковых тредов на этой доске?
",1.0
10,"Да там русачков достаточно живёт и они временами совершают преступления, но чёт не слышно про митинги и погромы русни. Наверно, потому что из 1000 русских и 1000 якутов будет 1 преступник, а из 1000 киргизов будет 400 преступников, не?
",1.0
11,"Лучше бы натаху пырнула чем няшную азиаточку-богиню, ведь мерзких натах никому не жалко
",4.0
12,"Суть: Росстат политизирован на 200 и выдаёт новости какие надо первому каналу А какие ты новости то хотел ? Независимых сми здесь нет...Что скажут -то и вещают .Демократия епт
",0.0
13,"Со второй проиграно кто вас изнасиловал арабы вы расистка!
",1.0
14,"ЕМЕЛЬЯНЕНКО БЭЙДЕР ПРОГНОЗ СТАРЫЙ МЕРИН ПРОТИВ МОЛОДОГО АМЕРИАНЦА 26 ЯНВАРЯ 2019 ГОДА
",4.0
15,"Двачую, заебал сил нет. Нахуй изгнать обоссаными тряпками
",3.0
16,"Шинка, ты чего без аватарки сегодня?
",4.0
17,"Двачую 127 Не думал, что на дваче СТОЛЬКО дегенератов
",3.0
18,"1. Старбакс понижает цены 2. Старбакс скупает точки обанкротившихся кофеен 3. Старбакс повышает цены. 4. Никто не может с этим ничего сделать, потому что выбора нет. старбакс диктует свои цены и правила. В этом задача анти-монопольной службы в том, чтобы не давать скупать монополиям критичные ресурсы.
",0.0
19,"НУ ВСЕ, сука говго щас модераторам пишу твою тему удалят нахуй к хуям говняным
",3.0
20,"БЫСТРО ПИКЧУ С ЖИРИНОВСКИМ! Вахта, хуле спим, блять!
",4.0
21,"ко ко ко как это экономически не выгодно? почитайте сколько денег получает регион от нологов, и соклько тратит на их ремонт. Там максимум процентов 20 натекает. и посмотрите какой бюжет у городов при пыняэкономике. На средний город в 500к народу где то 10-15 ккк рублей. Причем 50-70 это обязательные социальные расходы.
",0.0
22,"любой пидораха Они и сейчас так делают же, без всякой конопли. Хрюкают, что сало уронили и вот это вот все.
",1.0
23,"Решил сразу реабилитироваться и залил видос с Александром. Но уже поздно, канал хрюкана зашкварен навсегда.
",1.0
