,comment,toxic
0,"Нашёл как то работу отличную с зп в районе 50-60к, для меня это было просто супер, тк на старой я получал 15-30, обязанности все те же и условия лучше, собеседование и стажировку в 3 дня прошёл успешно я им понравился, но не пропустил сб, хотя до этого работы другой не было, а на этой косяков не было)
",0.0
1,"просто я ватсаппом никогда не пользовался, а придется ставить ради одного турнира. обида
",0.0
2,"Что б он сам здох мразь
",5.0
3,"Э че бля а? Ты че нах бл иди сюда епты.. Ты за царя гнида? Я тя щас грязь растопчу хуесос ептыбля
",4.0
4,"Я согласен, что энергия от ВИЭ на текущий момент дороже. Но объясните мне, почему правительства всех стран мира стараются развить ВИЭ?! Зачем развивать нечто, заведомо убыточное?!
",0.0
5,"Извини тебе в грязном ходить приятно?
",0.0
6,"лучше бы юбики сплинтерселл новый сделали. уроды ленивые
",6.0
7,"Убогий, как тебе, говнюку, не повезло в жизни, кругом говно и наркоманы. Живи дальше и злобствуй и плюйся своей ядовитой слюной. Побольше желчи вырабатывай - быстрей сдохнешь.
",5.0
8,"И что? Сотню людей знаю с двумя санузлами в доме, ни одного, чтоб они оба не унисекс были. Какой ближе свободен - тем любой гендер и пользуется. Ты жопой завилял. Давай пруфы твоего, нормального человека, жилища с сортирами как в кинотеатре! С табличками пикрил ! каждой пидорахи в доме унисекс Ты же с этого выёбываться начал! Предъяви свои 2 отдельно-гендерных, нормальный пиздобол !
",1.0
9,"Пусть человек сам решает, и жалуется модеру. p.s а ты гляжу любитель доносы строчить в сороковых полицай бы годный из тебя получился бы.
",5.0
10,"Как-то сталкивался с ситуацией, когда новый сервак зависал на логотипе с фирмой материнки. Оказалось - проблема в том, что был подключен ламповый моник. Подключили ЖК - все отлично загрузилось! Но пока мы дошли до этого решения - успели поменять половину железа.
",0.0
11,"С чегой то ты мя в хохлы то записал? Только лишь с того, что я имею мнение, что эти цацки не вперлись никому, сюда тащить за счет бюджета?
",1.0
12,"Значит, ты тут подскочил, как петух на жердочке, вскукарекнул, когда попросили пруф - слился и даже не извинился. Мне кажется, или в этой ситуации кто-то себя слегка неправильно ведет?
",5.0
13,"Вот, учитесь у этой проплатки создавать треды, окатыши. Этот сегодня получит 150 грамм колбасы к своей ежедневной пайке роллтона, и Волков его не будет трогать пару дней шлюху лишили звания Шлюха 20!8 АРЯЯЯ ПУТЕН ВИНОВАТ!!!
",4.0
14,"да не буду я забанен доблестной модерацией pcportal org forum 51-9843-1 возможно это вам поможет, уж как самый крайний вариант?
",0.0
15,"Целью встречи стали переговоры о сохранении поставок газа А что, у него есть полномочия вести такие переговоры? Сука блядский цирк. Какие же хохлы дегенераты, пиздец просто
",4.0
16,"Мне Вас очень жаль, если для Вас оскорбления - норма.
",0.0
17,"Азахха какая ржачная вата всу напали на донбасс аххаха это примерно как армия помойсраши напала на тульскую область .Чел обратись в медицинское учреждение, пупкинизм головного мозга уже лечат,даже усугубленный христанутостью
",4.0
18,"Да мы поняли что ты пидорьё ебаное, поляк наверное. Иди уроки выучи, портфель собери, че ты.
",1.0
19,"Подите рот с мылом вымойте, товарищ.
",5.0
20,"Зачем ты что-то пишешь потому что могу у тебя бамбануло, хаха порвался с учётом ваших длинных комментариев- так и есть смеешься там как умственно отсталый Это как? Есть какие-либо критерии как смеются умственно отсталые? Или ты как обычно пишешь абстрактные вещи, смысл которые даже тебе не понятен?
",5.0
21,"Не понимаю как так получается. 15-20 лет назад хватало времени прослушать все перечисленные группы и не по одному альбому. Это только метал. Ещё хватало времени на панк и хардкор. При этом помимо работы был ещё институт в то время. Сейчас же совсем времени нет на музыку. Куда девается свободное время?
",0.0
