,id,bboxes,target
0,11a285b4-a463-4a7a-aa0f-38ac884c3126,"[0.3551394, 0.26941609, 0.13327847, 0.18027337]",2.0
1,11a23d3f-9951-413f-bad0-e2c44bb71ca3,"[0.53893292, 0.18325451, 0.18940541, 0.27969429]",2.0
2,11a08ff2-8926-44af-9474-f37c03c84b5f,"[0.33243843, 0.48043416, 0.10077214, 0.07733214]",2.0
3,119e8886-5353-4279-b1c0-9ac62639f4f1,"[0.64450942, 0.27902208, 0.14895523, 0.1987392]",2.0
4,119dae6f-6974-4c35-83e8-49b88e8e3ff2,"[0.45943906, 0.25145079, 0.2488338, 0.30880743]",2.0
5,119b91dd-17c9-4d7a-8215-3a970be45c99,"[0.70082955, 0.17842018, 0.1305629, 0.18733092]",2.0
6,119a0a1a-3c40-4435-9b10-80e03ce02a8f,"[0.23037985, 0.29871354, 0.11243193, 0.13761796]",2.0
7,1196619e-cd5d-428f-9fc0-d4ae5be98463,"[0.10866193, 0.17326576, 0.16484439, 0.16412297]",2.0
8,11945a18-1bad-4a36-820e-54c784bbd33a,"[0.48941182, 0.05964112, 0.10123692, 0.34256584]",2.0
9,118c6f83-f41d-4f80-8674-8877a6125cac,"[0.68171308, 0.46148542, 0.16715777, 0.22836205]",2.0
10,118c2d20-223b-437f-86df-77a27d98f4b0,"[0.41880517, 0.30399408, 0.06547063, 0.20407128]",2.0
11,118b9b66-2588-43eb-aa09-4cd0d3698778,"[0.28045566, 0.38061891, 0.09043368, 0.21827878]",2.0
12,1187e38c-b694-4fbb-8bed-e4565a0ad454,"[0.22817006, 0.24259171, 0.20421792, 0.31626355]",2.0
13,1187cb4e-63f7-4164-9339-f5de84f4c5f8,"[0.36242022, 0.35181876, 0.08575592, 0.07464389]",2.0
14,11855379-9094-4248-8d60-60bbed417b09,"[0.34473738, 0.19932247, 0.10263061, 0.3295066]",2.0
15,11821b49-c51c-4398-86a3-d8203305f565,"[0.17467035, 0.33763887, 0.18238735, 0.25745237]",2.0
16,117ec16b-363f-402d-bd3f-c4d44c48c66f,"[0.35360752, 0.25850927, 0.15958456, 0.22649521]",2.0
17,117a7e1d-e042-4ebc-bba7-f2cfdae40b20,"[0.12339048, 0.44821248, 0.17041674, 0.23073803]",2.0
18,11787eb3-eb88-4be2-b989-f3b0f4edda95,"[0.62687324, 0.31215721, 0.08403003, 0.13704858]",2.0
19,1178704e-cfec-4121-ac02-239f372d4044,"[0.26805792, 0.35268538, 0.11972373, 0.16606022]",2.0
20,11756824-2359-4b93-bb87-ce03ba77e254,"[0.5494189, 0.26760111, 0.09000289, 0.25190491]",2.0
21,116ac1a9-6461-427d-8f31-1bccc21d9145,"[0.18881762, 0.41988884, 0.13546241, 0.18044127]",2.0
22,11671503-c152-4479-9d79-81c6fa83fe4f,"[0.55899577, 0.45920809, 0.09247041, 0.13807643]",2.0
23,11658b75-6b85-44b2-8026-05f2eee5eff0,"[0.23226564, 0.63584383, 0.0942984, 0.13651021]",2.0
24,11652255-47b6-4615-bea7-d49dbe7442ca,"[0.62243722, 0.16736546, 0.05719331, 0.20130079]",2.0
25,11650cf3-9560-4154-9f0a-675b29b46c3d,"[0.47445726, 0.40162445, 0.15964692, 0.2001645]",2.0
26,1163e022-210d-479e-b859-340bd612f72e,"[0.15642213, 0.12741362, 0.2388333, 0.36417646]",2.0
27,1161b03a-987f-4872-b6d9-da810b14b293,"[0.3014008, 0.31408221, 0.12334732, 0.18511662]",2.0
28,115e8166-50a9-4da4-a7fe-82ec12d453c5,"[0.69438242, 0.32348463, 0.08134384, 0.13179586]",2.0
29,115c3afc-6c7f-482a-9428-0d97091c3eca,"[0.27847394, 0.25808132, 0.17367895, 0.22496536]",2.0
30,1159632d-55ee-448d-8388-e72b2eaae68d,"[0.29193863, 0.33172043, 0.10255774, 0.10121653]",2.0
31,1151155b-3696-41c2-ab28-c3b81b17f0e6,"[0.49392047, 0.5041289, 0.13256033, 0.18236835]",2.0
