Breed,height_low_cm,height_high_cm,weight_low_kg,weight_high_kg,Classification,obey,reps_lower,reps_upper,Person,Dog,Is_person,image_path,audio_path,power_dB
akita,67.0,72.0,37.0,55.0,average_working_obedience_intelligence,50%,26.0,40.0,,,,,,
anatolian_sheepdog,69.0,74.0,46.0,69.0,,,,,,,,,,
bernese_mountain_dog,59.0,69.0,39.0,50.0,excellent_working_dogs,85%,5.0,15.0,[],"[{'xtl': '132.00', 'ytl': '128.80', 'xbr': '299.00', 'ybr': '262.30'}]",False,Images/n02107683_1175.jpg,,
bloodhound,61.0,67.0,37.0,55.0,lowest_degree_of_working_obedience_intelligence,,81.0,100.0,[],"[{'xtl': '40.00', 'ytl': '8.00', 'xbr': '211.00', 'ybr': '173.00'}]",False,Images/n02088466_1015.jpg,,
borzoi,67.0,72.0,32.0,46.0,lowest_degree_of_working_obedience_intelligence,,81.0,100.0,[],"[{'xtl': '94.00', 'ytl': '73.00', 'xbr': '436.00', 'ybr': '404.00'}]",False,Images/n02090622_10492.jpg,,
bullmastiff,64.0,69.0,46.0,59.0,fair_working_obedience_intelligence,30%,41.0,80.0,,,,,,
great_dane,82.0,82.0,55.0,73.0,average_working_obedience_intelligence,50%,26.0,40.0,[],"[{'xtl': '124.00', 'ytl': '55.00', 'xbr': '403.00', 'ybr': '331.00'}]",False,Images/n02109047_11472.jpg,,
great_pyrenees,69.0,82.0,44.0,55.0,fair_working_obedience_intelligence,30%,41.0,80.0,,,,Images/n02111500-Great_Pyrenees/n02111500_1149.jpg,,
great_swiss_mountain_dog,59.0,72.0,59.0,69.0,,,,,,,,,,
irish_wolfhound,72.0,89.0,41.0,69.0,average_working_obedience_intelligence,50%,26.0,40.0,,,,Images/n02090721-Irish_wolfhound/n02090721_1002.jpg,,
kuvasz,72.0,77.0,32.0,55.0,average_working_obedience_intelligence,50%,26.0,40.0,,,,Images/n02104029-kuvasz/n02104029_1138.jpg,,
mastiff,69.0,77.0,80.0,87.0,lowest_degree_of_working_obedience_intelligence,,81.0,100.0,,,,,/content/sobaka-porodyi-mastif-25584.wav,82.26
neopolitan_mastiff,61.0,77.0,46.0,69.0,,,,,,,,,,
newfoundland,67.0,72.0,46.0,69.0,above_average_working_dogs,70%,16.0,25.0,"[{'xtl': '253.00', 'ytl': '98.00', 'xbr': '499.00', 'ybr': '371.00'}, {'xtl': '0.00', 'ytl': '115.00', 'xbr': '238.00', 'ybr': '371.00'}]","[{'xtl': '214.50', 'ytl': '59.80', 'xbr': '347.60', 'ybr': '251.00'}]",True,Images/n02111277_4854.jpg,,
otter_hound,61.0,67.0,30.0,50.0,,,,,,,,,,
rottweiler,56.0,69.0,41.0,50.0,brightest_dogs,95%,1.0,4.0,"[{'xtl': '125.00', 'ytl': '37.00', 'xbr': '225.00', 'ybr': '240.00'}]","[{'xtl': '20.00', 'ytl': '14.00', 'xbr': '138.00', 'ybr': '274.00'}]",True,Images/n02106550_9508.jpg,/content/sobaka-rotveyler-25637.wav,83.17
saint_bernard,64.0,72.0,50.0,87.0,fair_working_obedience_intelligence,30%,41.0,80.0,,,,Images/n02109525-Saint_Bernard/n02109525_10446.jpg,,
afghan_hound,64.0,69.0,23.0,28.0,lowest_degree_of_working_obedience_intelligence,,81.0,100.0,"[{'xtl': '0.00', 'ytl': '75.00', 'xbr': '276.00', 'ybr': '329.00'}]","[{'xtl': '238.00', 'ytl': '74.00', 'xbr': '446.00', 'ybr': '329.00'}]",True,Images/n02088094_1007.jpg,,
malamute,,,,,,,,,,,,Images/n02110063-malamute/n02110063_1058.jpg,,
american_foxhound,56.0,64.0,30.0,32.0,average_working_obedience_intelligence,50%,26.0,40.0,,,,,,
beauceron,61.0,69.0,46.0,55.0,,,,,,,,,,
malinois,56.0,67.0,28.0,30.0,,,,,,,,Images/n02105162-malinois/n02105162_1357.jpg,,
belgian_sheepdog,56.0,67.0,28.0,35.0,excellent_working_dogs,85%,5.0,15.0,,,,,,
belgian_tervuren,56.0,67.0,28.0,35.0,,,,,,,,,,
black_and_tan_coonhound,59.0,69.0,23.0,35.0,average_working_obedience_intelligence,50%,26.0,40.0,,,,,,
black_russian_terrier,64.0,74.0,37.0,64.0,,,,,,,,,,
bouvier_des_flandres,59.0,69.0,35.0,44.0,above_average_working_dogs,70%,16.0,25.0,[],"[{'xtl': '31.00', 'ytl': '196.00', 'xbr': '205.00', 'ybr': '462.00'}]",False,Images/n02106382_1048.jpg,,
boxer,54.0,64.0,30.0,32.0,average_working_obedience_intelligence,50%,26.0,40.0,[],"[{'xtl': '97.00', 'ytl': '29.00', 'xbr': '347.00', 'ybr': '319.00'}]",False,Images/n02108089_1031.jpg,,
briard,59.0,69.0,34.0,35.0,above_average_working_dogs,70%,16.0,25.0,[],"[{'xtl': '3.00', 'ytl': '5.00', 'xbr': '393.00', 'ybr': '488.00'}]",False,Images/n02105251_1588.jpg,,
chesapeake_bay_retriever,54.0,67.0,25.0,35.0,above_average_working_dogs,70%,16.0,25.0,[],"[{'xtl': '220.00', 'ytl': '122.00', 'xbr': '348.00', 'ybr': '270.00'}]",False,Images/n02099849_1212.jpg,,
clumber,49.0,51.0,16.0,30.0,,,,,,,,Images/n02101556-clumber/n02101556_1116.jpg,,
collie,56.0,67.0,23.0,35.0,excellent_working_dogs,85%,5.0,15.0,"[{'xtl': '157.00', 'ytl': '51.00', 'xbr': '279.00', 'ybr': '453.00'}, {'xtl': '8.00', 'ytl': '43.00', 'xbr': '175.00', 'ybr': '461.00'}, {'xtl': '273.00', 'ytl': '21.00', 'xbr': '433.00', 'ybr': '461.00'}]","[{'xtl': '298.00', 'ytl': '275.00', 'xbr': '485.00', 'ybr': '480.00'}, {'xtl': '47.00', 'ytl': '262.00', 'xbr': '219.00', 'ybr': '479.00'}]",True,Images/n02106030_17179.jpg,,
curly,64.0,69.0,30.0,37.0,,,,,,,,Images/n02099429-curly-coated_retriever/n02099429_1068.jpg,,
doberman,67.0,72.0,28.0,46.0,,,,,"[{'xtl': '2.00', 'ytl': '207.00', 'xbr': '178.00', 'ybr': '500.00'}]","[{'xtl': '105.00', 'ytl': '365.00', 'xbr': '285.00', 'ybr': '500.00'}, {'xtl': '0.00', 'ytl': '304.00', 'xbr': '145.00', 'ybr': '498.00'}]",True,Images/n02107142_9597.jpg,/content/lay-dobermana.wav,81.58
