,breed,image_path
0,Chihuahua,Images/n02085620-Chihuahua/n02085620_11258.jpg
1,Maltese dog,Images/n02085936-Maltese_dog/n02085936_10273.jpg
2,Pekinese,Images/n02086079-Pekinese/n02086079_10603.jpg
3,Shih,Images/n02086240-Shih-Tzu/n02086240_1011.jpg
4,Afghan hound,Images/n02088094-Afghan_hound/n02088094_1007.jpg
5,basset,Images/n02088238-basset/n02088238_10005.jpg
6,beagle,Images/n02088364-beagle/n02088364_11130.jpg
7,bluetick,Images/n02088632-bluetick/n02088632_109.jpg
8,black,Images/n02089078-black-and-tan_coonhound/n02089078_1151.jpg
9,Walker hound,Images/n02089867-Walker_hound/n02089867_1133.jpg
10,redbone,Images/n02090379-redbone/n02090379_1006.jpg
11,borzoi,Images/n02090622-borzoi/n02090622_10492.jpg
12,Italian greyhound,Images/n02091032-Italian_greyhound/n02091032_10314.jpg
13,whippet,Images/n02091134-whippet/n02091134_10219.jpg
14,Norwegian elkhound,Images/n02091467-Norwegian_elkhound/n02091467_1315.jpg
15,Saluki,Images/n02091831-Saluki/n02091831_1036.jpg
16,Weimaraner,Images/n02092339-Weimaraner/n02092339_1331.jpg
17,Staffordshire bullterrier,Images/n02093256-Staffordshire_bullterrier/n02093256_11023.jpg
18,American Staffordshire terrier,Images/n02093428-American_Staffordshire_terrier/n02093428_10896.jpg
19,Bedlington terrier,Images/n02093647-Bedlington_terrier/n02093647_1081.jpg
20,Border terrier,Images/n02093754-Border_terrier/n02093754_1062.jpg
21,Irish terrier,Images/n02093991-Irish_terrier/n02093991_114.jpg
22,Norwich terrier,Images/n02094258-Norwich_terrier/n02094258_1036.jpg
23,Yorkshire terrier,Images/n02094433-Yorkshire_terrier/n02094433_10126.jpg
24,wire,Images/n02095314-wire-haired_fox_terrier/n02095314_1033.jpg
25,Lakeland terrier,Images/n02095570-Lakeland_terrier/n02095570_1031.jpg
26,Sealyham terrier,Images/n02095889-Sealyham_terrier/n02095889_10.jpg
27,Airedale,Images/n02096051-Airedale/n02096051_1110.jpg
28,cairn,Images/n02096177-cairn/n02096177_10698.jpg
29,Dandie Dinmont,Images/n02096437-Dandie_Dinmont/n02096437_1129.jpg
30,Boston bull,Images/n02096585-Boston_bull/n02096585_10452.jpg
31,miniature schnauzer,Images/n02097047-miniature_schnauzer/n02097047_1260.jpg
32,giant schnauzer,Images/n02097130-giant_schnauzer/n02097130_1032.jpg
33,Scotch terrier,Images/n02097298-Scotch_terrier/n02097298_11346.jpg
34,Tibetan terrier,Images/n02097474-Tibetan_terrier/n02097474_1328.jpg
