,image_breed,image_path,Person,Dog,Is_person
0,affenpinscher,/content/drive/MyDrive/KnowledgeGragh/Images/n02110627-affenpinscher/n02110627_10439.jpg,,,
1,afghan hound,/content/drive/MyDrive/KnowledgeGragh/Images/n02088094-Afghan_hound/n02088094_1007.jpg,,,
2,american staffordshire terrier,/content/drive/MyDrive/KnowledgeGragh/Images/n02093428-American_Staffordshire_terrier/n02093428_10896.jpg,,,
3,australian terrier,/content/drive/MyDrive/KnowledgeGragh/Images/n02096294-Australian_terrier/n02096294_1299.jpg,,,
4,basenji,/content/drive/MyDrive/KnowledgeGragh/Images/n02110806-basenji/n02110806_1019.jpg,,,
5,beagle,/content/drive/MyDrive/KnowledgeGragh/Images/n02088364-beagle/n02088364_11130.jpg,,,
6,bedlington terrier,/content/drive/MyDrive/KnowledgeGragh/Images/n02093647-Bedlington_terrier/n02093647_1081.jpg,,,
7,bernese mountain dog,/content/drive/MyDrive/KnowledgeGragh/Images/n02107683-Bernese_mountain_dog/n02107683_1175.jpg,,,
8,bloodhound,/content/drive/MyDrive/KnowledgeGragh/Images/n02088466-bloodhound/n02088466_1015.jpg,,,
9,border collie,/content/drive/MyDrive/KnowledgeGragh/Images/n02106166-Border_collie/n02106166_1128.jpg,,,
10,border terrier,/content/drive/MyDrive/KnowledgeGragh/Images/n02093754-Border_terrier/n02093754_1062.jpg,,,
11,borzoi,/content/drive/MyDrive/KnowledgeGragh/Images/n02090622-borzoi/n02090622_10492.jpg,,,
12,bouvier des flandres,/content/drive/MyDrive/KnowledgeGragh/Images/n02106382-Bouvier_des_Flandres/n02106382_1048.jpg,,,
13,boxer,/content/drive/MyDrive/KnowledgeGragh/Images/n02108089-boxer/n02108089_1031.jpg,,,
14,briard,/content/drive/MyDrive/KnowledgeGragh/Images/n02105251-briard/n02105251_1588.jpg,,,
15,chesapeake bay retriever,/content/drive/MyDrive/KnowledgeGragh/Images/n02099849-Chesapeake_Bay_retriever/n02099849_1212.jpg,,,
16,chihuahua,/content/drive/MyDrive/KnowledgeGragh/Images/n02085620-Chihuahua/n02085620_11258.jpg,,,
17,english foxhound,/content/drive/MyDrive/KnowledgeGragh/Images/n02089973-English_foxhound/n02089973_2.jpg,,,
18,english setter,/content/drive/MyDrive/KnowledgeGragh/Images/n02100735-English_setter/n02100735_10114.jpg,,,
19,french bulldog,/content/drive/MyDrive/KnowledgeGragh/Images/n02108915-French_bulldog/n02108915_225.jpg,,,
20,giant schnauzer,/content/drive/MyDrive/KnowledgeGragh/Images/n02097130-giant_schnauzer/n02097130_1032.jpg,,,
21,golden retriever,/content/drive/MyDrive/KnowledgeGragh/Images/n02099601-golden_retriever/n02099601_100.jpg,,,
22,gordon setter,/content/drive/MyDrive/KnowledgeGragh/Images/n02101006-Gordon_setter/n02101006_1016.jpg,,,
23,great dane,/content/drive/MyDrive/KnowledgeGragh/Images/n02109047-Great_Dane/n02109047_11472.jpg,,,
24,great pyrenees,/content/drive/MyDrive/KnowledgeGragh/Images/n02111500-Great_Pyrenees/n02111500_1149.jpg,,,
25,ibizan hound,/content/drive/MyDrive/KnowledgeGragh/Images/n02091244-Ibizan_hound/n02091244_1030.jpg,,,
26,irish setter,/content/drive/MyDrive/KnowledgeGragh/Images/n02100877-Irish_setter/n02100877_1201.jpg,,,
27,irish terrier,/content/drive/MyDrive/KnowledgeGragh/Images/n02093991-Irish_terrier/n02093991_114.jpg,,,
28,irish water spaniel,/content/drive/MyDrive/KnowledgeGragh/Images/n02102973-Irish_water_spaniel/n02102973_1066.jpg,,,
29,irish wolfhound,/content/drive/MyDrive/KnowledgeGragh/Images/n02090721-Irish_wolfhound/n02090721_1002.jpg,,,
30,italian greyhound,/content/drive/MyDrive/KnowledgeGragh/Images/n02091032-Italian_greyhound/n02091032_10314.jpg,,,
31,keeshond,/content/drive/MyDrive/KnowledgeGragh/Images/n02112350-keeshond/n02112350_10239.jpg,,,
32,kerry blue terrier,/content/drive/MyDrive/KnowledgeGragh/Images/n02093859-Kerry_blue_terrier/n02093859_10.jpg,,,
33,kuvasz,/content/drive/MyDrive/KnowledgeGragh/Images/n02104029-kuvasz/n02104029_1138.jpg,,,
34,labrador retriever,/content/drive/MyDrive/KnowledgeGragh/Images/n02099712-Labrador_retriever/n02099712_1254.jpg,,,
35,lakeland terrier,/content/drive/MyDrive/KnowledgeGragh/Images/n02095570-Lakeland_terrier/n02095570_1031.jpg,,,
36,newfoundland,/content/drive/MyDrive/KnowledgeGragh/Images/n02111277-Newfoundland/n02111277_10237.jpg,"[{'xtl': '253.00', 'ytl': '98.00', 'xbr': '499.00', 'ybr': '371.00'}, {'xtl': '0.00', 'ytl': '115.00', 'xbr': '238.00', 'ybr': '371.00'}]","[{'xtl': '214.50', 'ytl': '59.80', 'xbr': '347.60', 'ybr': '251.00'}]",True
37,norwegian elkhound,/content/drive/MyDrive/KnowledgeGragh/Images/n02091467-Norwegian_elkhound/n02091467_1315.jpg,,,
38,papillon,/content/drive/MyDrive/KnowledgeGragh/Images/n02086910-papillon/n02086910_1449.jpg,,,
39,pomeranian,/content/drive/MyDrive/KnowledgeGragh/Images/n02112018-Pomeranian/n02112018_10174.jpg,,,
40,pug,/content/drive/MyDrive/KnowledgeGragh/Images/n02110958-pug/n02110958_10842.jpg,,,
41,rhodesian ridgeback,/content/drive/MyDrive/KnowledgeGragh/Images/n02087394-Rhodesian_ridgeback/n02087394_10351.jpg,,,
42,rottweiler,/content/drive/MyDrive/KnowledgeGragh/Images/n02106550-Rottweiler/n02106550_1033.jpg,"[{'xtl': '125.00', 'ytl': '37.00', 'xbr': '225.00', 'ybr': '240.00'}]","[{'xtl': '20.00', 'ytl': '14.00', 'xbr': '138.00', 'ybr': '274.00'}]",True
43,saint bernard,/content/drive/MyDrive/KnowledgeGragh/Images/n02109525-Saint_Bernard/n02109525_10446.jpg,,,
44,saluki,/content/drive/MyDrive/KnowledgeGragh/Images/n02091831-Saluki/n02091831_1036.jpg,,,
45,samoyed,/content/drive/MyDrive/KnowledgeGragh/Images/n02111889-Samoyed/n02111889_10950.jpg,,,
46,schipperke,/content/drive/MyDrive/KnowledgeGragh/Images/n02104365-schipperke/n02104365_1151.jpg,,,
47,scottish deerhound,/content/drive/MyDrive/KnowledgeGragh/Images/n02092002-Scottish_deerhound/n02092002_11087.jpg,,,
48,sealyham terrier,/content/drive/MyDrive/KnowledgeGragh/Images/n02095889-Sealyham_terrier/n02095889_10.jpg,,,
49,siberian husky,/content/drive/MyDrive/KnowledgeGragh/Images/n02110185-Siberian_husky/n02110185_10175.jpg,"[{'xtl': '157.00', 'ytl': '23.00', 'xbr': '500.00', 'ybr': '369.00'}]","[{'xtl': '23.00', 'ytl': '132.00', 'xbr': '336.00', 'ybr': '237.00'}]",True
50,standard schnauzer,/content/drive/MyDrive/KnowledgeGragh/Images/n02097209-standard_schnauzer/n02097209_1.jpg,,,
