#FORMAT=WebAnno TSV 3.3


#Text=Побледневшие листья окна\r
#Text=Зарастают прозрачной водой\r
#Text=У воды нет ни смерти ни дна\r
#Text=Я прощаюсь с тобой\r
#Text=Горсть тепла после долгой зимы\r
#Text=Донесем пять минут до утра\r
#Text=Доживем… наше море вины\r
#Text=Поглощает… время-дыра.
1-1	0-12	Побледневшие	
1-2	13-19	листья	
1-3	20-24	окна	
1-4	26-35	Зарастают	
1-5	36-46	прозрачной	
1-6	47-52	водой	
1-7	54-55	У	
1-8	56-60	воды	
1-9	61-64	нет	
1-10	65-67	ни	
1-11	68-74	смерти	
1-12	75-77	ни	
1-13	78-81	дна	
1-14	83-84	Я	
1-15	85-93	прощаюсь	
1-16	94-95	с	
1-17	96-101	тобой	
1-18	103-109	Горсть	
1-19	110-115	тепла	
1-20	116-121	после	
1-21	122-128	долгой	
1-22	129-133	зимы	
1-23	135-142	Донесем	
1-24	143-147	пять	
1-25	148-153	минут	
1-26	154-156	до	
1-27	157-161	утра	
1-28	163-170	Доживем	
1-29	170-171	…	
1-30	172-176	наше	
1-31	177-181	море	
1-32	182-186	вины	
1-33	188-197	Поглощает	
1-34	197-198	…	
1-35	199-209	время-дыра	
1-36	209-210	.	

#Text=Это все\r
#Text=Что останется после меня\r
#Text=Это все\r
#Text=Что возьму я с собой\r
#Text=С нами память сидит у стола\r
#Text=А в руке её пламя свечи\r
#Text=Ты такой хорошей была\r
#Text=Посмотри на меня не молчи\r
#Text=Крики чайки на белой стене\r
#Text=Окольцованы черной луной\r
#Text=Нарисуй что-нибудь на окне\r
#Text=И шепни на прощанье рекой.
2-1	212-215	Это	
2-2	216-219	все	
2-3	221-224	Что	
2-4	225-234	останется	
2-5	235-240	после	
2-6	241-245	меня	
2-7	247-250	Это	
2-8	251-254	все	
2-9	256-259	Что	
2-10	260-266	возьму	
2-11	267-268	я	
2-12	269-270	с	
2-13	271-276	собой	
2-14	278-279	С	
2-15	280-284	нами	
2-16	285-291	память	
2-17	292-297	сидит	
2-18	298-299	у	
2-19	300-305	стола	
2-20	307-308	А	
2-21	309-310	в	
2-22	311-315	руке	
2-23	316-318	её	
2-24	319-324	пламя	
2-25	325-330	свечи	
2-26	332-334	Ты	
2-27	335-340	такой	
2-28	341-348	хорошей	
2-29	349-353	была	
2-30	355-363	Посмотри	
2-31	364-366	на	
2-32	367-371	меня	
2-33	372-374	не	
2-34	375-380	молчи	
2-35	382-387	Крики	
2-36	388-393	чайки	
2-37	394-396	на	
2-38	397-402	белой	
2-39	403-408	стене	
2-40	410-421	Окольцованы	
2-41	422-428	черной	
2-42	429-434	луной	
2-43	436-443	Нарисуй	
2-44	444-454	что-нибудь	
2-45	455-457	на	
2-46	458-462	окне	
2-47	464-465	И	
2-48	466-471	шепни	
2-49	472-474	на	
2-50	475-483	прощанье	
2-51	484-489	рекой	
2-52	489-490	.	

#Text=Это все\r
#Text=Что останется после меня\r
#Text=Это все\r
#Text=Что возьму я с собой\r
#Text=Это все\r
#Text=Что останется после меня\r
#Text=Это все\r
#Text=Что возьму я с собой.
3-1	492-495	Это	
3-2	496-499	все	
3-3	501-504	Что	
3-4	505-514	останется	
3-5	515-520	после	
3-6	521-525	меня	
3-7	527-530	Это	
3-8	531-534	все	
3-9	536-539	Что	
3-10	540-546	возьму	
3-11	547-548	я	
3-12	549-550	с	
3-13	551-556	собой	
3-14	558-561	Это	
3-15	562-565	все	
3-16	567-570	Что	
3-17	571-580	останется	
3-18	581-586	после	
3-19	587-591	меня	
3-20	593-596	Это	
3-21	597-600	все	
3-22	602-605	Что	
3-23	606-612	возьму	
3-24	613-614	я	
3-25	615-616	с	
3-26	617-622	собой	
3-27	622-623	.	

#Text=Две мечты да печали стакан\r
#Text=Мы, воскреснув, допили до дна\r
#Text=Я не знаю зачем тебе дан\r
#Text=Правит мною дорога-луна\r
#Text=Ты не плачь, если можешь прости\r
#Text=Жизнь не сахар, а смерть нам не чай\r
#Text=Мне свою дорогу нести\r
#Text=Досвидания друг и прощай.
4-1	625-628	Две	
4-2	629-634	мечты	
4-3	635-637	да	
4-4	638-644	печали	
4-5	645-651	стакан	
4-6	653-655	Мы	
4-7	655-656	,	
4-8	657-667	воскреснув	
4-9	667-668	,	
4-10	669-675	допили	
4-11	676-678	до	
4-12	679-682	дна	
4-13	684-685	Я	
4-14	686-688	не	
4-15	689-693	знаю	
4-16	694-699	зачем	
4-17	700-704	тебе	
4-18	705-708	дан	
4-19	710-716	Правит	
4-20	717-721	мною	
4-21	722-733	дорога-луна	
4-22	735-737	Ты	
4-23	738-740	не	
4-24	741-746	плачь	
4-25	746-747	,	
4-26	748-752	если	
4-27	753-759	можешь	
4-28	760-766	прости	
4-29	768-773	Жизнь	
4-30	774-776	не	
4-31	777-782	сахар	
4-32	782-783	,	
4-33	784-785	а	
4-34	786-792	смерть	
4-35	793-796	нам	
4-36	797-799	не	
4-37	800-803	чай	
4-38	805-808	Мне	
4-39	809-813	свою	
4-40	814-820	дорогу	
4-41	821-826	нести	
4-42	828-838	Досвидания	
4-43	839-843	друг	
4-44	844-845	и	
4-45	846-852	прощай	
4-46	852-853	.	

#Text=Это все\r
#Text=Что останется после меня\r
#Text=Это все\r
#Text=Что возьму я с собой\r
#Text=Это все\r
#Text=Что останется после меня\r
#Text=Это все\r
#Text=Что возьму я с собой.
5-1	855-858	Это	
5-2	859-862	все	
5-3	864-867	Что	
5-4	868-877	останется	
5-5	878-883	после	
5-6	884-888	меня	
5-7	890-893	Это	
5-8	894-897	все	
5-9	899-902	Что	
5-10	903-909	возьму	
5-11	910-911	я	
5-12	912-913	с	
5-13	914-919	собой	
5-14	921-924	Это	
5-15	925-928	все	
5-16	930-933	Что	
5-17	934-943	останется	
5-18	944-949	после	
5-19	950-954	меня	
5-20	956-959	Это	
5-21	960-963	все	
5-22	965-968	Что	
5-23	969-975	возьму	
5-24	976-977	я	
5-25	978-979	с	
5-26	980-985	собой	
5-27	985-986	.	

#Text=Оу-о-о-о
6-1	988-996	Оу-о-о-о	
