#FORMAT=WebAnno TSV 3.3
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.syntax.type.chunk.Chunk|chunkValue


#Text=Побледневшие листья окна\r
#Text=Зарастают прозрачной водой\r
#Text=У воды нет ни смерти ни дна\r
#Text=Я прощаюсь с тобой\r
#Text=Горсть тепла после долгой зимы\r
#Text=Донесем пять минут до утра\r
#Text=Доживем… наше море вины\r
#Text=Поглощает… время-дыра.
1-1	0-12	Побледневшие	печаль	
1-2	13-19	листья	_	
1-3	20-24	окна	_	
1-4	26-35	Зарастают	_	
1-5	36-46	прозрачной	_	
1-6	47-52	водой	_	
1-7	54-55	У	оптимизм[1]	
1-8	56-60	воды	оптимизм[1]	
1-9	61-64	нет	оптимизм[1]	
1-10	65-67	ни	оптимизм[1]	
1-11	68-74	смерти	оптимизм[1]	
1-12	75-77	ни	оптимизм[1]	
1-13	78-81	дна	оптимизм[1]	
1-14	83-84	Я	горе[2]	
1-15	85-93	прощаюсь	горе[2]	
1-16	94-95	с	горе[2]	
1-17	96-101	тобой	горе[2]	
1-18	103-109	Горсть	безмятежность[3]	
1-19	110-115	тепла	безмятежность[3]	
1-20	116-121	после	_	
1-21	122-128	долгой	грусть[4]	
1-22	129-133	зимы	грусть[4]	
1-23	135-142	Донесем	_	
1-24	143-147	пять	_	
1-25	148-153	минут	_	
1-26	154-156	до	_	
1-27	157-161	утра	_	
1-28	163-170	Доживем	принятие	
1-29	170-171	…	_	
1-30	172-176	наше	_	
1-31	177-181	море	раскаяние[5]	
1-32	182-186	вины	раскаяние[5]	
1-33	188-197	Поглощает	страх	
1-34	197-198	…	_	
1-35	199-209	время-дыра	тревога	
1-36	209-210	.	_	

#Text=Это все\r
#Text=Что останется после меня\r
#Text=Это все\r
#Text=Что возьму я с собой\r
#Text=С нами память сидит у стола\r
#Text=А в руке её пламя свечи\r
#Text=Ты такой хорошей была\r
#Text=Посмотри на меня не молчи\r
#Text=Крики чайки на белой стене\r
#Text=Окольцованы черной луной\r
#Text=Нарисуй что-нибудь на окне\r
#Text=И шепни на прощанье рекой.
2-1	212-215	Это	печаль[6]	
2-2	216-219	все	печаль[6]	
2-3	221-224	Что	печаль[6]	
2-4	225-234	останется	печаль[6]	
2-5	235-240	после	печаль[6]	
2-6	241-245	меня	печаль[6]	
2-7	247-250	Это	принятие[7]	
2-8	251-254	все	принятие[7]	
2-9	256-259	Что	принятие[7]	
2-10	260-266	возьму	принятие[7]	
2-11	267-268	я	принятие[7]	
2-12	269-270	с	принятие[7]	
2-13	271-276	собой	принятие[7]	
2-14	278-279	С	покорность[8]	
2-15	280-284	нами	покорность[8]	
2-16	285-291	память	покорность[8]	
2-17	292-297	сидит	покорность[8]	
2-18	298-299	у	покорность[8]	
2-19	300-305	стола	покорность[8]	
2-20	307-308	А	_	
2-21	309-310	в	принятие[9]	
2-22	311-315	руке	принятие[9]	
2-23	316-318	её	принятие[9]	
2-24	319-324	пламя	принятие[9]	
2-25	325-330	свечи	принятие[9]	
2-26	332-334	Ты	любовь[10]	
2-27	335-340	такой	любовь[10]	
2-28	341-348	хорошей	любовь[10]	
2-29	349-353	была	любовь[10]	
2-30	355-363	Посмотри	ожидание[11]	
2-31	364-366	на	ожидание[11]	
2-32	367-371	меня	ожидание[11]	
2-33	372-374	не	ожидание[11]	
2-34	375-380	молчи	ожидание[11]	
2-35	382-387	Крики	_	
2-36	388-393	чайки	_	
2-37	394-396	на	_	
2-38	397-402	белой	оптимизм[12]	
2-39	403-408	стене	оптимизм[12]	
2-40	410-421	Окольцованы	_	
2-41	422-428	черной	досада[13]	
2-42	429-434	луной	досада[13]	
2-43	436-443	Нарисуй	ожидание[14]	
2-44	444-454	что-нибудь	ожидание[14]	
2-45	455-457	на	ожидание[14]	
2-46	458-462	окне	ожидание[14]	
2-47	464-465	И	_	
2-48	466-471	шепни	покорность[15]	
2-49	472-474	на	покорность[15]	
2-50	475-483	прощанье	покорность[15]	
2-51	484-489	рекой	покорность[15]	
2-52	489-490	.	_	

#Text=Это все\r
#Text=Что останется после меня\r
#Text=Это все\r
#Text=Что возьму я с собой\r
#Text=Это все\r
#Text=Что останется после меня\r
#Text=Это все\r
#Text=Что возьму я с собой.
3-1	492-495	Это	печаль[16]	
3-2	496-499	все	печаль[16]	
3-3	501-504	Что	печаль[16]	
3-4	505-514	останется	печаль[16]	
3-5	515-520	после	печаль[16]	
3-6	521-525	меня	печаль[16]	
3-7	527-530	Это	принятие[17]	
3-8	531-534	все	принятие[17]	
3-9	536-539	Что	принятие[17]	
3-10	540-546	возьму	принятие[17]	
3-11	547-548	я	принятие[17]	
3-12	549-550	с	принятие[17]	
3-13	551-556	собой	принятие[17]	
3-14	558-561	Это	покорность[18]	
3-15	562-565	все	покорность[18]	
3-16	567-570	Что	покорность[18]	
3-17	571-580	останется	покорность[18]	
3-18	581-586	после	покорность[18]	
3-19	587-591	меня	покорность[18]	
3-20	593-596	Это	принятие[19]	
3-21	597-600	все	принятие[19]	
3-22	602-605	Что	принятие[19]	
3-23	606-612	возьму	принятие[19]	
3-24	613-614	я	принятие[19]	
3-25	615-616	с	принятие[19]	
3-26	617-622	собой	принятие[19]	
3-27	622-623	.	принятие[19]	

#Text=Две мечты да печали стакан\r
#Text=Мы, воскреснув, допили до дна\r
#Text=Я не знаю зачем тебе дан\r
#Text=Правит мною дорога-луна\r
#Text=Ты не плачь, если можешь прости\r
#Text=Жизнь не сахар, а смерть нам не чай\r
#Text=Мне свою дорогу нести\r
#Text=Досвидания друг и прощай.
4-1	625-628	Две	безмятежность[20]	
4-2	629-634	мечты	безмятежность[20]	
4-3	635-637	да	_	
4-4	638-644	печали	раскаяние[21]	
4-5	645-651	стакан	раскаяние[21]	
4-6	653-655	Мы	раскаяние[22]	
4-7	655-656	,	раскаяние[22]	
4-8	657-667	воскреснув	раскаяние[22]	
4-9	667-668	,	раскаяние[22]	
4-10	669-675	допили	раскаяние[22]	
4-11	676-678	до	раскаяние[22]	
4-12	679-682	дна	раскаяние[22]	
4-13	684-685	Я	разочарование[23]	
4-14	686-688	не	разочарование[23]	
4-15	689-693	знаю	разочарование[23]	
4-16	694-699	зачем	разочарование[23]	
4-17	700-704	тебе	разочарование[23]	
4-18	705-708	дан	разочарование[23]	
4-19	710-716	Правит	_	
4-20	717-721	мною	_	
4-21	722-733	дорога-луна	_	
4-22	735-737	Ты	раскаяние[24]	
4-23	738-740	не	раскаяние[24]	
4-24	741-746	плачь	раскаяние[24]	
4-25	746-747	,	раскаяние[24]	
4-26	748-752	если	раскаяние[24]	
4-27	753-759	можешь	раскаяние[24]	
4-28	760-766	прости	раскаяние[24]	
4-29	768-773	Жизнь	неудовольствие[25]	
4-30	774-776	не	неудовольствие[25]	
4-31	777-782	сахар	неудовольствие[25]	
4-32	782-783	,	_	
4-33	784-785	а	_	
4-34	786-792	смерть	оптимим[26]	
4-35	793-796	нам	оптимим[26]	
4-36	797-799	не	оптимим[26]	
4-37	800-803	чай	оптимим[26]	
4-38	805-808	Мне	_	
4-39	809-813	свою	_	
4-40	814-820	дорогу	_	
4-41	821-826	нести	_	
4-42	828-838	Досвидания	принятие[27]	
4-43	839-843	друг	принятие[27]	
4-44	844-845	и	принятие[27]	
4-45	846-852	прощай	принятие[27]	
4-46	852-853	.	_	

#Text=Это все\r
#Text=Что останется после меня\r
#Text=Это все\r
#Text=Что возьму я с собой\r
#Text=Это все\r
#Text=Что останется после меня\r
#Text=Это все\r
#Text=Что возьму я с собой.
5-1	855-858	Это	печаль[28]	
5-2	859-862	все	печаль[28]	
5-3	864-867	Что	печаль[28]	
5-4	868-877	останется	печаль[28]	
5-5	878-883	после	печаль[28]	
5-6	884-888	меня	печаль[28]	
5-7	890-893	Это	принятие[29]	
5-8	894-897	все	принятие[29]	
5-9	899-902	Что	принятие[29]	
5-10	903-909	возьму	принятие[29]	
5-11	910-911	я	принятие[29]	
5-12	912-913	с	принятие[29]	
5-13	914-919	собой	принятие[29]	
5-14	921-924	Это	печаль[30]	
5-15	925-928	все	печаль[30]	
5-16	930-933	Что	печаль[30]	
5-17	934-943	останется	печаль[30]	
5-18	944-949	после	печаль[30]	
5-19	950-954	меня	печаль[30]	
5-20	956-959	Это	принятие[31]	
5-21	960-963	все	принятие[31]	
5-22	965-968	Что	принятие[31]	
5-23	969-975	возьму	принятие[31]	
5-24	976-977	я	принятие[31]	
5-25	978-979	с	принятие[31]	
5-26	980-985	собой	принятие[31]	
5-27	985-986	.	принятие[31]	

#Text=Оу-о-о-о
6-1	988-996	Оу-о-о-о	_	
