#FORMAT=WebAnno TSV 3.3


#Text=Легкий ветер встреч познакомил нас весной.
1-1	0-6	Легкий	
1-2	7-12	ветер	
1-3	13-19	встреч	
1-4	20-30	познакомил	
1-5	31-34	нас	
1-6	35-41	весной	
1-7	41-42	.	

#Text=Нежный поцелуй, я попал в твои сети.
2-1	43-49	Нежный	
2-2	50-57	поцелуй	
2-3	57-58	,	
2-4	59-60	я	
2-5	61-66	попал	
2-6	67-68	в	
2-7	69-73	твои	
2-8	74-78	сети	
2-9	78-79	.	

#Text=Ты мне сказала: «Может быть», не могу тебя забыть, Я за ночь с тобой отдам все на свете.
3-1	80-82	Ты	
3-2	83-86	мне	
3-3	87-94	сказала	
3-4	94-95	:	
3-5	96-97	«	
3-6	97-102	Может	
3-7	103-107	быть	
3-8	107-108	»	
3-9	108-109	,	
3-10	110-112	не	
3-11	113-117	могу	
3-12	118-122	тебя	
3-13	123-129	забыть	
3-14	129-130	,	
3-15	131-132	Я	
3-16	133-135	за	
3-17	136-140	ночь	
3-18	141-142	с	
3-19	143-148	тобой	
3-20	149-154	отдам	
3-21	155-158	все	
3-22	159-161	на	
3-23	162-167	свете	
3-24	167-168	.	

#Text=Ты уйдешь, но приходит злая ночь, Ты её признайся дочь, что ты делаешь со мной?
4-1	169-171	Ты	
4-2	172-178	уйдешь	
4-3	178-179	,	
4-4	180-182	но	
4-5	183-191	приходит	
4-6	192-196	злая	
4-7	197-201	ночь	
4-8	201-202	,	
4-9	203-205	Ты	
4-10	206-208	её	
4-11	209-218	признайся	
4-12	219-223	дочь	
4-13	223-224	,	
4-14	225-228	что	
4-15	229-231	ты	
4-16	232-239	делаешь	
4-17	240-242	со	
4-18	243-247	мной	
4-19	247-248	?	

#Text=Ты уйдешь, и мне станет не до сна, Я опять сойду с ума, я прошу тебя, постой.
5-1	249-251	Ты	
5-2	252-258	уйдешь	
5-3	258-259	,	
5-4	260-261	и	
5-5	262-265	мне	
5-6	266-272	станет	
5-7	273-275	не	
5-8	276-278	до	
5-9	279-282	сна	
5-10	282-283	,	
5-11	284-285	Я	
5-12	286-291	опять	
5-13	292-297	сойду	
