#FORMAT=WebAnno TSV 3.3


#Text=Ночь и тишина, данная на век, Дождь, а может быть падает снег, Все равно, — бесконечно надеждой согрет, Я вдали вижу город, которого нет…   Где легко найти страннику приют, Где, наверняка, помнят и ждут, День за днем, то теряя, то путая след, Я иду в этот город, которого нет…   Там для меня горит очаг, Как вечный знак забытых истин, Мне до него — последний шаг; И этот шаг длиннее жизни…   Кто ответит мне что судьбой дано Пусть об этом знать не суждено Может быть за порогом растраченных лет Я найду этот город, которого нет…
1-1	0-4	Ночь	
1-2	5-6	и	
1-3	6-7	 	
1-4	7-13	тишина	
1-5	13-14	,	
1-6	15-21	данная	
1-7	22-24	на	
1-8	24-25	 	
1-9	25-28	век	
1-10	28-29	,	
1-11	30-35	Дождь	
1-12	35-36	,	
1-13	37-38	а	
1-14	38-39	 	
1-15	39-44	может	
1-16	45-49	быть	
1-17	50-56	падает	
1-18	57-61	снег	
1-19	61-62	,	
1-20	63-66	Все	
1-21	67-72	равно	
1-22	72-73	,	
1-23	73-74	 	
1-24	74-75	—	
1-25	76-86	бесконечно	
1-26	87-95	надеждой	
1-27	96-102	согрет	
1-28	102-103	,	
1-29	104-105	Я	
1-30	105-106	 	
1-31	106-111	вдали	
1-32	112-116	вижу	
1-33	117-122	город	
1-34	122-123	,	
1-35	124-132	которого	
1-36	133-136	нет	
1-37	136-137	…	
1-38	138-139	 	
1-39	140-143	Где	
1-40	144-149	легко	
1-41	150-155	найти	
1-42	156-165	страннику	
1-43	166-171	приют	
1-44	171-172	,	
1-45	173-176	Где	
1-46	176-177	,	
1-47	178-187	наверняка	
1-48	187-188	,	
1-49	189-195	помнят	
1-50	196-197	и	
1-51	197-198	 	
1-52	198-202	ждут	
1-53	202-203	,	
1-54	204-208	День	
1-55	209-211	за	
1-56	211-212	 	
1-57	212-216	днем	
1-58	216-217	,	
1-59	218-220	то	
1-60	220-221	 	
1-61	221-226	теряя	
1-62	226-227	,	
1-63	228-230	то	
1-64	230-231	 	
1-65	231-236	путая	
1-66	237-241	след	
1-67	241-242	,	
1-68	243-244	Я	
1-69	245-248	иду	
1-70	249-250	в	
1-71	251-255	этот	
1-72	256-261	город	
1-73	261-262	,	
1-74	263-271	которого	
1-75	272-275	нет	
1-76	275-276	…	
1-77	277-278	 	
1-78	279-282	Там	
1-79	283-286	для	
1-80	287-291	меня	
1-81	292-297	горит	
1-82	298-302	очаг	
1-83	302-303	,	
1-84	304-307	Как	
1-85	308-314	вечный	
1-86	315-319	знак	
1-87	320-327	забытых	
1-88	328-333	истин	
1-89	333-334	,	
1-90	335-338	Мне	
1-91	339-341	до	
1-92	342-346	него	
1-93	347-348	—	
1-94	349-358	последний	
1-95	359-362	шаг	
1-96	362-363	;	
1-97	364-365	И	
1-98	366-370	этот	
1-99	371-374	шаг	
1-100	375-382	длиннее	
1-101	383-388	жизни	
1-102	388-389	…	
1-103	390-391	 	
1-104	392-395	Кто	
1-105	396-403	ответит	
1-106	404-407	мне	
1-107	408-411	что	
1-108	412-419	судьбой	
1-109	420-424	дано	
1-110	425-430	Пусть	
1-111	431-433	об	
1-112	434-438	этом	
1-113	439-444	знать	
1-114	445-447	не	
1-115	448-455	суждено	
1-116	456-461	Может	
1-117	462-466	быть	
1-118	467-469	за	
1-119	470-477	порогом	
1-120	478-490	растраченных	
1-121	491-494	лет	
1-122	495-496	Я	
1-123	497-502	найду	
1-124	503-507	этот	
1-125	508-513	город	
1-126	513-514	,	
1-127	515-523	которого	
1-128	524-527	нет	
1-129	527-528	…	
