#FORMAT=WebAnno TSV 3.3


#Text=Сколько всего о тебе говорят, Только всё это напрасно, Где снегопад, ну а где звездопад, Сам я смогу разобраться.
1-1	0-7	Сколько	
1-2	8-13	всего	
1-3	14-15	о	
1-4	16-20	тебе	
1-5	21-28	говорят	
1-6	28-29	,	
1-7	30-36	Только	
1-8	37-40	всё	
1-9	41-44	это	
1-10	45-53	напрасно	
1-11	53-54	,	
1-12	55-58	Где	
1-13	59-67	снегопад	
1-14	67-68	,	
1-15	69-71	ну	
1-16	72-73	а	
1-17	74-77	где	
1-18	78-87	звездопад	
1-19	87-88	,	
1-20	89-92	Сам	
1-21	93-94	я	
1-22	95-100	смогу	
1-23	101-112	разобраться	
1-24	112-113	.	

#Text=Мне ведь совсем незачем знать Всё, что с тобой было раньше, Раз ты меня научила летать, Значит, не может быть фальши.
2-1	114-117	Мне	
2-2	118-122	ведь	
2-3	123-129	совсем	
2-4	130-137	незачем	
2-5	138-143	знать	
2-6	144-147	Всё	
2-7	147-148	,	
2-8	149-152	что	
2-9	153-154	с	
2-10	155-160	тобой	
2-11	161-165	было	
2-12	166-172	раньше	
2-13	172-173	,	
2-14	174-177	Раз	
2-15	178-180	ты	
2-16	181-185	меня	
2-17	186-193	научила	
2-18	194-200	летать	
2-19	200-201	,	
2-20	202-208	Значит	
2-21	208-209	,	
2-22	210-212	не	
2-23	213-218	может	
2-24	219-223	быть	
2-25	224-230	фальши	
2-26	230-231	.	

#Text=Ты не ангел, но для меня, Но для меня ты стала святой, Ты не ангел, но видел я, Но видел я твой свет неземной.
3-1	232-234	Ты	
3-2	235-237	не	
3-3	238-243	ангел	
3-4	243-244	,	
3-5	245-247	но	
3-6	248-251	для	
3-7	252-256	меня	
3-8	256-257	,	
3-9	258-260	Но	
3-10	261-264	для	
3-11	265-269	меня	
3-12	270-272	ты	
3-13	273-278	стала	
3-14	279-285	святой	
3-15	285-286	,	
3-16	287-289	Ты	
3-17	290-292	не	
3-18	293-298	ангел	
3-19	298-299	,	
3-20	300-302	но	
3-21	303-308	видел	
3-22	309-310	я	
3-23	310-311	,	
3-24	312-314	Но	
3-25	315-320	видел	
3-26	321-322	я	
3-27	323-327	твой	
3-28	328-332	свет	
3-29	333-341	неземной	
3-30	341-342	.	

#Text=Пусть не ангел ты, но если мне темно, Приносишь ты счастливую весть, Пусть не ангел ты, мне это всё равно, Ведь для меня сошла ты с небес.
4-1	343-348	Пусть	
4-2	349-351	не	
4-3	352-357	ангел	
4-4	358-360	ты	
4-5	360-361	,	
4-6	362-364	но	
4-7	365-369	если	
4-8	370-373	мне	
4-9	374-379	темно	
4-10	379-380	,	
4-11	381-390	Приносишь	
4-12	391-393	ты	
4-13	394-404	счастливую	
4-14	405-410	весть	
4-15	410-411	,	
4-16	412-417	Пусть	
4-17	418-420	не	
4-18	421-426	ангел	
4-19	427-429	ты	
4-20	429-430	,	
4-21	431-434	мне	
4-22	435-438	это	
4-23	439-442	всё	
4-24	443-448	равно	
4-25	448-449	,	
4-26	450-454	Ведь	
4-27	455-458	для	
4-28	459-463	меня	
4-29	464-469	сошла	
4-30	470-472	ты	
4-31	473-474	с	
4-32	475-480	небес	
4-33	480-481	.	

#Text=Смотришь ты в зеркало или в окно, Волосы вьются по ветру, Даже не знаю, за что мне дано Счастье увидеть всё это.
5-1	482-490	Смотришь	
5-2	491-493	ты	
5-3	494-495	в	
5-4	496-503	зеркало	
5-5	504-507	или	
5-6	508-509	в	
5-7	510-514	окно	
5-8	514-515	,	
5-9	516-522	Волосы	
5-10	523-529	вьются	
5-11	530-532	по	
5-12	533-538	ветру	
5-13	538-539	,	
5-14	540-544	Даже	
5-15	545-547	не	
5-16	548-552	знаю	
5-17	552-553	,	
5-18	554-556	за	
5-19	557-560	что	
5-20	561-564	мне	
5-21	565-569	дано	
5-22	570-577	Счастье	
5-23	578-585	увидеть	
5-24	586-589	всё	
5-25	590-593	это	
5-26	593-594	.	
