#FORMAT=WebAnno TSV 3.3
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.syntax.type.chunk.Chunk|chunkValue


#Text=Не отрекаются любя.
1-1	0-2	Не	печаль[1]	
1-2	3-13	отрекаются	печаль[1]	
1-3	14-18	любя	печаль[1]	
1-4	18-19	.	_	

#Text=Ведь жизнь кончается не завтра.
2-1	20-24	Ведь	трепет[2]	
2-2	25-30	жизнь	трепет[2]	
2-3	31-40	кончается	трепет[2]	
2-4	41-43	не	трепет[2]	
2-5	44-50	завтра	трепет[2]	
2-6	50-51	.	_	

#Text=Я перестану ждать тебя, А ты придешь совсем внезапно.
3-1	52-53	Я	принятие[3]	
3-2	54-63	перестану	принятие[3]	
3-3	64-69	ждать	принятие[3]	
3-4	70-74	тебя	принятие[3]	
3-5	74-75	,	_	
3-6	76-77	А	трепет[4]	
3-7	78-80	ты	трепет[4]	
3-8	81-88	придешь	трепет[4]	
3-9	89-95	совсем	трепет[4]	
3-10	96-104	внезапно	трепет[4]	
3-11	104-105	.	_	

#Text=Не отрекаются любя.
4-1	106-108	Не	печаль[5]	
4-2	109-119	отрекаются	печаль[5]	
4-3	120-124	любя	печаль[5]	
4-4	124-125	.	_	

#Text=А ты придешь, когда темно, Когда в окно ударит вьюга, Когда припомнишь, как давно Не согревали мы друг друга.
5-1	126-127	А	ожидание[6]	
5-2	128-130	ты	ожидание[6]	
5-3	131-138	придешь	ожидание[6]	
5-4	138-139	,	ожидание[6]	
5-5	140-145	когда	ожидание[6]	
5-6	146-151	темно	ожидание[6]	
5-7	151-152	,	_	
5-8	153-158	Когда	настороженность[7]	
5-9	159-160	в	настороженность[7]	
5-10	161-165	окно	настороженность[7]	
5-11	166-172	ударит	настороженность[7]	
5-12	173-178	вьюга	настороженность[7]	
5-13	178-179	,	_	
5-14	180-185	Когда	досада[8]	
5-15	186-196	припомнишь	досада[8]	
5-16	196-197	,	досада[8]	
5-17	198-201	как	досада[8]	
5-18	202-207	давно	досада[8]	
5-19	208-210	Не	досада[8]	
5-20	211-220	согревали	досада[8]	
5-21	221-223	мы	досада[8]	
5-22	224-228	друг	досада[8]	
5-23	229-234	друга	досада[8]	
5-24	234-235	.	_	

#Text=Да, ты придешь, когда темно.
6-1	236-238	Да	трепет[9]	
6-2	238-239	,	трепет[9]	
6-3	240-242	ты	трепет[9]	
6-4	243-250	придешь	трепет[9]	
6-5	250-251	,	трепет[9]	
