#FORMAT=WebAnno TSV 3.3


#Text=Время в настенных часах.
1-1	0-5	Время	
1-2	6-7	в	
1-3	8-17	настенных	
1-4	18-23	часах	
1-5	23-24	.	

#Text=Правда в оборванном сне.
2-1	26-32	Правда	
2-2	33-34	в	
2-3	35-45	оборванном	
2-4	46-49	сне	
2-5	49-50	.	

#Text=Жизнь на небесах.
3-1	52-57	Жизнь	
3-2	58-60	на	
3-3	61-68	небесах	
3-4	68-69	.	

#Text=Жизнь, с крылом на спине.
4-1	71-76	Жизнь	
4-2	76-77	,	
4-3	78-79	с	
4-4	80-86	крылом	
4-5	87-89	на	
4-6	90-95	спине	
4-7	95-96	.	

#Text=Невыносимо проста.
5-1	98-108	Невыносимо	
5-2	109-115	проста	
5-3	115-116	.	

#Text=С вечной тропинкой к себе вдоль крыльев.
6-1	118-119	С	
6-2	120-126	вечной	
6-3	127-136	тропинкой	
6-4	137-138	к	
6-5	139-143	себе	
6-6	144-149	вдоль	
6-7	150-157	крыльев	
6-8	157-158	.	

#Text=Нервно хватает с куста.
7-1	160-166	Нервно	
7-2	167-174	хватает	
7-3	175-176	с	
7-4	177-182	куста	
7-5	182-183	.	

#Text=Слова, словно ягоды, вместе с пылью.
8-1	185-190	Слова	
8-2	190-191	,	
8-3	192-198	словно	
8-4	199-204	ягоды	
8-5	204-205	,	
8-6	206-212	вместе	
8-7	213-214	с	
8-8	215-220	пылью	
8-9	220-221	.	

#Text=Моя дорогая, я не так далеко.
9-1	223-226	Моя	
9-2	227-234	дорогая	
9-3	234-235	,	
9-4	236-237	я	
9-5	238-240	не	
9-6	241-244	так	
9-7	245-251	далеко	
9-8	251-252	.	

#Text=Ты можешь убить меня не обнимая.
10-1	254-256	Ты	
10-2	257-263	можешь	
10-3	264-269	убить	
10-4	270-274	меня	
10-5	275-277	не	
10-6	278-285	обнимая	
10-7	285-286	.	

#Text=Моя дорогая…\r
#Text=\r
#Text=Горький кофе к утру.
11-1	288-291	Моя	
11-2	292-299	дорогая	
11-3	299-300	…	
11-4	304-311	Горький	
11-5	312-316	кофе	
11-6	317-318	к	
11-7	319-323	утру	
11-8	323-324	.	

#Text=Сносились глаза, как подковы.
12-1	326-335	Сносились	
