subject,predicate,object
Muksun_in_sour_cream,hasRecipe,Muksun_in_Sour_Cream_Recipe
The_Yeniseiskaya_ear_consists_of_three_types_of_fish,belongsToRegion,Krasnoyarsk_Region
Cheeks_with_grecha,hasIngredient,Species
Wheat_wire_rod_with_porcini_mushrooms,hasIngredient,Flour_dough_cereals
Fish_in_Donetsk,hasIngredient,Fish
The_Fireman's_cutlet,hasRecipe,Pozharsky_Cutlet_Recipe
Kundums_in_creamy_mushroom_sauce,belongsToRegion,Novosibirsk_region
Lapshaen_kurka_sil,hasIngredient,Species
The_Yeniseiskaya_ear_consists_of_three_types_of_fish,hasIngredient,Fish
Fish_in_Donetsk,hasIngredient,Dairy_products
Daily_cabbage_soup,hasIngredient,Species
Muksun_in_sour_cream,hasIngredient,Dairy_products
Cheeks_with_grecha,belongsToRegion,Chelyabinsk_region
Cheeks_with_grecha,hasIngredient,Vegetables
The_fisherman's_catch,belongsToRegion,Moscow
Wheat_wire_rod_with_porcini_mushrooms,hasIngredient,Species
Far_Eastern_dumplings_with_smelt,hasIngredient,Flour_dough_cereals
Lapshaen_kurka_sil,hasIngredient,Vegetables
Kundums_in_creamy_mushroom_sauce,hasIngredient,Species
Daily_cabbage_soup,hasIngredient,Vegetables
Gubenka,hasIngredient,Fish
The_Fireman's_cutlet,hasIngredient,Dairy_products
Banquet_Roll,hasRecipe,Banquet_Roll_Recipe
Daily_cabbage_soup,belongsToRegion,Moscow
Venison_in_black_currant_berries,hasIngredient,Meat
Venison_in_black_currant_berries,hasIngredient,Berries
Novomikhailovskaya_cutlet,belongsToRegion,Saint-Petersburg
Banquet_Roll,hasIngredient,Flour_dough_cereals
Kundums_in_creamy_mushroom_sauce,hasIngredient,Mushrooms
Cheeks_with_grecha,hasIngredient,Meat
The_Fireman's_cutlet,hasIngredient,Flour_dough_cereals
Gubenka,hasIngredient,Flour_dough_cereals
Fish_in_Donetsk,hasRecipe,Donetsk_recipe
Lapshaen_kurka_sil,hasRecipe,Turkey_with_Homemade_Noodles_Recipe
Lapshaen_kurka_sil,hasIngredient,Meat
