'Entity','hasConfiguaration','hasSupervisedLearning','hasNeuralLanguageProcessing','hasTransformer','hasUnsupervisedLearning','hasHardware','hasReinforcementLearning','hasOperatingSystem','hasComputerVision','hasRecurrentNeuralNetwork','hasAutoencoder','hasConvolutionalNeuralNetwork','hasFramework','includeLibraries','hasSpeechRecognition','include','hasDataset',
'Actor-Critic Methods',,'"Deep Neural Networks"',,,,,'"Actor-Critic Methods"',,,,,,'"TensorFlow"',,,,,
'AlexNet_paper',,'"Deep Neural Networks"',,,,,,,,,,'"AlexNet"','"TensorFlow"',,,,,
'BERT_paper',,'"Gradient Boosting"','"Text Classification"',,,,,,,,,,'"TensorFlow"',,,,,
'BshapeNet',,'"Deep Neural Networks"',,,,'"NVIDIA GTX 1080Ti"',,,'"Instance Segmentation	Object detection"',,,'"R-CNN"',,,,,'"MS COCO (Common Objects in Context)"',
'Deep Q-Networks',,'"Deep Neural Networks"',,,,,'"Deep Q-Networks"',,,,,,'"TensorFlow"',,,,,
'DenseNet_paper',,'"Deep Neural Networks"',,,,,,,,,,'"DenseNet"','"PyTorch"',,,,,
'EfficientNet_paper',,'"Deep Neural Networks"',,,,,,,,,,'"EfficientNet"','"PyTorch"',,,,,
'Generative Adversarial Networks',,'"Deep Neural Networks"',,,'"Generative Adversarial Networks"',,,,,,,,'"PyTorch"',,,,,
'GoogLeNet_paper',,'"Deep Neural Networks"',,,,,,,,,,'"GoogLeNet"','"TensorFlow"',,,,,
'Long Short-Term Memory Networks paper',,'"Deep Neural Networks"',,,,,,,,'"Long Short-Term Memory Networks paper"',,,'"PyTorch"',,,,,
'MobileNet_paper',,'"Deep Neural Networks"',,,,,,,,,,'"MobileNet"','"TensorFlow"',,,,,
'Policy Gradient Methods',,'"Deep Neural Networks"',,,,,'"Policy Gradient Methods"',,,,,,'"PyTorch"',,,,,
'R-CNN_paper',,'"Deep Neural Networks"',,,,,,,,,,'"R-CNN"','"TensorFlow"',,,,,
'ResNet_paper',,'"Deep Neural Networks"',,,,,,,,,,'"ResNet"','"PyTorch"',,,,,
'Temporal Convolutional Networks paper',,'"Deep Neural Networks"',,,,,,,,,,'"Temporal Convolutional Networks"','"TensorFlow"',,,,,
'Transformer_paper',,'"Deep Neural Networks"',,,,,,,,,,,'"TensorFlow"',,,,,
'UNet_paper',,'"Deep Neural Networks"',,,,,,,,,,'"UNet"','"PyTorch"',,,,,
'Variational Autoencoders',,'"Deep Neural Networks"',,,'"Variational Autoencoders"',,,,,,,,'"TensorFlow"',,,,,
'VGGNet_paper',,'"Deep Neural Networks"',,,,,,,,,,'"Deep Neural Networks"','"PyTorch"',,,,,
'YOLO_paper',,'"Deep Neural Networks"',,,,,,,,,,'"YOLO"','"PyTorch"',,,,,
'Actor-Critic Methods',,'"Deep Neural Networks"',,,,,'"Actor-Critic Methods"',,,,,,'"TensorFlow"',,,,,
'AlexNet_paper',,'"Deep Neural Networks"',,,,,,,,,,'"AlexNet"','"TensorFlow"',,,,,
'BERT_paper',,'"Gradient Boosting"','"Text Classification"','"BERT"',,,,,,,,,,'"TensorFlow"',,,,
'BshapeNet',,'"Deep Neural Networks"',,,,'"NVIDIA GTX 1080Ti"',,,'"Instance Segmentation Object detection"',,,'"R-CNN"',,,,,'"MS COCO (Common Objects in Context)"',
'Deep Q-Networks',,'"Deep Neural Networks"',,,,,'"Deep Q-Networks"',,,,,,'"TensorFlow"',,,,,
'DenseNet_paper',,'"Deep Neural Networks"',,,,,,,,,,'"DenseNet"','"PyTorch"',,,,,
'EfficientNet_paper',,'"Deep Neural Networks"',,,,,,,,,,'"EfficientNet"','"PyTorch"',,,,,
'Generative Adversarial Networks',,'"Deep Neural Networks"',,,'"Generative Adversarial Networks"',,,,,,,,'"PyTorch"',,,,,
'GoogLeNet_paper',,'"Deep Neural Networks"',,,,,,,,,,'"GoogLeNet"','"TensorFlow"',,,,,
'Long Short-Term Memory Networks paper',,'"Deep Neural Networks"',,,,,,,,'"Long Short-Term Memory Networks paper"',,,'"PyTorch"',,,,,
'MobileNet_paper',,'"Deep Neural Networks"',,,,,,,,,,'"MobileNet"','"TensorFlow"',,,,,
'Policy Gradient Methods',,'"Deep Neural Networks"',,,,,'"Policy Gradient Methods"',,,,,,'"PyTorch"',,,,,
'R-CNN_paper',,'"Deep Neural Networks"',,,,,,,,,,'"R-CNN"','"TensorFlow"',,,,,
'ResNet_paper',,'"Deep Neural Networks"',,,,,,,,,,'"ResNet"','"PyTorch"',,,,,
'Temporal Convolutional Networks paper',,'"Deep Neural Networks"',,,,,,,,,,'"Temporal Convolutional Networks"','"TensorFlow"',,,,,
'Transformer_paper',,'"Deep Neural Networks"',,,,,,,,,,,'"TensorFlow"',,,,,
'UNet_paper',,'"Deep Neural Networks"',,,,,,,,,,'"UNet"','"PyTorch"',,,,,
'VGG_paper',,'"Deep Neural Networks"',,,,,,'"Linux"','"Image Classification"',,,'"VGG"','"Keras"',,,,,
'GPT_paper',,'"Deep Neural Networks"','"Language Modeling"','"GPT"',,,,,,,,,,'"OpenAI GPT"',,,,'"WebText"'
'XLNet_paper',,'"Deep Neural Networks"','"Language Understanding"','"XLNet"',,,,,,,,,,'"TensorFlow"',,,,'"Wikipedia Corpus"'
'T5_paper',,'"Deep Neural Networks"','"Text-to-Text Transfer"','"T5"',,,,,,,,,,'"TensorFlow"',,,,'"C4 Dataset"'
'ELECTRA_paper',,'"Deep Neural Networks"','"Language Representation"','"ELECTRA"',,,,,,,,,,'"TensorFlow"',,,,'"Wikipedia and BooksCorpus"'
