_id,name,gender,born,origin,death,status,culture,religion,titles/0,titles/1,titles/2,titles/3,titles/4,titles/5,titles/6,house,father,mother,spouse/0,children/0,siblings/0,siblings/1,lovers/0,lovers/1,seasons/0,seasons/1,seasons/2,seasons/3,seasons/4,seasons/5,seasons/6,seasons/7,actor,siblings/2,siblings/3,spouse/1,children/1,children/2,children/3,titles/7,spouse/2,children/4,children/5,children/6,children/7,siblings/4,siblings/5,siblings/6,siblings/7,lovers/2,lovers/3
1,Daenerys Targaryen,female,282 AC,Dragonstone,,alive,Valyrian,,"Queen of the Andals, the Rhoynar, and the First Men",Protector of the Seven Kingdoms,Khaleesi of the Great Grass Sea,Lady of Dragonstone,Breaker of Chains,Mother of Dragons,Queen of Meereen,Targaryen,Aerys II Targaryen,Rhaella Targaryen,Drogo,Rhaego,Rhaegar Targaryen,Viserys Targaryen,Daario Naharis,Jon Snow,1,2,3,4,5,6,7,8,Emilia Clarke,,,,,,,,,,,,,,,,,,
2,Viserys Targaryen,male,276 AC,King's Landing,298 AC,deceased,Valyrian,The Sevens,Kings of the Andals and the First Men,Lord of the Seven Kingdoms,Protector of the Realm,Prince,,,,Targaryen,Aerys II Targaryen,Rhaella Targaryen,Drogo,Rhaego,Rhaegar Targaryen,Daenerys Targaryen,Daario Naharis,Jon Snow,1,,,,,,,,Harry Lloyd,,,,,,,,,,,,,,,,,,
3,Jon Snow,male,281 AC,Tower of Joy,302 AC,resurrected,Northmen,Old Gods,Warden of the North,King in the North,Lord Commander of the Night's Watch,,,,,Targaryen,Rhaegar Targaryen,Lyanna Stark,,,Rhaenys Targaryen,Aegon Targaryen,Daenerys Targaryen,Ygritte,1,2,3,4,5,6,7,8,Kit Harington,,,,,,,,,,,,,,,,,,
4,Robb Stark,male,281 AC,Riverrun,300 AC,deceased,Northmen,Old Gods,King of the North,Lord of Winterfell,Lord Paramount of the North,,,,,Stark,Eddard Stark,Catelyn Tully,Talisa Maegyr,,Sansa Stark,Arya Stark,,,1,2,3,6,,,,,Richard Madden,Brandon Stark,Rickon Stark,,,,,,,,,,,,,,,,
5,Sansa Stark,female,285 AC,Winterfell,,alive,Northmen,Old Gods,Lady of Winterfell,Princess of the North,Lady Regent of the North,,,,,Stark,Eddard Stark,Catelyn Tully,Tyrion Lannister,,Robb Stark,Arya Stark,,,1,2,3,4,5,6,7,8,Sophie Turner,Brandon Stark,Rickon Stark,Ramsay Bolton,,,,,,,,,,,,,,,
6,Arya Stark,female,287 AC,Winterfell,,alive,Northmen,Many-Faced God,Princess of the North,,,,,,,Stark,Eddard Stark,Catelyn Tully,,,Robb Stark,Sansa Stark,,,1,2,3,4,5,6,7,8,Maisie Williams,Arya Stark,Rickon Stark,,,,,,,,,,,,,,,,
7,Brandon Stark,male,288 AC,Winterfell,,alive,Northmen,Old Gods,Lord of Winterfell,Prince of the North,,,,,,Stark,Eddard Stark,Catelyn Tully,,,Robb Stark,Sansa Stark,,,1,2,3,4,5,6,7,8,Isaac Hempstead-Wright,Arya Stark,Brandon Stark,,,,,,,,,,,,,,,,
8,Rickon Stark,male,292 AC,Winterfell,303 AC,deceased,Northmen,Old Gods,Prince of the North,,,,,,,Stark,Eddard Stark,Catelyn Tully,,,Robb Stark,Arya Stark,,,1,2,3,6,,,,,Art Parkinson,Brandon Stark,Rickon Stark,,,,,,,,,,,,,,,,
9,Benjen Stark,male,,Winterfell,304 AC,deceased,Northmen,Old Gods,First Ranger,,,,,,,Stark,Rickard Stark,Lyarra Stark,Catelyn Tully,Robb Stark,Brandon Stark,Lyanna Stark,,,1,6,7,,,,,,Joseph Mawle,Eddard Stark,,,Arya Stark,Brandon Stark,Rickon Stark,,,,,,,,,,,,
10,Eddard Stark,male,,Winterfell,298 AC,deceased,Northmen,Old Gods,Lord of Winterfell,Lord Paramount of the North,Warden of the North,Hand of the King,Lord Regent of the Seven Kingdoms,Protector of the Realm,,Stark,Rickard Stark,Lyarra Stark,Catelyn Tully,Robb Stark,Brandon Stark,Lyanna Stark,,,1,6,7,,,,,,Sean Bean,Benjen Stark,,,Arya Stark,Brandon Stark,Rickon Stark,,,,,,,,,,,,
11,Catelyn Tully,female,,Riverrun,300 AC,deceased,Andal,The Sevens,Queen Mother,,,,,,,Tully,Hoster Tully,Minisa Whent,Eddard Stark,Robb Stark,Lysa Tully,Edmure Tully,,,1,2,3,,,,,,Michelle Fairley,,,,Arya Stark,Brandon Stark,Rickon Stark,,,,,,,,,,,,
12,Edmure Tully,male,,Riverrun,,alive,Andal,The Sevens,Ser,Lord of Riverrun,Lord Paramount of the Trident,,,,,Tully,Hoster Tully,Minisa Whent,Roslin Frey,,Catelyn Tully,Lysa Tully,,,3,6,8,,,,,,Tobias Menzies,,,,,,,,,,,,,,,,,,
13,Hoster Tully,male,,Riverrun,300 AC,deceased,Andal,The Sevens,Lord of Riverrun,Lord Paramount of the Trident,,,,,,Tully,,,Minisa Whent,Catelyn Tully,Brynden Tully,,,,3,,,,,,,,Christopher Newman,,,,Lysa Tully,Edmure Tully,,,,,,,,,,,,,
14,Brynden Tully,male,240 AC,Riverrun,303 AC,deceased,Andal,The Sevens,Ser,Lord of Riverrun,,,,,,Tully,,,,,Hoster Tully,,,,3,6,,,,,,,Clive Russel,,,,,,,,,,,,,,,,,,
15,Lisa Tully,female,,Riverrun,301 AC,deceased,Andal,The Sevens,Lady Regent of the Vale,,,,,,,Tully,Hoster Tully,Minisa Whent,Jon Arryn,Robin Arryn,Catelyn Tully,Edmure Tully,,,1,4,,,,,,,Kate Dickie,,,Petyr Baelish,,,,,,,,,,,,,,,
16,Jon Arryn,male,298 AC,The Eyrie,,alive,Andal,The Sevens,Hand of the King,Lord of the Eyrie,Defender of the Vale,Warden of the East,,,,Arryn,Jasper Arryn,,Lisa Tully,Robin Arryn,Alys Arryn,Ronnel Arryn,,,1,,,,,,,,Jon Standing,,,,,,,,,,,,,,,,,,
