game_name,series_name,team_winner,team_loser,goals_winner,goals_loser,player_name,played_for_side,is_mvp,car,score,goals,assists,saves,shots,BPM,average_boost,time_0_boost,time_100_boost,boost_collected,boost_stolen,big_pads_collected,small_pads_collected,big_pads_stolen,small_pads_stolen,boost_used_supersonic,boost_overfill,boost_overfill_from_stolen,defensive_third_percentage,neutral_third_percentage,offensive_third_percentage,behind_ball_percentage,ahead_of_ball_percentage,avg_distance_ball,avg_speed_percentage,total_distance,time_slow_speed,time_boost_speed,time_supersonic,time_on_ground,time_low_in_air,time_high_in_air,powerslide_duration,powerslide_count
/replay/71cf9501-80bc-4e14-97d6-2dddfb5f2ca9?g=bds-vs-elv-t11lrnk4f7,/group/bds-vs-elv-t11lrnk4f7,TEAM BDS,ELEVATE,4,1,ExoTiiK,Blue,True,Fennec,535,3,1,0,6,382,48,50.66,37.6,2169,474,21,55,3,23,395,498,25,38.67,33.37,27.96,81.01,18.99,2676,67.48,504123,158.43,137.97,51.08,199.09,128.51,19.88,6.2,46
/replay/71cf9501-80bc-4e14-97d6-2dddfb5f2ca9?g=bds-vs-elv-t11lrnk4f7,/group/bds-vs-elv-t11lrnk4f7,TEAM BDS,ELEVATE,4,1,dralii,Blue,False,Fennec,448,1,2,1,6,458,49,34.76,29.8,2783,638,21,76,3,31,417,259,79,35.77,34.91,29.32,73.39,26.61,2908,73.26,543295,119.02,144.88,80.88,172.47,145.54,26.77,7.63,76
/replay/71cf9501-80bc-4e14-97d6-2dddfb5f2ca9?g=bds-vs-elv-t11lrnk4f7,/group/bds-vs-elv-t11lrnk4f7,TEAM BDS,ELEVATE,4,1,M0nkey M00n,Blue,False,Octane,232,0,1,0,5,443,54,22.94,37.07,2664,565,22,80,5,20,346,452,150,38.43,36.09,25.49,72.79,27.21,3101,71.91,538583,127.02,141.4,79.32,197.69,126.43,23.63,5.93,43
/replay/71cf9501-80bc-4e14-97d6-2dddfb5f2ca9?g=bds-vs-elv-t11lrnk4f7,/group/bds-vs-elv-t11lrnk4f7,TEAM BDS,ELEVATE,4,1,Sphinx,Orange,False,Fennec,459,0,1,3,1,452,46,70.99,18.96,2499,737,20,67,5,23,403,248,16,55.6,28.76,15.65,65.06,34.94,2752,69.17,522608,148.7,136.39,65.75,178.32,148.95,23.58,8.05,78
/replay/71cf9501-80bc-4e14-97d6-2dddfb5f2ca9?g=bds-vs-elv-t11lrnk4f7,/group/bds-vs-elv-t11lrnk4f7,TEAM BDS,ELEVATE,4,1,LCT,Orange,False,Fennec,335,1,0,2,1,477,54,47.46,26.64,3055,888,26,73,7,19,715,378,36,54.88,26.69,18.43,60.36,39.64,2817,74.48,563648,123.09,131.12,96.57,185.23,145.45,20.1,8,98
/replay/71cf9501-80bc-4e14-97d6-2dddfb5f2ca9?g=bds-vs-elv-t11lrnk4f7,/group/bds-vs-elv-t11lrnk4f7,TEAM BDS,ELEVATE,4,1,Kevin,Orange,False,Octane,295,0,0,4,1,386,38,77.65,11.96,2234,284,17,73,2,7,341,160,0,66.61,23.01,10.38,74.33,25.67,3100,68.87,519601,160.32,125.12,65.28,183.32,145.12,22.27,8.27,81
/replay/7bcc0d8c-051f-4606-9a3c-3c3d4d34a966?g=bds-vs-elv-t11lrnk4f7,/group/bds-vs-elv-t11lrnk4f7,TEAM BDS,ELEVATE,5,1,dralii,Blue,True,Fennec,513,2,0,1,4,378,47,35.86,21.8,2252,440,16,88,2,29,240,208,17,55.57,23.05,21.39,71.55,28.45,2769,65.22,489350,172.45,128.14,47.55,207.55,120.25,20.33,9.43,93
/replay/7bcc0d8c-051f-4606-9a3c-3c3d4d34a966?g=bds-vs-elv-t11lrnk4f7,/group/bds-vs-elv-t11lrnk4f7,TEAM BDS,ELEVATE,5,1,M0nkey M00n,Blue,False,Octane,511,2,0,2,3,395,45,27.33,28.57,2138,242,16,57,1,14,322,213,18,51.35,34.25,14.4,82.16,17.84,2754,63.83,481871,179.13,122.41,49.67,199.05,126.56,25.6,6.73,49
/replay/7bcc0d8c-051f-4606-9a3c-3c3d4d34a966?g=bds-vs-elv-t11lrnk4f7,/group/bds-vs-elv-t11lrnk4f7,TEAM BDS,ELEVATE,5,1,ExoTiiK,Blue,False,Fennec,507,1,4,0,4,389,47,57.84,41.83,2186,359,19,46,2,17,93,250,34,45.88,30.17,23.96,69.97,30.03,2764,66.43,499787,157.91,144.86,46.8,178,138.51,33.07,4.87,46
/replay/7bcc0d8c-051f-4606-9a3c-3c3d4d34a966?g=bds-vs-elv-t11lrnk4f7,/group/bds-vs-elv-t11lrnk4f7,TEAM BDS,ELEVATE,5,1,LCT,Orange,False,Fennec,350,0,1,2,1,405,45,87.49,23.63,2327,697,18,63,5,21,389,203,47,40.51,36.26,23.23,68.59,31.41,2798,71.09,538871,139.55,138.69,73.04,171.46,147.78,32.03,6.42,72
/replay/7bcc0d8c-051f-4606-9a3c-3c3d4d34a966?g=bds-vs-elv-t11lrnk4f7,/group/bds-vs-elv-t11lrnk4f7,TEAM BDS,ELEVATE,5,1,Kevin,Orange,False,Octane,289,1,0,1,1,476,41,85.69,18.06,2736,370,23,68,2,16,430,250,3,45.13,34.88,19.99,67.49,32.51,2933,74.7,570477,118.81,151.88,83.61,191.42,136.1,26.78,7.3,71
/replay/7bcc0d8c-051f-4606-9a3c-3c3d4d34a966?g=bds-vs-elv-t11lrnk4f7,/group/bds-vs-elv-t11lrnk4f7,TEAM BDS,ELEVATE,5,1,Sphinx,Orange,False,Fennec,245,0,0,2,2,547,49,31.59,32.1,3363,1047,28,75,6,34,549,362,15,40.03,33.78,26.19,62.46,37.54,2726,75.43,574418,112.65,154.59,87.03,187.17,141.3,25.81,7.07,86
/replay/5f4ecb4c-70c5-4341-8993-a98fd35acada?g=bds-vs-elv-t11lrnk4f7,/group/bds-vs-elv-t11lrnk4f7,TEAM BDS,ELEVATE,3,2,dralii,Blue,True,Fennec,680,2,1,3,5,477,48,36.16,34.43,3057,781,25,79,6,25,325,273,109,47.69,29.07,23.24,75.95,24.05,2569,65.04,578790,209.03,141.49,58.73,227.59,148.32,33.33,10.63,96
/replay/5f4ecb4c-70c5-4341-8993-a98fd35acada?g=bds-vs-elv-t11lrnk4f7,/group/bds-vs-elv-t11lrnk4f7,TEAM BDS,ELEVATE,3,2,ExoTiiK,Blue,False,Fennec,365,0,1,2,5,394,48,83.42,48.26,2830,538,25,52,3,21,295,344,1,38.51,35.62,25.87,61.51,38.49,2711,65.74,591848,192.25,165.91,54.55,220.75,158.3,33.66,6.87,48
/replay/5f4ecb4c-70c5-4341-8993-a98fd35acada?g=bds-vs-elv-t11lrnk4f7,/group/bds-vs-elv-t11lrnk4f7,TEAM BDS,ELEVATE,3,2,M0nkey M00n,Blue,False,Octane,356,1,0,1,4,448,59,35.74,57.22,3190,294,27,82,1,17,340,492,2,46.01,37.55,16.44,72.6,27.4,2618,64.78,577587,203.25,150.54,56.09,249.64,134.2,26.04,7.03,49
/replay/5f4ecb4c-70c5-4341-8993-a98fd35acada?g=bds-vs-elv-t11lrnk4f7,/group/bds-vs-elv-t11lrnk4f7,TEAM BDS,ELEVATE,3,2,Kevin,Orange,False,Octane,482,0,1,4,1,428,41,104.25,19.95,2998,631,21,100,3,28,467,156,0,48.14,35.67,16.19,71.85,28.15,3116,73.7,641576,132.02,169.14,99.89,211.17,158.75,31.13,7.6,76
/replay/5f4ecb4c-70c5-4341-8993-a98fd35acada?g=bds-vs-elv-t11lrnk4f7,/group/bds-vs-elv-t11lrnk4f7,TEAM BDS,ELEVATE,3,2,Sphinx,Orange,False,Fennec,471,1,0,3,2,515,48,45.88,29.03,3455,468,27,85,2,27,603,223,0,52.7,29.37,17.93,77.32,22.68,2812,67.39,599700,177.27,156.42,76.12,232.17,135.37,42.27,10.93,113
/replay/5f4ecb4c-70c5-4341-8993-a98fd35acada?g=bds-vs-elv-t11lrnk4f7,/group/bds-vs-elv-t11lrnk4f7,TEAM BDS,ELEVATE,3,2,LCT,Orange,False,Fennec,327,1,0,1,4,440,47,58.85,19.9,2890,595,21,85,4,20,617,213,35,44.37,35.11,20.51,71.71,28.29,2950,68.48,605103,167.85,176.91,62.15,202.52,174.15,30.24,8.27,88
