agilitycharacter,strengthcharacter,intelligencecharacter,universalcharacter
,Sven 8054595004,,
,,,Invoker 8054595004
,Doom 8054595004,,
,,Lion 8054595004,
,Ogre Magi 8054595004,,
Meepo 8054595004,,,
Templar Assassin 8054595004,,,
,,,Magnus 8054595004
,,Shadow Demon 8054595004,
,,Crystal Maiden 8054595004,
Ursa 8054665063,,,
,,,Venomancer 8054665063
,Doom 8054665063,,
,Tusk 8054665063,,
,,Pugna 8054665063,
,,,Clockwerk 8054665063
Razor 8054665063,,,
,,,Pangolier 8054665063
,Dragon Knight 8054665063,,
,,Lina 8054665063,
,Tusk 8054761555,,
,,,Magnus 8054761555
,Tiny 8054761555,,
,,,Batrider 8054761555
Drow Ranger 8054761555,,,
Gyrocopter 8054761555,,,
Ember Spirit 8054761555,,,
,Doom 8054761555,,
,Earthshaker 8054761555,,
,,Disruptor 8054761555,
,Lifestealer 8054846912,,
Sniper 8054846912,,,
,Mars 8054846912,,
,,Muerta 8054846912,
,Elder Titan 8054846912,,
Templar Assassin 8054846912,,,
,,,Invoker 8054846912
,Tiny 8054846912,,
,,Pugna 8054846912,
,Ogre Magi 8054846912,,
,,,Phoenix 8054936496
,Wraith King 8054936496,,
,,,Sand King 8054936496
,Bristleback 8054936496,,
,,Rubick 8054936496,
,,Lich 8054936496,
,,,Magnus 8054936496
,Earth Spirit 8054936496,,
,,,Techies 8054936496
Drow Ranger 8054936496,,,
,Dragon Knight 8055088008,,
,,,Pangolier 8055088008
Terrorblade 8055088008,,,
,,,Clockwerk 8055088008
,,,Phoenix 8055088008
Meepo 8055088008,,,
,,Storm Spirit 8055088008,
,Doom 8055088008,,
,,,Batrider 8055088008
,Ogre Magi 8055088008,,
,Alchemist 8055187485,,
,,Keeper Of The Light 8055187485,
,,Death Prophet 8055187485,
,,Muerta 8055187485,
,Tusk 8055187485,,
,,,Chen 8055187485
,,Necrophos 8055187485,
,,,Invoker 8055187485
,,,Batrider 8055187485
,Dragon Knight 8055187485,,
Morphling 8055284959,,,
,Earth Spirit 8055284959,,
