Character,Item,Position,PickRate,Timing,Count
Anti-Mage,Tango,Mid,0.88,Start,1
Anti-Mage,Quelling Blade,Mid,0.82,Start,1
Anti-Mage,Circlet,Mid,0.6,Start,1
Anti-Mage,Iron Branch,Mid,0.47,Start,2
Anti-Mage,Slippers of Agility,Mid,0.45,Start,1
Anti-Mage,Observer Ward,Mid,0.45,Start,1
Anti-Mage,Iron Branch,Mid,0.25,Start,1
Anti-Mage,Iron Branch,Mid,0.2,Start,3
Anti-Mage,Faerie Fire,Mid,0.19,Start,1
Anti-Mage,Magic Stick,Mid,0.16,Start,1
Anti-Mage,Circlet,Mid,0.11,Start,2
Anti-Mage,Wraith Band,Mid,0.47,Early Game,1
Anti-Mage,Wraith Band,Mid,0.18,Early Game,2
Anti-Mage,Boots of Speed,Mid,0.85,Early Game,1
Anti-Mage,Orb of Corrosion,Mid,0.35,Early Game,1
Anti-Mage,Magic Wand,Mid,0.52,Early Game,1
Anti-Mage,Power Treads,Mid,0.98,Early Game,1
Anti-Mage,Vanguard,Mid,0.51,Early Game,1
Anti-Mage,Diffusal Blade,Mid,0.68,Mid Game,1
Anti-Mage,Battle Fury,Mid,0.12,Mid Game,1
Anti-Mage,Yasha,Mid,0.91,Mid Game,1
Anti-Mage,Manta Style,Mid,0.94,Mid Game,1
Anti-Mage,Aghanim's Shard,Mid,0.32,Mid Game,1
Anti-Mage,Aghanim's Scepter,Mid,0.41,Mid Game,1
Anti-Mage,Skull Basher,Mid,0.6,Mid Game,1
Anti-Mage,Black King Bar,Mid,0.39,Mid Game,1
Anti-Mage,Eye of Skadi,Mid,0.33,Mid Game,1
Anti-Mage,Butterfly,Mid,0.28,Mid Game,1
Anti-Mage,Abyssal Blade,Mid,0.76,Mid Game,1
Anti-Mage,Monkey King Bar,Mid,0.28,Late Game,1
Anti-Mage,Heaven's Halberd,Mid,0.13,Late Game,1
Anti-Mage,Bloodthorn,Mid,0.17,Late Game,1
Anti-Mage,Tango,Off Lane,0.88,Start,1
Anti-Mage,Quelling Blade,Off Lane,0.76,Start,1
Anti-Mage,Circlet,Off Lane,0.6,Start,1
Anti-Mage,Iron Branch,Off Lane,0.45,Start,2
Anti-Mage,Slippers of Agility,Off Lane,0.4,Start,1
Anti-Mage,Magic Stick,Off Lane,0.25,Start,1
Anti-Mage,Iron Branch,Off Lane,0.24,Start,1
Anti-Mage,Iron Branch,Off Lane,0.21,Start,3
Anti-Mage,Circlet,Off Lane,0.16,Start,2
Anti-Mage,Faerie Fire,Off Lane,0.11,Start,1
Anti-Mage,Wraith Band,Off Lane,0.47,Early Game,1
Anti-Mage,Bracer,Off Lane,0.14,Early Game,1
Anti-Mage,Wraith Band,Off Lane,0.2,Early Game,2
Anti-Mage,Boots of Speed,Off Lane,0.83,Early Game,1
Anti-Mage,Magic Wand,Off Lane,0.6,Early Game,1
Anti-Mage,Orb of Corrosion,Off Lane,0.46,Early Game,1
Anti-Mage,Power Treads,Off Lane,0.98,Early Game,1
Anti-Mage,Vanguard,Off Lane,0.58,Early Game,1
Anti-Mage,Diffusal Blade,Off Lane,0.74,Mid Game,1
Anti-Mage,Battle Fury,Off Lane,0.11,Mid Game,1
Anti-Mage,Yasha,Off Lane,0.91,Mid Game,1
Anti-Mage,Manta Style,Off Lane,0.89,Mid Game,1
Anti-Mage,Aghanim's Shard,Off Lane,0.42,Mid Game,1
Anti-Mage,Aghanim's Scepter,Off Lane,0.24,Mid Game,1
Anti-Mage,Skull Basher,Off Lane,0.53,Mid Game,1
Anti-Mage,Eye of Skadi,Off Lane,0.24,Mid Game,1
Anti-Mage,Butterfly,Off Lane,0.16,Mid Game,1
Anti-Mage,Abyssal Blade,Off Lane,0.6,Mid Game,1
Anti-Mage,Black King Bar,Off Lane,0.44,Mid Game,1
Anti-Mage,Linken's Sphere,Off Lane,0.14,Mid Game,1
Anti-Mage,Monkey King Bar,Off Lane,0.4,Late Game,1
Anti-Mage,Disperser,Off Lane,0.5,Late Game,1
Anti-Mage,Butterfly,Off Lane,0.17,Late Game,2
