Character,HeroStats,Damage,Deny,EPM,GPM,Heal,LastHits
Sven 8054595004,Sven 8054595004 stats,16987,3,512,550,0,258
Invoker 8054595004,Invoker 8054595004 stats,14488,9,569,464,0,195
Doom 8054595004,Doom 8054595004 stats,13311,3,405,445,0,150
Lion 8054595004,Lion 8054595004 stats,10206,2,244,265,0,30
Ogre Magi 8054595004,Ogre Magi 8054595004 stats,13065,10,320,268,0,39
Meepo 8054595004,Meepo 8054595004 stats,14926,2,1046,785,0,386
Templar Assassin 8054595004,Templar Assassin 8054595004 stats,26522,13,935,755,0,320
Magnus 8054595004,Magnus 8054595004 stats,10519,10,459,467,0,187
Shadow Demon 8054595004,Shadow Demon 8054595004 stats,20101,3,456,357,450,50
Crystal Maiden 8054595004,Crystal Maiden 8054595004 stats,16775,4,431,333,0,44
Ursa 8054665063,Ursa 8054665063 stats,51845,2,1065,830,0,696
Venomancer 8054665063,Venomancer 8054665063 stats,74486,0,963,734,8,663
Doom 8054665063,Doom 8054665063 stats,33381,6,910,635,0,343
Tusk 8054665063,Tusk 8054665063 stats,19959,4,786,428,0,200
Pugna 8054665063,Pugna 8054665063 stats,26204,2,696,439,7872,123
Clockwerk 8054665063,Clockwerk 8054665063 stats,27030,4,530,354,0,97
Razor 8054665063,Razor 8054665063 stats,48768,6,886,685,0,617
Pangolier 8054665063,Pangolier 8054665063 stats,48723,4,809,571,220,505
Dragon Knight 8054665063,Dragon Knight 8054665063 stats,51393,12,917,656,0,640
Lina 8054665063,Lina 8054665063 stats,29328,5,638,506,195,417
Tusk 8054761555,Tusk 8054761555 stats,5911,4,383,312,0,20
Magnus 8054761555,Magnus 8054761555 stats,9180,17,614,554,0,144
Tiny 8054761555,Tiny 8054761555 stats,21231,15,703,651,554,206
Batrider 8054761555,Batrider 8054761555 stats,11094,0,456,370,195,60
Drow Ranger 8054761555,Drow Ranger 8054761555 stats,18180,20,742,760,0,242
Gyrocopter 8054761555,Gyrocopter 8054761555 stats,13394,4,360,413,0,146
Ember Spirit 8054761555,Ember Spirit 8054761555 stats,9680,5,414,372,0,123
Doom 8054761555,Doom 8054761555 stats,6244,4,386,363,125,127
Earthshaker 8054761555,Earthshaker 8054761555 stats,7810,2,344,263,0,52
Disruptor 8054761555,Disruptor 8054761555 stats,4128,1,222,200,0,8
Lifestealer 8054846912,Lifestealer 8054846912 stats,9267,5,480,504,498,239
Sniper 8054846912,Sniper 8054846912 stats,22624,14,453,474,0,213
Mars 8054846912,Mars 8054846912 stats,8087,6,373,339,0,139
Muerta 8054846912,Muerta 8054846912 stats,10821,2,241,251,0,44
Elder Titan 8054846912,Elder Titan 8054846912 stats,8429,3,497,274,0,30
Templar Assassin 8054846912,Templar Assassin 8054846912 stats,15285,17,801,758,0,338
Invoker 8054846912,Invoker 8054846912 stats,18386,24,613,534,0,166
Tiny 8054846912,Tiny 8054846912 stats,13947,8,494,482,0,160
Pugna 8054846912,Pugna 8054846912 stats,15916,4,403,337,9926,50
Ogre Magi 8054846912,Ogre Magi 8054846912 stats,14579,0,391,304,0,23
Phoenix 8054936496,Phoenix 8054936496 stats,13697,4,641,420,5492,174
Wraith King 8054936496,Wraith King 8054936496 stats,30487,10,833,730,0,614
Sand King 8054936496,Sand King 8054936496 stats,44496,3,1019,646,367,463
Bristleback 8054936496,Bristleback 8054936496 stats,40965,4,979,682,0,420
Rubick 8054936496,Rubick 8054936496 stats,14480,0,549,365,0,151
Lich 8054936496,Lich 8054936496 stats,18577,4,492,287,0,107
Magnus 8054936496,Magnus 8054936496 stats,15314,14,680,498,0,450
Earth Spirit 8054936496,Earth Spirit 8054936496 stats,40311,4,789,602,0,549
Techies 8054936496,Techies 8054936496 stats,55201,0,547,353,0,166
Drow Ranger 8054936496,Drow Ranger 8054936496 stats,36549,10,756,596,0,535
Dragon Knight 8055088008,Dragon Knight 8055088008 stats,50173,10,876,793,0,480
Pangolier 8055088008,Pangolier 8055088008 stats,33490,3,877,597,0,326
Terrorblade 8055088008,Terrorblade 8055088008 stats,21891,2,661,615,0,324
Clockwerk 8055088008,Clockwerk 8055088008 stats,46748,2,623,455,1546,113
Phoenix 8055088008,Phoenix 8055088008 stats,31709,5,592,432,5011,135
Meepo 8055088008,Meepo 8055088008 stats,29148,3,845,796,0,566
Storm Spirit 8055088008,Storm Spirit 8055088008 stats,16628,4,617,467,212,286
Doom 8055088008,Doom 8055088008 stats,15511,3,473,457,0,221
Batrider 8055088008,Batrider 8055088008 stats,15145,1,424,342,0,162
Ogre Magi 8055088008,Ogre Magi 8055088008 stats,14570,1,396,257,0,49
Alchemist 8055187485,Alchemist 8055187485 stats,17664,8,786,832,0,392
Keeper Of The Light 8055187485,Keeper Of The Light 8055187485 stats,13883,1,549,492,6081,284
Death Prophet 8055187485,Death Prophet 8055187485 stats,13570,5,432,399,0,212
Muerta 8055187485,Muerta 8055187485 stats,16875,7,310,257,192,49
Tusk 8055187485,Tusk 8055187485 stats,6471,1,301,207,125,30
Chen 8055187485,Chen 8055187485 stats,6930,3,419,358,9718,74
Necrophos 8055187485,Necrophos 8055187485 stats,14788,7,643,540,6324,240
Invoker 8055187485,Invoker 8055187485 stats,21114,21,711,576,0,251
Batrider 8055187485,Batrider 8055187485 stats,14884,3,544,371,0,93
Dragon Knight 8055187485,Dragon Knight 8055187485 stats,27405,11,770,667,0,339
Morphling 8055284959,Morphling 8055284959 stats,13796,10,552,580,376,399
Earth Spirit 8055284959,Earth Spirit 8055284959 stats,20948,2,426,375,0,217
Doom 8055284959,Doom 8055284959 stats,9002,3,298,406,0,171
Muerta 8055284959,Muerta 8055284959 stats,11764,5,271,239,0,57
Undying 8055284959,Undying 8055284959 stats,7053,3,293,206,1731,45
Phoenix 8055284959,Phoenix 8055284959 stats,12758,1,639,470,2279,129
Wraith King 8055284959,Wraith King 8055284959 stats,18426,18,726,636,0,304
Lina 8055284959,Lina 8055284959 stats,22199,20,727,664,0,357
Magnus 8055284959,Magnus 8055284959 stats,19171,4,688,652,0,313
Shadow Demon 8055284959,Shadow Demon 8055284959 stats,13576,4,587,413,1955,106
Chen 8055385235,Chen 8055385235 stats,5327,3,278,336,7906,110
Dawnbreaker 8055385235,Dawnbreaker 8055385235 stats,26127,11,702,583,6043,371
Ember Spirit 8055385235,Ember Spirit 8055385235 stats,39970,8,666,586,0,345
Tusk 8055385235,Tusk 8055385235 stats,10929,2,295,244,0,22
Morphling 8055385235,Morphling 8055385235 stats,24650,5,831,709,2549,451
Alchemist 8055385235,Alchemist 8055385235 stats,28017,8,890,916,0,527
Storm Spirit 8055385235,Storm Spirit 8055385235 stats,42338,13,916,706,0,390
Timbersaw 8055385235,Timbersaw 8055385235 stats,47169,5,975,702,0,394
Clockwerk 8055385235,Clockwerk 8055385235 stats,22244,6,609,419,0,98
Pugna 8055385235,Pugna 8055385235 stats,19360,3,540,402,4033,78
Morphling 8055489134,Morphling 8055489134 stats,20591,6,891,795,0,502
Monkey King 8055489134,Monkey King 8055489134 stats,22329,8,709,545,0,304
Beastmaster 8055489134,Beastmaster 8055489134 stats,22327,5,803,640,0,354
Hoodwink 8055489134,Hoodwink 8055489134 stats,10617,1,474,312,0,68
Ogre Magi 8055489134,Ogre Magi 8055489134 stats,11406,1,473,286,0,22
Batrider 8055489134,Batrider 8055489134 stats,11605,5,408,270,0,88
Weaver 8055489134,Weaver 8055489134 stats,17410,11,655,545,125,315
Lina 8055489134,Lina 8055489134 stats,21784,5,684,608,0,449
Razor 8055489134,Razor 8055489134 stats,17357,22,609,545,0,379
Tusk 8055489134,Tusk 8055489134 stats,9088,1,472,304,0,97
Beastmaster 8054594883,Beastmaster 8054594883 stats,4957,12,543,468,0,172
Techies 8054594883,Techies 8054594883 stats,6990,0,272,206,0,37
Earth Spirit 8054594883,Earth Spirit 8054594883 stats,8357,1,326,327,8,119
Terrorblade 8054594883,Terrorblade 8054594883 stats,5626,5,476,502,0,255
Phoenix 8054594883,Phoenix 8054594883 stats,5036,2,276,237,676,45
Alchemist 8054594883,Alchemist 8054594883 stats,9752,4,714,894,0,262
Doom 8054594883,Doom 8054594883 stats,6287,5,686,584,0,141
Pugna 8054594883,Pugna 8054594883 stats,9937,1,452,393,1460,54
Dragon Knight 8054594883,Dragon Knight 8054594883 stats,15542,6,850,770,0,271
Muerta 8054594883,Muerta 8054594883 stats,7454,6,419,312,0,45
Gyrocopter 8054644399,Gyrocopter 8054644399 stats,25302,11,585,552,0,361
Ogre Magi 8054644399,Ogre Magi 8054644399 stats,16183,5,390,321,125,79
Tiny 8054644399,Tiny 8054644399 stats,18461,9,516,449,0,249
Shadow Demon 8054644399,Shadow Demon 8054644399 stats,16832,1,412,263,2254,75
Doom 8054644399,Doom 8054644399 stats,14556,11,630,475,0,205
Dragon Knight 8054644399,Dragon Knight 8054644399 stats,25952,24,949,828,0,442
Batrider 8054644399,Batrider 8054644399 stats,17999,4,525,378,0,82
Centaur Warrunner 8054644399,Centaur Warrunner 8054644399 stats,12371,20,600,513,0,270
Weaver 8054644399,Weaver 8054644399 stats,16547,1,635,372,320,96
Invoker 8054644399,Invoker 8054644399 stats,26518,19,740,615,0,267
Jakiro 8054705111,Jakiro 8054705111 stats,11511,2,498,365,0,43
Slardar 8054705111,Slardar 8054705111 stats,13407,20,735,596,0,181
