team,character,position,aspect
radiant 8054595004,Sven 8054595004,Carry,Wrath of God
radiant 8054595004,Invoker 8054595004,Mid,Elitist
radiant 8054595004,Doom 8054595004,Off Lane,Gluttony
radiant 8054595004,Lion 8054595004,Semi Support,Fist of Death
radiant 8054595004,Ogre Magi 8054595004,Full Support,Learning Curve
dire 8054595004,Meepo 8054595004,Carry,Pack Rat
dire 8054595004,Templar Assassin 8054595004,Mid,Refractor
dire 8054595004,Magnus 8054595004,Off Lane,Reverse Polarity
dire 8054595004,Shadow Demon 8054595004,Semi Support,Promulgate
dire 8054595004,Crystal Maiden 8054595004,Full Support,Frozen Expanse
radiant 8054665063,Ursa 8054665063,Carry,Bear Down
radiant 8054665063,Venomancer 8054665063,Mid,Plague Carrier
radiant 8054665063,Doom 8054665063,Off Lane,Devil's Bargain
radiant 8054665063,Tusk 8054665063,Semi Support,Tag Team
radiant 8054665063,Pugna 8054665063,Full Support,Siphoning Ward
dire 8054665063,Clockwerk 8054665063,Full Support,Expanded Armature
dire 8054665063,Razor 8054665063,Carry,Thunderhead
dire 8054665063,Pangolier 8054665063,Mid,Double Jump
dire 8054665063,Dragon Knight 8054665063,Off Lane,Fire Dragon
dire 8054665063,Lina 8054665063,Semi Support,Slow Burn
radiant 8054761555,Tusk 8054761555,Full Support,Tag Team
radiant 8054761555,Magnus 8054761555,Off Lane,Reverse Polarity
radiant 8054761555,Tiny 8054761555,Mid,Crash Landing
radiant 8054761555,Batrider 8054761555,Semi Support,Arsonist
radiant 8054761555,Drow Ranger 8054761555,Carry,Sidestep
dire 8054761555,Gyrocopter 8054761555,Carry,Secondary Strikes
dire 8054761555,Ember Spirit 8054761555,Mid,Double Impact
dire 8054761555,Doom 8054761555,Off Lane,Devil's Bargain
dire 8054761555,Earthshaker 8054761555,Semi Support,Tectonic Buildup
dire 8054761555,Disruptor 8054761555,Full Support,Thunderstorm
radiant 8054846912,Lifestealer 8054846912,Carry,Rage
radiant 8054846912,Sniper 8054846912,Mid,Ghillie Suit
radiant 8054846912,Mars 8054846912,Off Lane,Blood Sport
radiant 8054846912,Muerta 8054846912,Semi Support,Dance of the Dead
radiant 8054846912,Elder Titan 8054846912,Full Support,Deconstruction
dire 8054846912,Templar Assassin 8054846912,Carry,Voidblades
dire 8054846912,Invoker 8054846912,Mid,Elitist
dire 8054846912,Tiny 8054846912,Off Lane,Crash Landing
dire 8054846912,Pugna 8054846912,Semi Support,Siphoning Ward
dire 8054846912,Ogre Magi 8054846912,Full Support,Learning Curve
radiant 8054936496,Phoenix 8054936496,Full Support,Dying Light
radiant 8054936496,Wraith King 8054936496,Carry,Bone Guard
radiant 8054936496,Sand King 8054936496,Mid,Dust Devil
radiant 8054936496,Bristleback 8054936496,Off Lane,Seeing Red
radiant 8054936496,Rubick 8054936496,Semi Support,Frugal Filch
dire 8054936496,Lich 8054936496,Full Support,Growing Cold
dire 8054936496,Magnus 8054936496,Off Lane,Reverse Polarity
dire 8054936496,Earth Spirit 8054936496,Mid,Resonance
dire 8054936496,Techies 8054936496,Semi Support,Squee's Scope
dire 8054936496,Drow Ranger 8054936496,Carry,Sidestep
radiant 8055088008,Dragon Knight 8055088008,Carry,Fire Dragon
radiant 8055088008,Pangolier 8055088008,Mid,Thunderbolt
radiant 8055088008,Terrorblade 8055088008,Off Lane,Condemned
radiant 8055088008,Clockwerk 8055088008,Semi Support,Expanded Armature
