game,team
8054595004,radiant 8054595004
8054595004,dire 8054595004
8054665063,radiant 8054665063
8054665063,dire 8054665063
8054761555,radiant 8054761555
8054761555,dire 8054761555
8054846912,radiant 8054846912
8054846912,dire 8054846912
8054936496,radiant 8054936496
8054936496,dire 8054936496
8055088008,radiant 8055088008
8055088008,dire 8055088008
8055187485,radiant 8055187485
8055187485,dire 8055187485
8055284959,radiant 8055284959
8055284959,dire 8055284959
8055385235,radiant 8055385235
8055385235,dire 8055385235
8055489134,radiant 8055489134
8055489134,dire 8055489134
8054594883,radiant 8054594883
8054594883,dire 8054594883
8054644399,radiant 8054644399
8054644399,dire 8054644399
8054705111,radiant 8054705111
8054705111,dire 8054705111
8054769333,radiant 8054769333
8054769333,dire 8054769333
8054861702,radiant 8054861702
8054861702,dire 8054861702
8054965291,radiant 8054965291
8054965291,dire 8054965291
8055089269,radiant 8055089269
8055089269,dire 8055089269
8055231335,radiant 8055231335
8055231335,dire 8055231335
8055285102,radiant 8055285102
8055285102,dire 8055285102
8055384655,radiant 8055384655
8055384655,dire 8055384655
8056476228,radiant 8056476228
8056476228,dire 8056476228
8056585402,radiant 8056585402
8056585402,dire 8056585402
8056728116,radiant 8056728116
8056728116,dire 8056728116
8056889752,radiant 8056889752
8056889752,dire 8056889752
8056960913,radiant 8056960913
8056960913,dire 8056960913
8054595004,radiant 8054595004
8054595004,dire 8054595004
8054665063,radiant 8054665063
8054665063,dire 8054665063
8054761555,radiant 8054761555
8054761555,dire 8054761555
8054846912,radiant 8054846912
8054846912,dire 8054846912
8054936496,radiant 8054936496
8054936496,dire 8054936496
8055088008,radiant 8055088008
8055088008,dire 8055088008
8055187485,radiant 8055187485
8055187485,dire 8055187485
8055284959,radiant 8055284959
8055284959,dire 8055284959
8055385235,radiant 8055385235
8055385235,dire 8055385235
8055489134,radiant 8055489134
8055489134,dire 8055489134
8054594883,radiant 8054594883
8054594883,dire 8054594883
8054644399,radiant 8054644399
8054644399,dire 8054644399
8054705111,radiant 8054705111
8054705111,dire 8054705111
8054769333,radiant 8054769333
8054769333,dire 8054769333
8054861702,radiant 8054861702
8054861702,dire 8054861702
8054965291,radiant 8054965291
8054965291,dire 8054965291
8055089269,radiant 8055089269
8055089269,dire 8055089269
8055231335,radiant 8055231335
8055231335,dire 8055231335
8055285102,radiant 8055285102
8055285102,dire 8055285102
8055384655,radiant 8055384655
8055384655,dire 8055384655
8056476228,radiant 8056476228
8056476228,dire 8056476228
8056585402,radiant 8056585402
8056585402,dire 8056585402
8056728116,radiant 8056728116
8056728116,dire 8056728116
8056889752,radiant 8056889752
8056889752,dire 8056889752
8056960913,radiant 8056960913
8056960913,dire 8056960913
8057125074,radiant 8057125074
8057125074,dire 8057125074
8057869002,radiant 8057869002
8057869002,dire 8057869002
8058023635,radiant 8058023635
8058023635,dire 8058023635
8058124306,radiant 8058124306
8058124306,dire 8058124306
8058249772,radiant 8058249772
8058249772,dire 8058249772
8058358558,radiant 8058358558
8058358558,dire 8058358558
8059269676,radiant 8059269676
8059269676,dire 8059269676
8059395636,radiant 8059395636
8059395636,dire 8059395636
8059599922,radiant 8059599922
8059599922,dire 8059599922
8059708053,radiant 8059708053
8059708053,dire 8059708053
8060944213,radiant 8060944213
8060944213,dire 8060944213
8061100515,radiant 8061100515
8061100515,dire 8061100515
8061294743,radiant 8061294743
8061294743,dire 8061294743
8061396001,radiant 8061396001
8061396001,dire 8061396001
8062807181,radiant 8062807181
8062807181,dire 8062807181
8062945076,radiant 8062945076
8062945076,dire 8062945076
8063069899,radiant 8063069899
8063069899,dire 8063069899
8063200834,radiant 8063200834
8063200834,dire 8063200834
8041499047,radiant 8041499047
8041499047,dire 8041499047
8041499047,radiant 8041499047
8041499047,dire 8041499047
8041499047,radiant 8041499047
8041499047,dire 8041499047
