Character1,Character2,MidWithOffLane,MidWithSemiSupport,MidWithFullSupport,MidWithCarry,OffLaneWithMid,OffLaneWithSemiSupport,OffLaneWithFullSupport,OffLaneWithCarry,SemiSupportWithMid,SemiSupportWithOffLane,SemiSupportWithFullSupport,SemiSupportWithCarry,FullSupportWithMid,FullSupportWithOffLane,FullSupportWithSemiSupport,FullSupportWithCarry,CarryWithMid,CarryWithOffLane,CarryWithSemiSupport,CarryWithFullSupport,MidAgainstMid,MidAgainstOffLane,MidAgainstSemiSupport,MidAgainstFullSupport,MidAgainstCarry,OffLaneAgainstMid,OffLaneAgainstOffLane,OffLaneAgainstSemiSupport,OffLaneAgainstFullSupport,OffLaneAgainstCarry,SemiSupportAgainstMid,SemiSupportAgainstOffLane,SemiSupportAgainstSemiSupport,SemiSupportAgainstFullSupport,SemiSupportAgainstCarry,FullSupportAgainstMid,FullSupportAgainstOffLane,FullSupportAgainstSemiSupport,FullSupportAgainstFullSupport,FullSupportAgainstCarry,CarryAgainstMid,CarryAgainstOffLane,CarryAgainstSemiSupport,CarryAgainstFullSupport,CarryAgainstCarry
Kez,Muerta,0.36917823000000005,0.41480700000000004,0.40651086000000003,0.40236279,0.30588936,0.402486,0.39443628000000003,0.39041142,0.2965254,0.34724685,0.38236169999999997,0.37846005,0.2965254,0.34724685,0.390165,0.37846005,0.31525332000000006,0.36917823000000005,0.41480700000000004,0.40651086000000003,0.56996724,0.51021261,0.45965100000000003,0.46884402000000003,0.47344053,0.55303752,0.49505777999999995,0.445998,0.45491796,0.45937794000000004,0.5361078,0.47990294999999994,0.432345,0.4409919,0.44531535,0.5361078,0.47990294999999994,0.432345,0.4409919,0.44531535,0.56996724,0.51021261,0.45965100000000003,0.46884402000000003,0.47344053
Dark Willow,Marci,0.47751315,0.4543329,0.4543329,0.5006934000000001,0.51819075,0.4836447,0.4836447,0.5329962,0.523425,0.513455,0.48852999999999996,0.5383800000000001,0.51819075,0.50832045,0.4836447,0.5329962,0.502488,0.4929168,0.4689888,0.4689888,0.4733793,0.48334518,0.50825988,0.50825988,0.45843048000000003,0.5039199000000001,0.51452874,0.5410508400000001,0.5410508400000001,0.4880066400000001,0.5090100000000001,0.519726,0.5465160000000001,0.5465160000000001,0.4929360000000001,0.5039199000000001,0.51452874,0.5410508400000001,0.5410508400000001,0.4880066400000001,0.4886496,0.49893696000000004,0.52465536,0.52465536,0.47321856000000007
Dark Willow,Mars,0.44026199999999993,0.4226515199999999,0.37862532,0.4490672399999999,0.47803932,0.44991935999999993,0.40305276,0.47803932,0.482868,0.4734,0.40712400000000004,0.482868,0.47803932,0.46866599999999997,0.44991935999999993,0.47803932,0.46355328,0.454464,0.43628543999999997,0.39083904,0.47638878,0.486111,0.5055554400000001,0.55416654,0.47638878,0.50712354,0.5174730000000001,0.5381719200000001,0.5899192200000001,0.50712354,0.5122460000000001,0.5227,0.5436080000000001,0.595878,0.5122460000000001,0.50712354,0.5174730000000001,0.5381719200000001,0.5899192200000001,0.50712354,0.49175616,0.501792,0.52186368,0.5720428799999999,0.49175616
Dark Willow,Timbersaw,0.44277299999999997,0.40292342999999997,0.43391754,0.47376711,0.47605239,0.42891849000000004,0.46191222,0.50433273,0.48086100000000004,0.4761,0.466578,0.5094270000000001,0.47605239,0.471339,0.42891849000000004,0.50433273,0.46162656,0.457056,0.41592096,0.44791488,0.48769478999999993,0.4926209999999999,0.5369568899999998,0.50247342,0.4581375299999999,0.51915897,0.524403,0.5715992699999999,0.53489106,0.48769478999999993,0.524403,0.5297,0.5773729999999999,0.5402939999999999,0.4926209999999999,0.51915897,0.524403,0.5715992699999999,0.53489106,0.48769478999999993,0.5034268799999999,0.508512,0.5542780799999999,0.51868224,0.4729161599999999
Dark Willow,Rubick,0.38221883999999995,0.4437253199999999,0.43933199999999994,0.3734322,0.45832248,0.47235276,0.467676,0.3975246,0.462952,0.41098799999999996,0.4724,0.40154,0.45832248,0.40687811999999995,0.47235276,0.3975246,0.44443392,0.39454848,0.45803903999999995,0.45350399999999996,0.5003865,0.5543497499999999,0.48566924999999994,0.49057499999999993,0.5641612499999998,0.5326694999999999,0.5901142499999998,0.51700275,0.5222249999999999,0.6005587499999999,0.53805,0.5960749999999999,0.5222249999999999,0.5275,0.606625,0.5326694999999999,0.5901142499999998,0.51700275,0.5222249999999999,0.6005587499999999,0.516528,0.5722319999999999,0.501336,0.5064,0.5823599999999999
Dark Willow,Natures Prophet,0.42872256000000003,0.43765427999999995,0.39299568,0.4689153,0.48490595999999997,0.46589004,0.41835024000000004,0.4991679,0.489804,0.46099200000000007,0.42257600000000006,0.50421,0.48490595999999997,0.45638208,0.46589004,0.4991679,0.47021184000000005,0.44255232000000005,0.45177216,0.4056729600000001,0.49297625999999994,0.52315848,0.51309774,0.5634014399999999,0.4778851499999999,0.5247811800000001,0.5569106400000001,0.54620082,0.59974992,0.50871645,0.530082,0.562536,0.551718,0.605808,0.5138550000000001,0.5247811800000001,0.5569106400000001,0.54620082,0.59974992,0.50871645,0.50887872,0.54003456,0.5296492800000001,0.58157568,0.49330080000000004
Dark Willow,Templar Assassin,0.47754849,0.33473024999999995,0.33473024999999995,0.45523314,0.46559898,0.35632575,0.35632575,0.48460302,0.470302,0.513493,0.359925,0.489498,0.46559898,0.50835807,0.35632575,0.48460302,0.45148992,0.49295328000000005,0.345528,0.345528,0.5080701599999999,0.4632404399999999,0.6226349999999999,0.6226349999999999,0.48814583999999994,0.54084888,0.4931269199999999,0.6628049999999999,0.6628049999999999,0.5196391199999999,0.546312,0.49810799999999994,0.6695,0.6695,0.5248879999999999,0.54084888,0.4931269199999999,0.6628049999999999,0.6628049999999999,0.5196391199999999,0.52445952,0.47818367999999994,0.64272,0.64272,0.50389248
Dark Willow,Lina,0.39397589999999993,0.41148594,0.38522088,0.38084337,0.465993,0.43803341999999995,0.41007383999999997,0.40541391,0.4707,0.42362999999999995,0.41421600000000003,0.409509,0.465993,0.4193936999999999,0.43803341999999995,0.40541391,0.451872,0.40668479999999996,0.42475968,0.39764736,0.496899,0.5465889,0.52671294,0.5565268800000001,0.5614958699999999,0.528957,0.5818527000000001,0.56069442,0.59243184,0.59772141,0.5343,0.5877300000000001,0.566358,0.5984160000000001,0.6037589999999999,0.528957,0.5818527000000001,0.56069442,0.59243184,0.59772141,0.5129279999999999,0.5642208,0.5437036799999999,0.57447936,0.5796086399999999
Dark Willow,Sniper,0.37326666000000003,0.42101007,0.40364883,0.45573255,0.46665333000000003,0.44817201,0.42969069000000004,0.48513465000000006,0.471367,0.40136200000000005,0.434031,0.490035,0.46665333000000003,0.39734838000000006,0.44817201,0.48513465000000006,0.45251231999999997,0.38530752,0.43459104,0.41666976,0.4911013799999999,0.5655106799999999,0.5109438599999999,0.5307863399999999,0.4712588999999999,0.52278534,0.60199524,0.5439079800000001,0.5650306199999999,0.5016627,0.528066,0.608076,0.549402,0.5707379999999999,0.50673,0.52278534,0.60199524,0.5439079800000001,0.5650306199999999,0.5016627,0.50694336,0.5837529599999999,0.52742592,0.5479084799999999,0.4864607999999999
Dark Willow,Razor,0.43840199999999996,0.46470612,0.4120978799999999,0.4296339599999999,0.46201914,0.49468716,0.43868483999999996,0.45735228,0.466686,0.4714,0.44311599999999995,0.461972,0.46201914,0.466686,0.49468716,0.45735228,0.44801855999999995,0.45254399999999995,0.47969663999999995,0.42539135999999994,0.5111670599999999,0.506106,0.4757396399999999,0.53647236,0.51622812,0.54414558,0.538758,0.5064325199999999,0.57108348,0.54953316,0.5496420000000001,0.5442,0.511548,0.576852,0.555084,0.54414558,0.538758,0.5064325199999999,0.57108348,0.54953316,0.5276563200000001,0.522432,0.49108608,0.55377792,0.53288064
