Character1,Character2,MidWithOffLane,MidWithSemiSupport,MidWithFullSupport,MidWithCarry,OffLaneWithMid,OffLaneWithSemiSupport,OffLaneWithFullSupport,OffLaneWithCarry,SemiSupportWithMid,SemiSupportWithOffLane,SemiSupportWithFullSupport,SemiSupportWithCarry,FullSupportWithMid,FullSupportWithOffLane,FullSupportWithSemiSupport,FullSupportWithCarry,CarryWithMid,CarryWithOffLane,CarryWithSemiSupport,CarryWithFullSupport,MidAgainstMid,MidAgainstOffLane,MidAgainstSemiSupport,MidAgainstFullSupport,MidAgainstCarry,OffLaneAgainstMid,OffLaneAgainstOffLane,OffLaneAgainstSemiSupport,OffLaneAgainstFullSupport,OffLaneAgainstCarry,SemiSupportAgainstMid,SemiSupportAgainstOffLane,SemiSupportAgainstSemiSupport,SemiSupportAgainstFullSupport,SemiSupportAgainstCarry,FullSupportAgainstMid,FullSupportAgainstOffLane,FullSupportAgainstSemiSupport,FullSupportAgainstFullSupport,FullSupportAgainstCarry,CarryAgainstMid,CarryAgainstOffLane,CarryAgainstSemiSupport,CarryAgainstFullSupport,CarryAgainstCarry
Kez,Muerta,0.4107,0.4107,0.4107,0.4107,0.4107,0.4107,0.4107,0.4107,0.4107,0.4107,0.4107,0.4107,0.4107,0.4107,0.4107,0.4107,0.4107,0.4107,0.4107,0.4107,0.4551,0.4551,0.4551,0.4551,0.4551,0.4551,0.4551,0.4551,0.4551,0.4551,0.4551,0.4551,0.4551,0.4551,0.4551,0.4551,0.4551,0.4551,0.4551,0.4551,0.4551,0.4551,0.4551,0.4551,0.4551
Dark Willow,Marci,0.4985,0.4985,0.4985,0.4985,0.4985,0.4985,0.4985,0.4985,0.4985,0.4985,0.4985,0.4985,0.4985,0.4985,0.4985,0.4985,0.4985,0.4985,0.4985,0.4985,0.5358,0.5358,0.5358,0.5358,0.5358,0.5358,0.5358,0.5358,0.5358,0.5358,0.5358,0.5358,0.5358,0.5358,0.5358,0.5358,0.5358,0.5358,0.5358,0.5358,0.5358,0.5358,0.5358,0.5358,0.5358
Dark Willow,Mars,0.4734,0.4734,0.4734,0.4734,0.4734,0.4734,0.4734,0.4734,0.4734,0.4734,0.4734,0.4734,0.4734,0.4734,0.4734,0.4734,0.4734,0.4734,0.4734,0.4734,0.5227,0.5227,0.5227,0.5227,0.5227,0.5227,0.5227,0.5227,0.5227,0.5227,0.5227,0.5227,0.5227,0.5227,0.5227,0.5227,0.5227,0.5227,0.5227,0.5227,0.5227,0.5227,0.5227,0.5227,0.5227
Dark Willow,Timbersaw,0.4761,0.4761,0.4761,0.4761,0.4761,0.4761,0.4761,0.4761,0.4761,0.4761,0.4761,0.4761,0.4761,0.4761,0.4761,0.4761,0.4761,0.4761,0.4761,0.4761,0.5297,0.5297,0.5297,0.5297,0.5297,0.5297,0.5297,0.5297,0.5297,0.5297,0.5297,0.5297,0.5297,0.5297,0.5297,0.5297,0.5297,0.5297,0.5297,0.5297,0.5297,0.5297,0.5297,0.5297,0.5297
Dark Willow,Rubick,0.4724,0.4724,0.4724,0.4724,0.4724,0.4724,0.4724,0.4724,0.4724,0.4724,0.4724,0.4724,0.4724,0.4724,0.4724,0.4724,0.4724,0.4724,0.4724,0.4724,0.5275,0.5275,0.5275,0.5275,0.5275,0.5275,0.5275,0.5275,0.5275,0.5275,0.5275,0.5275,0.5275,0.5275,0.5275,0.5275,0.5275,0.5275,0.5275,0.5275,0.5275,0.5275,0.5275,0.5275,0.5275
Dark Willow,Natures Prophet,0.4802,0.4802,0.4802,0.4802,0.4802,0.4802,0.4802,0.4802,0.4802,0.4802,0.4802,0.4802,0.4802,0.4802,0.4802,0.4802,0.4802,0.4802,0.4802,0.4802,0.5409,0.5409,0.5409,0.5409,0.5409,0.5409,0.5409,0.5409,0.5409,0.5409,0.5409,0.5409,0.5409,0.5409,0.5409,0.5409,0.5409,0.5409,0.5409,0.5409,0.5409,0.5409,0.5409,0.5409,0.5409
Dark Willow,Templar Assassin,0.4799,0.4799,0.4799,0.4799,0.4799,0.4799,0.4799,0.4799,0.4799,0.4799,0.4799,0.4799,0.4799,0.4799,0.4799,0.4799,0.4799,0.4799,0.4799,0.4799,0.5356,0.5356,0.5356,0.5356,0.5356,0.5356,0.5356,0.5356,0.5356,0.5356,0.5356,0.5356,0.5356,0.5356,0.5356,0.5356,0.5356,0.5356,0.5356,0.5356,0.5356,0.5356,0.5356,0.5356,0.5356
Dark Willow,Lina,0.4707,0.4707,0.4707,0.4707,0.4707,0.4707,0.4707,0.4707,0.4707,0.4707,0.4707,0.4707,0.4707,0.4707,0.4707,0.4707,0.4707,0.4707,0.4707,0.4707,0.5343,0.5343,0.5343,0.5343,0.5343,0.5343,0.5343,0.5343,0.5343,0.5343,0.5343,0.5343,0.5343,0.5343,0.5343,0.5343,0.5343,0.5343,0.5343,0.5343,0.5343,0.5343,0.5343,0.5343,0.5343
Dark Willow,Sniper,0.4667,0.4667,0.4667,0.4667,0.4667,0.4667,0.4667,0.4667,0.4667,0.4667,0.4667,0.4667,0.4667,0.4667,0.4667,0.4667,0.4667,0.4667,0.4667,0.4667,0.5334,0.5334,0.5334,0.5334,0.5334,0.5334,0.5334,0.5334,0.5334,0.5334,0.5334,0.5334,0.5334,0.5334,0.5334,0.5334,0.5334,0.5334,0.5334,0.5334,0.5334,0.5334,0.5334,0.5334,0.5334
Dark Willow,Razor,0.4714,0.4714,0.4714,0.4714,0.4714,0.4714,0.4714,0.4714,0.4714,0.4714,0.4714,0.4714,0.4714,0.4714,0.4714,0.4714,0.4714,0.4714,0.4714,0.4714,0.5442,0.5442,0.5442,0.5442,0.5442,0.5442,0.5442,0.5442,0.5442,0.5442,0.5442,0.5442,0.5442,0.5442,0.5442,0.5442,0.5442,0.5442,0.5442,0.5442,0.5442,0.5442,0.5442,0.5442,0.5442
