film	category	director	actor	duration	release_year	rating
Once	Drama	JohnCarney	GlenHansard	86	2007	7.8
Once	Music	JohnCarney	GlenHansard	86	2007	7.8
Once	Romance	JohnCarney	GlenHansard	86	2007	7.8
Once	Drama	JohnCarney	MarkétaIrglová	86	2007	7.8
Once	Music	JohnCarney	MarkétaIrglová	86	2007	7.8
Once	Romance	JohnCarney	MarkétaIrglová	86	2007	7.8
Once	Drama	JohnCarney	HughWalsh	86	2007	7.8
Once	Music	JohnCarney	HughWalsh	86	2007	7.8
Once	Romance	JohnCarney	HughWalsh	86	2007	7.8
Once	Drama	JohnCarney	GerardHendrick	86	2007	7.8
Once	Music	JohnCarney	GerardHendrick	86	2007	7.8
Once	Romance	JohnCarney	GerardHendrick	86	2007	7.8
The_39_Steps	Crime	AlfredHitchcock	RobertDonat	86	1935	7.6
The_39_Steps	Mystery	AlfredHitchcock	RobertDonat	86	1935	7.6
The_39_Steps	Thriller	AlfredHitchcock	RobertDonat	86	1935	7.6
The_39_Steps	Crime	AlfredHitchcock	MadeleineCarroll	86	1935	7.6
The_39_Steps	Mystery	AlfredHitchcock	MadeleineCarroll	86	1935	7.6
The_39_Steps	Thriller	AlfredHitchcock	MadeleineCarroll	86	1935	7.6
The_39_Steps	Crime	AlfredHitchcock	LucieMannheim	86	1935	7.6
The_39_Steps	Mystery	AlfredHitchcock	LucieMannheim	86	1935	7.6
The_39_Steps	Thriller	AlfredHitchcock	LucieMannheim	86	1935	7.6
The_39_Steps	Crime	AlfredHitchcock	GodfreyTearle	86	1935	7.6
The_39_Steps	Mystery	AlfredHitchcock	GodfreyTearle	86	1935	7.6
The_39_Steps	Thriller	AlfredHitchcock	GodfreyTearle	86	1935	7.6
Brief_Encounter	Drama	DavidLean	CeliaJohnson	86	1945	8.0
Brief_Encounter	Romance	DavidLean	CeliaJohnson	86	1945	8.0
Brief_Encounter	Drama	DavidLean	TrevorHoward	86	1945	8.0
Brief_Encounter	Romance	DavidLean	TrevorHoward	86	1945	8.0
Brief_Encounter	Drama	DavidLean	StanleyHolloway	86	1945	8.0
Brief_Encounter	Romance	DavidLean	StanleyHolloway	86	1945	8.0
Brief_Encounter	Drama	DavidLean	JoyceCarey	86	1945	8.0
Brief_Encounter	Romance	DavidLean	JoyceCarey	86	1945	8.0
Tonari_no_Totoro	Animation	HayaoMiyazaki	HitoshiTakagi	86	1988	8.1
Tonari_no_Totoro	Comedy	HayaoMiyazaki	HitoshiTakagi	86	1988	8.1
Tonari_no_Totoro	Family	HayaoMiyazaki	HitoshiTakagi	86	1988	8.1
Tonari_no_Totoro	Animation	HayaoMiyazaki	NorikoHidaka	86	1988	8.1
Tonari_no_Totoro	Comedy	HayaoMiyazaki	NorikoHidaka	86	1988	8.1
Tonari_no_Totoro	Family	HayaoMiyazaki	NorikoHidaka	86	1988	8.1
Tonari_no_Totoro	Animation	HayaoMiyazaki	ChikaSakamoto	86	1988	8.1
