Динозавр;Отряд;Семейство;Эпоха;Таз
dinosaurus#Acheroraptor;dinosaurus#Тероподы;dinosaurus#Дромеозавриды;dinosaurus#Ранний_мел;dinosaurus#Ящеротазовый
dinosaurus#Acrotholus;dinosaurus#Пахецелозавры;dinosaurus#Пахицефалозавриды;dinosaurus#Верхний_мел;dinosaurus#Птицетозовый
dinosaurus#Adelolophus;dinosaurus#Орнитоподы;dinosaurus#Гадрозавриды;dinosaurus#Верхний_мел;dinosaurus#Птицетозовый
dinosaurus#Adeopapposaurus;dinosaurus#Завроподоморфы;dinosaurus#Завроподоморфы;dinosaurus#Ранний_мел;dinosaurus#Птицетозовый
dinosaurus#Agujaceratops;dinosaurus#Цератопсы;dinosaurus#Цератопсиды;dinosaurus#Верхний_мел;dinosaurus#Птицетозовый
dinosaurus#Ajkaceratops;dinosaurus#Цератопсы;dinosaurus#Цератопсиды;dinosaurus#Верхний_мел;dinosaurus#Птицетозовый
dinosaurus#Ganzhousaurus;dinosaurus#Тероподы;dinosaurus#Овирапториды;dinosaurus#Верхний_мел;dinosaurus#Ящеротазовый
dinosaurus#Gargoyleosaurus;dinosaurus#Анкилозавры;dinosaurus#Нодозавриды;dinosaurus#Верхний_мел;dinosaurus#Птицетозовый
dinosaurus#Genyodectes;dinosaurus#Тероподы;dinosaurus#Ceratosauridae;dinosaurus#Верхний_мел;dinosaurus#Ящеротазовый
dinosaurus#Halszkaraptor;dinosaurus#Тероподы;dinosaurus#Дромеозавриды;dinosaurus#Ранний_мел;dinosaurus#Ящеротазовый
dinosaurus#Huaxiaosaurus_aigahtens;dinosaurus#Орнитоподы;dinosaurus#Гадрозавриды;dinosaurus#Верхний_мел;dinosaurus#Птицетозовый
dinosaurus#Indosuchus;dinosaurus#Тероподы;dinosaurus#Абелизавриды;dinosaurus#Верхний_мел;dinosaurus#Ящеротазовый
dinosaurus#Jainosaurus;dinosaurus#Завроподы;dinosaurus#Завроподоморфы;dinosaurus#Ранний_мел;dinosaurus#Птицетозовый
dinosaurus#Jaklapallisaurus;dinosaurus#Завроподоморфы;dinosaurus#Завроподоморфы;dinosaurus#Верхний_мел;dinosaurus#Птицетозовый
dinosaurus#Jeyawati;dinosaurus#Орнитоподы;dinosaurus#Гадрозавриды;dinosaurus#Верхний_мел;dinosaurus#Птицетозовый
dinosaurus#Jinyunpelta;dinosaurus#Анкилозавры;dinosaurus#Анкилозавриды;dinosaurus#Верхний_мел;dinosaurus#Птицетозовый
dinosaurus#Kayentavenator;dinosaurus#Тероподы;dinosaurus#Дромеозавриды;dinosaurus#Верхний_мел;dinosaurus#Ящеротазовый
dinosaurus#Machairasaurus;dinosaurus#Тероподы;dinosaurus#Овирапториды;dinosaurus#Верхний_мел;dinosaurus#Ящеротазовый
dinosaurus#Macrocollum;dinosaurus#Завроподоморфы;dinosaurus#Завроподоморфы;dinosaurus#Ранний_мел;dinosaurus#Птицетозовый
dinosaurus#Magnapaulia;dinosaurus#Орнитоподы;dinosaurus#Гадрозавриды;dinosaurus#Верхний_мел;dinosaurus#Птицетозовый
dinosaurus#Morelladon;dinosaurus#Орнитоподы;dinosaurus#Гадрозавриды;dinosaurus#Верхний_мел;dinosaurus#Птицетозовый
dinosaurus#Nambalia;dinosaurus#Завроподоморфы;dinosaurus#Завроподоморфы;dinosaurus#Ранний_мел;dinosaurus#Птицетозовый
dinosaurus#Nanosaurus;dinosaurus#Орнитоподы;dinosaurus#Гадрозавриды;dinosaurus#Верхний_мел;dinosaurus#Птицетозовый
dinosaurus#Nanshiungosaurus;dinosaurus#Тероподы;dinosaurus#Теризинозавриды;dinosaurus#Верхний_мел;dinosaurus#Ящеротазовый
dinosaurus#Natovenator;dinosaurus#Тероподы;dinosaurus#Дромеозавриды;dinosaurus#Ранний_мел;dinosaurus#Ящеротазовый
dinosaurus#Ojoceratops;dinosaurus#Цератопсы;dinosaurus#Цератопсиды;dinosaurus#Верхний_мел;dinosaurus#Птицетозовый
dinosaurus#Pararhabdodon;dinosaurus#Орнитоподы;dinosaurus#Гадрозавриды;;dinosaurus#Ящеротазовый
dinosaurus#Qantassaurus_intrepidus;dinosaurus#Орнитоподы;;dinosaurus#Верхний_мел;dinosaurus#Птицетозовый
dinosaurus#Qiaowanlong;dinosaurus#Завроподы;;dinosaurus#Ранний_мел;dinosaurus#Птицетозовый
dinosaurus#Sahaliyania;dinosaurus#Орнитоподы;dinosaurus#Гадрозавриды;dinosaurus#Верхний_мел;dinosaurus#Птицетозовый
dinosaurus#Авимим;dinosaurus#Тероподы;;dinosaurus#Верхний_мел;dinosaurus#Ящеротазовый
dinosaurus#Агилизавр;dinosaurus#Орнитоподы;dinosaurus#Гадрозавриды;dinosaurus#средняя_юра;dinosaurus#Птицетозовый
dinosaurus#Агустиния;dinosaurus#Завроподы;dinosaurus#Завроподоморфы;dinosaurus#Ранний_мел;dinosaurus#Птицетозовый
dinosaurus#Адазавр;dinosaurus#Тероподы;dinosaurus#Дромеозавриды;dinosaurus#Верхний_мел;dinosaurus#Ящеротазовый
dinosaurus#Адамантизавр;dinosaurus#Завроподоморфы;dinosaurus#Завроподоморфы;dinosaurus#Верхний_мел;dinosaurus#Птицетозовый
dinosaurus#Акаинацефалус;dinosaurus#Анкилозавры;dinosaurus#Анкилозавриды;dinosaurus#Верхний_мел;dinosaurus#Птицетозовый
dinosaurus#Акрокантозавр;dinosaurus#Тероподы;dinosaurus#Кархародонтозавриды;dinosaurus#Верхний_мел;dinosaurus#Ящеротазовый
dinosaurus#Алиорам;dinosaurus#Тероподы;dinosaurus#Тираннозавриды;dinosaurus#Верхний_мел;dinosaurus#Ящеротазовый
dinosaurus#Аллозавр;dinosaurus#Тероподы;dinosaurus#Аллозавриды;dinosaurus#Верхний_мел;dinosaurus#Ящеротазовый
dinosaurus#Альбалофозаурус;dinosaurus#Цератопсы;;dinosaurus#Верхний_мел;dinosaurus#Птицетозовый
dinosaurus#Альбертадромеус;dinosaurus#Тероподы;dinosaurus#Тесцелозавриды;dinosaurus#Верхний_мел;dinosaurus#Ящеротазовый
dinosaurus#Альбертацератопс;dinosaurus#Цератопсы;dinosaurus#Цератопсиды;dinosaurus#Верхний_мел;dinosaurus#Птицетозовый
dinosaurus#Альбертозавр;dinosaurus#Тероподы;dinosaurus#Тираннозавриды;dinosaurus#Верхний_мел;dinosaurus#Ящеротазовый
dinosaurus#Альбертоник;dinosaurus#Тероподы;dinosaurus#Альваресзавриды;dinosaurus#Верхний_мел;dinosaurus#Ящеротазовый
dinosaurus#Альбинукус;dinosaurus#Тероподы;dinosaurus#Альваресзавриды;dinosaurus#Верхний_мел;dinosaurus#Ящеротазовый
dinosaurus#Аляскацефале;dinosaurus#Пахицефалозавры;dinosaurus#Пахицефалозавриды;;dinosaurus#Ящеротазовый
dinosaurus#Ахиллезавр;dinosaurus#Тероподы;dinosaurus#Альваресзавриды;dinosaurus#Верхний_мел;dinosaurus#Ящеротазовый
dinosaurus#Ахшислепелта;dinosaurus#Анкилозавры;dinosaurus#Анкилозавриды;dinosaurus#Верхний_мел;dinosaurus#Птицетозовый
dinosaurus#Балаур;dinosaurus#Тероподы;;dinosaurus#Верхний_мел;dinosaurus#Ящеротазовый
dinosaurus#Баньцзи;dinosaurus#Тероподы;dinosaurus#Овирапториды;dinosaurus#Верхний_мел;dinosaurus#Ящеротазовый
dinosaurus#Башанозавр;dinosaurus#Стегозавры;dinosaurus#Стегозавриды;dinosaurus#Верхний_мел;dinosaurus#Птицетозовый
dinosaurus#Бетасучус;dinosaurus#Тероподы;dinosaurus#Тесцелозавриды;dinosaurus#Верхний_мел;dinosaurus#Ящеротазовый
dinosaurus#Бицентенария;dinosaurus#Тероподы;dinosaurus#Тесцелозавриды;dinosaurus#Верхний_мел;dinosaurus#Ящеротазовый
dinosaurus#Бэмбираптор;dinosaurus#Тероподы;dinosaurus#Дромеозавриды;dinosaurus#Верхний_мел;dinosaurus#Ящеротазовый
dinosaurus#Гадрозавр;dinosaurus#Тероподы;dinosaurus#Гадрозавриды;dinosaurus#Верхний_мел;dinosaurus#Ящеротазовый
dinosaurus#Гаспаринизавра;dinosaurus#Орнитоподы;;dinosaurus#Верхний_мел;dinosaurus#Птицетозовый
dinosaurus#Гастония;dinosaurus#Орнитоподы;dinosaurus#Гадрозавриды;dinosaurus#Верхний_мел;dinosaurus#Птицетозовый
dinosaurus#Датонглонг;dinosaurus#Орнитоподы;dinosaurus#Гадрозавриды;dinosaurus#Верхний_мел;dinosaurus#Птицетозовый
dinosaurus#Дейноних;dinosaurus#Тероподы;dinosaurus#Дромеозавриды;dinosaurus#Ранний_мел;dinosaurus#Ящеротазовый
dinosaurus#Жираффатитан;dinosaurus#Завроподы;dinosaurus#Брахиозавриды;dinosaurus#Поздняя_юра;dinosaurus#Ящеротазовый
dinosaurus#Завролофы;dinosaurus#Орнитоподы;dinosaurus#Гадрозавриды;dinosaurus#Верхний_мел;dinosaurus#Птицетозовый
dinosaurus#Заврорнитолест;dinosaurus#Тероподы;dinosaurus#Дромеозавриды;dinosaurus#Верхний_мел;dinosaurus#Ящеротазовый
dinosaurus#Игуанодон;dinosaurus#Орнитоподы;dinosaurus#Iguanodontidae;dinosaurus#Верхний_мел;dinosaurus#Птицетозовый
dinosaurus#Камаразавр;dinosaurus#Завроподы;dinosaurus#Camarasauridae;dinosaurus#Ранний_мел;dinosaurus#Ящеротазовый
dinosaurus#Канардиа;dinosaurus#Орнитоподы;dinosaurus#Гадрозавриды;dinosaurus#Верхний_мел;dinosaurus#Птицетозовый
dinosaurus#Кансайгнат;dinosaurus#Тероподы;dinosaurus#Дромеозавриды;dinosaurus#Ранний_мел;dinosaurus#Ящеротазовый
dinosaurus#Карнотавр;dinosaurus#Тероподы;dinosaurus#Абелизавриды;dinosaurus#Верхний_мел;dinosaurus#Ящеротазовый
dinosaurus#Кархародонтозавр;dinosaurus#Тероподы;dinosaurus#Кархародонтозавриды;dinosaurus#Верхний_мел;dinosaurus#Ящеротазовый
dinosaurus#Каудиптерикс;dinosaurus#Тероподы;dinosaurus#Caudipterygidae;dinosaurus#Верхний_мел;dinosaurus#Ящеротазовый
dinosaurus#Кентрозавр;dinosaurus#Стегозавры;dinosaurus#Стегозавриды;dinosaurus#Верхний_мел;dinosaurus#Птицетозовый
dinosaurus#Керберозавр;dinosaurus#Орнитоподы;dinosaurus#Гадрозавриды;dinosaurus#Верхний_мел;dinosaurus#Птицетозовый
dinosaurus#Ламбеозавр;dinosaurus#Орнитоподы;dinosaurus#Гадрозавриды;dinosaurus#Верхний_мел;dinosaurus#Птицетозовый
