Game,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
Wii Sports,Wii,2006,Sports,Nintendo,41490000,292000000,3770000,8460000,82740000
Super Mario Bros.,NES,1985,Platform,Nintendo,298000000,3580000,6810000,770000,40240000
Mario Kart Wii,Wii,2008,Racing,Nintendo,15850000,12880000,3790000,3310000,35820000
Wii Sports Resort,Wii,2009,Sports,Nintendo,15750000,111000000,3280000,2960000,33000000
Pokemon Red/Pokemon Blue,GB,1996,Role-Playing,Nintendo,11270000,8890000,10220000,1000000,31370000
Tetris,GB,1989,Puzzle,Nintendo,23200000,2260000,4220000,580000,30260000
New Super Mario Bros.,DS,2006,Platform,Nintendo,11380000,9230000,6500000,2900000,301000000
Wii Play,Wii,2006,Misc,Nintendo,143000000,9200000,2930000,2850000,292000000
New Super Mario Bros. Wii,Wii,2009,Platform,Nintendo,14590000,76000000,4700000,2260000,28620000
Duck Hunt,NES,1984,Shooter,Nintendo,26930000,630000,280000,470000,28310000
Nintendogs,DS,2005,Simulation,Nintendo,97000000,11000000,1930000,2750000,24760000
Mario Kart DS,DS,2005,Racing,Nintendo,9810000,7570000,4130000,1920000,23420000
Pokemon Gold/Pokemon Silver,GB,1999,Role-Playing,Nintendo,9000000,6180000,7200000,710000,23100000
Wii Fit,Wii,2007,Sports,Nintendo,8940000,83000000,3600000,2150000,22720000
Wii Fit Plus,Wii,2009,Sports,Nintendo,99000000,8590000,2530000,1790000,22000000
Kinect Adventures!,X360,2010,Misc,Microsoft Game Studios,14970000,4940000,240000,1670000,21820000
Grand Theft Auto V,PS3,2013,Action,Take-Two Interactive,71000000,9270000,970000,4139999.9999999995,21400000
Grand Theft Auto: San Andreas,PS2,2004,Action,Take-Two Interactive,9430000,400000,410000,10570000,20810000
Super Mario World,SNES,1990,Platform,Nintendo,12780000,3750000,3540000,550000,20610000
Brain Age: Train Your Brain in Minutes a Day,DS,2005,Misc,Nintendo,4750000,9260000,4160000,25000000,20220000
Pokemon Diamond/Pokemon Pearl,DS,2006,Role-Playing,Nintendo,6420000,4520000,64000000,1370000,18360000
Super Mario Land,GB,1989,Platform,Nintendo,10830000,2710000,4179999.9999999995,420000,18140000
Super Mario Bros. 3,NES,1988,Platform,Nintendo,9540000,3440000,3840000,460000,17280000
Grand Theft Auto V,X360,2013,Action,Take-Two Interactive,9630000,5310000,6000000,1380000,16379999.999999998
Grand Theft Auto: Vice City,PS2,2002,Action,Take-Two Interactive,8410000,5490000,470000,1780000,16149999.999999998
Pokemon Ruby/Pokemon Sapphire,GBA,2002,Role-Playing,Nintendo,66000000,3900000,5380000,500000,15850000
Pokemon Black/Pokemon White,DS,2010,Role-Playing,Nintendo,5570000,3280000,5650000,820000,15320000
Brain Age 2: More Training in Minutes a Day,DS,2005,Puzzle,Nintendo,3440000,5360000,5320000,1180000,15300000
Gran Turismo 3: A-Spec,PS2,2001,Racing,Sony Computer Entertainment,6850000,59000000,1870000,1160000,14980000
Call of Duty: Modern Warfare 3,X360,2011,Shooter,Activision,93000000,4280000,130000,1320000,14760000
Pokémon Yellow: Special Pikachu Edition,GB,1998,Role-Playing,Nintendo,5890000,54000000,3120000,590000,14640000
Call of Duty: Black Ops,X360,2010,Shooter,Activision,9670000,3730000,110000,1130000,14640000
Pokemon X/Pokemon Y,3DS,2013,Role-Playing,Nintendo,5170000,45000000,4340000,790000,14350000
Call of Duty: Black Ops 3,PS4,2015,Shooter,Activision,5770000,5810000,350000,2310000,14240000
Call of Duty: Black Ops II,PS3,2012,Shooter,Activision,4990000,5880000,650000,2520000,143000000
Call of Duty: Black Ops II,X360,2012,Shooter,Activision,8250000,4300000,7000000,1120000,13730000
Call of Duty: Modern Warfare 2,X360,2009,Shooter,Activision,8520000,3630000,8000000,1290000,13510000
Call of Duty: Modern Warfare 3,PS3,2011,Shooter,Activision,5540000,5820000,490000,1620000,13460000
Grand Theft Auto III,PS2,2001,Action,Take-Two Interactive,6990000,4510000,300000,1300000,13100000
Super Smash Bros. Brawl,Wii,2008,Fighting,Nintendo,6750000,2610000,2660000,12000000,134000000
Call of Duty: Black Ops,PS3,2010,Shooter,Activision,5980000,4440000,480000,1830000,12730000
Animal Crossing: Wild World,DS,2005,Simulation,Nintendo,2550000,3520000,5330000,880000,12270000
Mario Kart 7,3DS,2011,Racing,Nintendo,4740000,3910000,2670000,890000,12210000
Halo 3,X360,2007,Shooter,Microsoft Game Studios,7970000,2830000,130000,1210000,12140000
Grand Theft Auto V,PS4,2014,Action,Take-Two Interactive,3800000,5810000,360000,22000000,11980000
Pokemon HeartGold/Pokemon SoulSilver,DS,2009,Action,Nintendo,4400000,2770000,3960000,770000,11900000
Super Mario 64,N64,1996,Platform,Nintendo,6910000,2850000,1910000,230000,11890000
Gran Turismo 4,PS2,2004,Racing,Sony Computer Entertainment,31000000,1000000,1100000,7530000,11660000
Super Mario Galaxy,Wii,2007,Platform,Nintendo,6160000,3400000,1200000,760000,11520000
Pokemon Omega Ruby/Pokemon Alpha Sapphire,3DS,2014,Role-Playing,Nintendo,4230000,3370000,38000000,650000,11330000
Super Mario Land 2: 6 Golden Coins,GB,1992,Adventure,Nintendo,6160000,24000000,2690000,290000,11180000
Grand Theft Auto IV,X360,2008,Action,Take-Two Interactive,6760000,3100000,140000,13000000,112000000
Gran Turismo,PS,1997,Racing,Sony Computer Entertainment,42000000,3870000,2540000,520000,10950000
Super Mario 3D Land,3DS,2011,Platform,Nintendo,4890000,2990000,2130000,780000,10790000
Gran Turismo 5,PS3,2010,Racing,Sony Computer Entertainment,2960000,4880000,810000,2120000,10770000
Call of Duty: Modern Warfare 2,PS3,2009,Shooter,Activision,4990000,3690000,380000,1630000,10690000
Grand Theft Auto IV,PS3,2008,Action,Take-Two Interactive,4760000,3760000,440000,1620000,10570000
Super Mario All-Stars,SNES,1993,Platform,Nintendo,5990000,2150000,2120000,290000,10550000
Pokemon FireRed/Pokemon LeafGreen,GBA,2004,Role-Playing,Nintendo,4340000,2650000,3150000,350000,10490000
Super Mario 64,DS,2004,Platform,Nintendo,58000000,3110000,1250000,980000,10420000
Just Dance 3,Wii,2011,Misc,Ubisoft,65000000,3150000,0,17000000,10260000
Call of Duty: Ghosts,X360,2013,Shooter,Activision,6720000,2630000,4000000,820000,10210000
Halo: Reach,X360,2010,Shooter,Microsoft Game Studios,73000000,1980000,8000000,780000,9880000
Mario Kart 64,N64,1996,Racing,Nintendo,5550000,1940000,2230000,150000,9870000
New Super Mario Bros. 2,3DS,2012,Platform,Nintendo,3660000,37000000,2470000,630000,9820000
Halo 4,X360,2012,Shooter,Microsoft Game Studios,6630000,2360000,4000000,730000,9760000
Final Fantasy VII,PS,1997,Role-Playing,Sony Computer Entertainment,31000000,2470000,3280000,960000,9720000
Call of Duty: Ghosts,PS3,2013,Shooter,Activision,49000000,3730000,380000,1380000,9590000
Just Dance 2,Wii,2010,Misc,Ubisoft,5840000,2890000,1000000,780000,9520000
Gran Turismo 2,PS,1999,Racing,Sony Computer Entertainment,3880000,3420000,1690000,500000,9490000
Call of Duty 4: Modern Warfare,X360,2007,Shooter,Activision,5910000,2380000,130000,900000,9320000
Donkey Kong Country,SNES,1994,Platform,Nintendo,4360000,1710000,3000000,230000,9300000
Minecraft,X360,2013,Misc,Microsoft Game Studios,5580000,2830000,2000000,770000,9200000
Animal Crossing: New Leaf,3DS,2012,Simulation,Nintendo,21000000,2320000,4360000,410000,99000000
Mario Party DS,DS,2007,Misc,Nintendo,4460000,1880000,1980000,700000,92000000
