Company,Model,Variant,Type,Seating_Capacity,Price,Fuel_Type,Wheelbase,Length,Width,Height,Boot_Space,Doors,Ground_Clearance,Kerb_Weight,Cruise_Control,Power_Steering,Displacement,Power,Torque,ABS,Airbags,Front_Brakes,Front_Suspension,Rear_Brakes,Rear_Suspension,Drivetrain,Gears,Price_Category,Offroad_Capability,Car_Dimensions
Tata,Nano Genx,Xt,Hatchback,4.0,357053,Petrol,2230.0,3164,1750.0,1652.0,110.0,5.0,180.0,660.0,,True,624.0,38.0,51.0,,,Drum,"Independent, Lower Wishbone, McPherson Strut with gas filled dampers and anti-roll bar",Drum,"Independent, Semi Trailing arm with coil spring & gas filled shock absorbers",RWD,4.0,Budget,Low,Small
Tata,Nano Genx,Xe,Hatchback,4.0,288465,Petrol,2230.0,3164,1750.0,1652.0,110.0,5.0,180.0,725.0,,,624.0,38.0,51.0,,,Drum,"Independent, Lower Wishbone, McPherson Strut with gas filled dampers and anti-roll bar",Drum,"Independent, Semi Trailing arm with coil spring & gas filled shock absorbers",RWD,4.0,Budget,Low,Small
Tata,Nano Genx,Emax Xm,Hatchback,4.0,361926,CNG,2230.0,3164,1750.0,1652.0,110.0,4.0,180.0,710.0,,True,624.0,38.0,51.0,,,Drum,"Independent, Lower Wishbone, McPherson Strut with gas filled dampers and anti-roll bar",Drum,"Independent, Semi Trailing arm with coil spring & gas filled shock absorbers",RWD,4.0,Budget,Low,Small
Tata,Nano Genx,Xta,Hatchback,4.0,408416,Petrol,2230.0,3164,1750.0,1652.0,94.0,5.0,180.0,725.0,,True,624.0,38.0,51.0,,,Drum,"Independent, Lower Wishbone, McPherson Strut with gas filled dampers and anti-roll bar",Drum,"Independent, Semi Trailing arm with coil spring & gas filled shock absorbers",RWD,5.0,Budget,Low,Small
Tata,Nano Genx,Xm,Hatchback,4.0,332112,Petrol,2230.0,3164,1750.0,1652.0,110.0,5.0,180.0,725.0,,True,624.0,38.0,51.0,,,Drum,"Independent, Lower Wishbone, McPherson Strut with gas filled dampers and anti-roll bar",Drum,"Independent, Semi Trailing arm with coil spring & gas filled shock absorbers",RWD,4.0,Budget,Low,Small
Tata,Nano Genx,Xma,Hatchback,4.0,384074,Petrol,2230.0,3164,1750.0,1652.0,94.0,5.0,180.0,710.0,,True,624.0,38.0,51.0,,,Drum,"Independent, Lower Wishbone, McPherson Strut with gas filled dampers and anti-roll bar",Drum,"Independent, Semi Trailing arm with coil spring & gas filled shock absorbers",RWD,5.0,Budget,Low,Small
Datsun,Redi-Go,D,Hatchback,5.0,341173,Petrol,2348.0,3429,1560.0,1541.0,222.0,5.0,185.0,,,,799.0,54.0,72.0,True,,Ventilated Disc,Double Pivot Arm,Drum,H-type Torsion Beam,FWD,5.0,Budget,Low,Small
Datsun,Redi-Go,T,Hatchback,5.0,429235,Petrol,2348.0,3429,1560.0,1541.0,222.0,5.0,185.0,,,True,799.0,54.0,72.0,,,Ventilated Disc,Double Pivot Arm,Drum,H-type Torsion Beam,FWD,5.0,Budget,Low,Small
Datsun,Redi-Go,A,Hatchback,5.0,406771,Petrol,2348.0,3429,1560.0,1541.0,222.0,5.0,185.0,,,True,799.0,54.0,72.0,,,Ventilated Disc,Double Pivot Arm,Drum,H-type Torsion Beam,FWD,5.0,Budget,Low,Small
Datsun,Redi-Go,S,Hatchback,5.0,441640,Petrol,2348.0,3429,1560.0,1541.0,222.0,5.0,185.0,,,True,799.0,54.0,72.0,,,Ventilated Disc,Double Pivot Arm,Drum,H-type Torsion Beam,FWD,5.0,Budget,Low,Small
