file,isFlying,isSitting,isCarrying,isFeeding
fricoe_0.jfif,0,1,0,0
fricoe_1.jfif,0,1,1,0
fricoe_2.jfif,1,0,0,0
fricoe_3.jfif,1,0,0,0
fricoe_4.jfif,0,1,0,1
fricoe_5.jfif,0,1,0,1
fricoe_6.jfif,0,1,1,0
motalb_0.jfif,0,1,1,0
motalb_1.jfif,0,1,0,0
motalb_2.jfif,1,0,1,0
motalb_3.jfif,1,0,0,0
motalb_4.jfif,0,1,1,0
motalb_5.jfif,0,1,0,1
motalb_6.jfif,0,1,0,1
parmaj_0.jfif,1,0,0,0
parmaj_1.jfif,1,0,0,0
parmaj_2.jfif,0,1,1,0
parmaj_3.jfif,0,1,0,0
parmaj_4.jfif,0,1,1,0
parmaj_5.jfif,0,1,0,1
parmaj_6.jfif,0,1,0,1
pasdom_0.jfif,1,0,1,0
pasdom_1.jfif,0,1,0,0
pasdom_2.jfif,0,1,1,0
pasdom_3.jfif,1,0,0,0
pasdom_4.jfif,0,1,0,1
pasdom_5.jfif,0,1,0,1
pasdom_6.jfif,0,1,1,0
stuvul_0.jfif,0,1,0,0
stuvul_1.jfif,0,1,1,0
stuvul_2.jfif,0,1,1,0
stuvul_3.jfif,1,0,0,0
stuvul_4.jfif,1,0,1,0
stuvul_5.jfif,1,0,0,1
stuvul_6.jfif,0,1,0,1
turmer_0.jfif,1,0,0,0
turmer_1.jfif,1,0,1,0
turmer_2.jfif,0,1,1,0
turmer_3.jfif,0,1,0,1
turmer_4.jfif,0,1,0,1
turmer_5.jfif,0,1,0,0
turmer_6.jfif,0,1,1,0
