Модальность,Уровень 1,Уровень 2,Уровень 3,Уровень 4,Вектор
Текст,кот,compositions/кот_composition_1.txt,лес дом поляна,лиса медведь волк заяц,compositions/кот_0_vector_1.txt
,кот,compositions/кот_composition_2.txt,дом улица двор парк,собака мышь,compositions/кот_1_vector_1.txt
,кот,compositions/кот_composition_3.txt,дом кухня двор сеновал,котята мышь петух собака,compositions/кот_2_vector_1.txt
,курица,compositions/курица_composition_1.txt,крыльцо ферма поле сараи,гусь индюк коза свинья цыпленок,compositions/курица_3_vector_1.txt
,курица,compositions/курица_composition_2.txt,изба поле яма,петух заяц лиса медведь птичка,compositions/курица_4_vector_1.txt
,курица,compositions/курица_composition_3.txt,огород яблонька,бабушка внучка мышка зайка,compositions/курица_5_vector_1.txt
,корова,compositions/корова_composition_1.txt,сарай дом поле,телёнок,compositions/корова_6_vector_1.txt
,корова,compositions/корова_composition_2.txt,царство государство чистое поле темные леса высокие горы кусточек,коровушкабурёнушка гуси,compositions/корова_7_vector_1.txt
,корова,compositions/корова_composition_3.txt,поле двор дома лоханка городбазар улица возле дома,,compositions/корова_8_vector_1.txt
,собака,compositions/собака_composition_1.txt,дом улица комната бабушки ольги,,compositions/собака_9_vector_1.txt
,собака,compositions/собака_composition_2.txt,лес светлое озеро дом тараса поляна озера,лебедь,compositions/собака_10_vector_1.txt
,собака,compositions/собака_composition_3.txt,дом дедушки комната подоконником столовая спальня ванная улица домом конура,кот пес,compositions/собака_11_vector_1.txt
,осел,compositions/осел_composition_1.txt,царство короля королевы дворец короля королевы дом музыканта колодец царство старого короля дворец старого короля опочивальня,,compositions/осел_12_vector_1.txt
,осел,compositions/осел_composition_2.txt,лес поле,старый волк старая лиса,compositions/осел_13_vector_1.txt
,осел,compositions/осел_composition_3.txt,лес дом ёжика,ёжик медвежонок,compositions/осел_14_vector_1.txt
,лягушка,compositions/лягушка_composition_1.txt,болото деревни поля грязный пруд краю деревни,утки,compositions/лягушка_15_vector_1.txt
,лягушка,compositions/лягушка_composition_2.txt,заснеженные поля окрестности домик колесах болотце,,compositions/лягушка_16_vector_1.txt
,лягушка,compositions/лягушка_composition_3.txt,лесная канава погреб дома лесу,лесная лягушка городская лягушка,compositions/лягушка_17_vector_1.txt
,лев,compositions/лев_composition_1.txt,зверинец лондоне клетка льва,собачка,compositions/лев_18_vector_1.txt
,лев,compositions/лев_composition_2.txt,лес дом львенка,мама львенка ягуар большоймохнатыйрогатый як ящерица,compositions/лев_19_vector_1.txt
,лев,compositions/лев_composition_3.txt,лес солнцепек,лис шакал,compositions/лев_20_vector_1.txt
,обезьяна,compositions/обезьяна_composition_1.txt,дом черепахи обезьяны лес дом охотника дерево бананами,черепаха,compositions/обезьяна_21_vector_1.txt
,обезьяна,compositions/обезьяна_composition_2.txt,горная деревня базар дом старика лес царство обезьян река,царь обезьян мыши кошка собака,compositions/обезьяна_22_vector_1.txt
,обезьяна,compositions/обезьяна_composition_3.txt,дворец старого короля столица королевства лес страна обезьян,король обезьян феи,compositions/обезьяна_23_vector_1.txt
,овца,compositions/овца_composition_1.txt,лес избушка быка,бык баран свинья гусь петух лиса медведь волк,compositions/овца_24_vector_1.txt
,овца,compositions/овца_composition_2.txt,зеленый луг,пастух бебека умный барашек,compositions/овца_25_vector_1.txt
,овца,compositions/овца_composition_3.txt,дом крестьянина лес избушка лесу амбар овчарня курятник,кот баран петух утки гуси,compositions/овца_26_vector_1.txt
