Модальность,Уровень 1,Уровень 2,Уровень 3,Вектор
Текст,кот,descriptions/кот_description_1.txt,сиамская грациозное элегантное короткая шерсть голубые глаза яркий характер привязанность,descriptions/кот_description_vector_1.txt
,кот,descriptions/кот_description_2.txt,персидская длинная шерсть нежный выразительные глаза уход шерсть,descriptions/кот_description_vector_2.txt
,кот,descriptions/кот_description_3.txt,британская короткошерстная компактная мускулистая спокойствие дружелюбие,descriptions/кот_description_vector_3.txt
,кот,descriptions/кот_description_4.txt,мейнкун крупная мощная длинная густая шерсть преданность нежность,descriptions/кот_description_vector_4.txt
,кот,descriptions/кот_description_5.txt,сфинкс шерсти мускулистый уши нетрадиционный ласковый,descriptions/кот_description_vector_5.txt
,кот,descriptions/кот_description_6.txt,русская голубая средний размер плотная короткая шерсть изящный игривый,descriptions/кот_description_vector_6.txt
,кот,descriptions/кот_description_7.txt,манчкин короткие ножки пушистая длинная мягкий дружелюбный,descriptions/кот_description_vector_7.txt
,кот,descriptions/кот_description_8.txt,шотландская прямоухая пушистая короткая шерсть дружелюбие ласковый,descriptions/кот_description_vector_8.txt
,кот,descriptions/кот_description_9.txt,абиссинская грациозная гибкая короткая шерсть яркие глаза активная любознательная,descriptions/кот_description_vector_9.txt
,кот,descriptions/кот_description_10.txt,бенгальская красивая пятнистая крупные глаза игривая энергичная,descriptions/кот_description_vector_10.txt
,кот,descriptions/кот_description_11.txt,рэгдолл крупная нежная длинная шерсть расслабленность спокойствие,descriptions/кот_description_vector_11.txt
,кот,descriptions/кот_description_12.txt,сомалийская изящная грациозная длинная шерсть игривость активность,descriptions/кот_description_vector_12.txt
,кот,descriptions/кот_description_13.txt,турецкая ангора длинная шелковистая шерсть изящный независимость,descriptions/кот_description_vector_13.txt
,кот,descriptions/кот_description_14.txt,бомбей компактная густая шерсть крупные глаза ласковый умный,descriptions/кот_description_vector_14.txt
