Модальность,Уровень 1,Уровень 2,Размеченный
Изображение,кот,images/cat_1.jpg,images/cat_1.jpg.json
,кот,images/cat_2.jpg,images/cat_2.jpg.json
,кот,images/cat_3.jpg,images/cat_3.jpg.json
,кот,images/cat_4.jpg,images/cat_4.jpg.json
,кот,images/cat_5.jpg,images/cat_5.jpg.json
,курица,images/chicken_1.jpg,images/chicken_1.jpg.json
,курица,images/chicken_2.jpg,images/chicken_2.jpg.json
,курица,images/chicken_3.jpg,images/chicken_3.jpg.json
,курица,images/chicken_4.jpg,images/chicken_4.jpg.json
,курица,images/chicken_5.jpg,images/chicken_5.jpg.json
,корова,images/cow_1.jpg,images/cow_1.jpg.json
,корова,images/cow_2.jpg,images/cow_2.jpg.json
,корова,images/cow_3.jpg,images/cow_3.jpg.json
,корова,images/cow_4.jpg,images/cow_4.jpg.json
,корова,images/cow_5.jpg,images/cow_5.jpg.json
,собака,images/dog_1.jpg,images/dog_1.jpg.json
,собака,images/dog_2.jpg,images/dog_2.jpg.json
,собака,images/dog_3.jpg,images/dog_3.jpg.json
,собака,images/dog_4.jpg,images/dog_4.jpg.json
,собака,images/dog_5.jpg,images/dog_5.jpg.json
,осел,images/donkey_1.jpg,images/donkey_1.jpg.json
,осел,images/donkey_2.jpg,images/donkey_2.jpg.json
,осел,images/donkey_3.jpg,images/donkey_3.jpg.json
,осел,images/donkey_4.jpg,images/donkey_4.jpg.json
,осел,images/donkey_5.jpg,images/donkey_5.jpg.json
,лягушка,images/frog_1.jpg,images/frog_1.jpg.json
,лягушка,images/frog_2.jpg,images/frog_2.jpg.json
,лягушка,images/frog_3.jpg,images/frog_3.jpg.json
,лягушка,images/frog_4.jpg,images/frog_4.jpg.json
,лягушка,images/frog_5.jpg,images/frog_5.jpg.json
,лев,images/lion_1.jpg,images/lion_1.jpg.json
,лев,images/lion_2.jpg,images/lion_2.jpg.json
,лев,images/lion_3.jpg,images/lion_3.jpg.json
,лев,images/lion_4.jpg,images/lion_4.jpg.json
,лев,images/lion_5.jpg,images/lion_5.jpg.json
,обезьяна,images/monkey_1.jpg,images/monkey_1.jpg.json
,обезьяна,images/monkey_2.jpg,images/monkey_2.jpg.json
,обезьяна,images/monkey_3.jpg,images/monkey_3.jpg.json
,обезьяна,images/monkey_4.jpg,images/monkey_4.jpg.json
,обезьяна,images/monkey_5.jpg,images/monkey_5.jpg.json
,овца,images/sheep_1.jpg,images/sheep_1.jpg.json
,овца,images/sheep_2.jpg,images/sheep_2.jpg.json
,овца,images/sheep_3.jpg,images/sheep_3.jpg.json
,овца,images/sheep_4.jpg,images/sheep_4.jpg.json
,овца,images/sheep_5.jpg,images/sheep_5.jpg.json
