date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:52:56	22/22	---MC-	307	error ('Temporary%20Redirect')	text/html	date:Wed,%2004%20Dec%202024%2015:52:55%20GMT	https://www.civilopedia.net/	data/civilopedia/www.civilopedia.net/index.html	(from )
18:52:56	22/22	---M--	200	added ('OK')	text/plain	etag:W/%2216-1850c2843fb%22	https://www.civilopedia.net/robots.txt		(from )
18:52:56	31/31	---MC-	307	error ('Temporary%20Redirect')	text/html	date:Wed,%2004%20Dec%202024%2015:52:56%20GMT	https://www.civilopedia.net/en-US/gathering-storm	data/civilopedia/www.civilopedia.net/en-US/gathering-storm	(from https://www.civilopedia.net/)
18:52:58	53443/53443	---MCZ	200	added ('OK')	text/html	etag:%2211avpivoulv156q%22	https://www.civilopedia.net/gathering-storm/concepts/intro	data/civilopedia/www.civilopedia.net/gathering-storm/concepts/intro.html	(from https://www.civilopedia.net/)
18:52:58	64628/64628	---M--	200	added ('OK')	image/png	etag:W/%22fc74-1850c283f5b%22	https://www.civilopedia.net/apple-touch-icon.png	data/civilopedia/www.civilopedia.net/apple-touch-icon.png	(from https://www.civilopedia.net/gathering-storm/concepts/intro)
18:52:59	2831/2831	---M--	200	added ('OK')	image/png	etag:W/%22b0f-1850c283f5b%22	https://www.civilopedia.net/favicon-32x32.png	data/civilopedia/www.civilopedia.net/favicon-32x32.png	(from https://www.civilopedia.net/gathering-storm/concepts/intro)
18:53:00	1205/1205	---M--	200	added ('OK')	image/png	etag:W/%224b5-1850c283f5b%22	https://www.civilopedia.net/favicon-16x16.png	data/civilopedia/www.civilopedia.net/favicon-16x16.png	(from https://www.civilopedia.net/gathering-storm/concepts/intro)
18:53:01	426/426	---M--	200	added ('OK')	application/manifest+json	etag:W/%221aa-1850c284413%22	https://www.civilopedia.net/site.webmanifest	data/civilopedia/www.civilopedia.net/site.webmanifest	(from https://www.civilopedia.net/gathering-storm/concepts/intro)
18:53:03	20360/20360	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%224f88-1850c2843fb%22	https://www.civilopedia.net/safari-pinned-tab.svg	data/civilopedia/www.civilopedia.net/safari-pinned-tab.svg	(from https://www.civilopedia.net/gathering-storm/concepts/intro)
18:53:03	292/292	---M--	200	added ('OK')	text/css	etag:W/%22124-1873b8d3efa%22	https://www.civilopedia.net/_next/static/css/e68a8533690e27f7.css	data/civilopedia/www.civilopedia.net/_next/static/css/e68a8533690e27f7.css	(from https://www.civilopedia.net/gathering-storm/concepts/intro)
18:53:05	17496/17496	---MCZ	200	added ('OK')	text/css	etag:W/%224458-1873b8d3f02%22	https://www.civilopedia.net/_next/static/css/e7136ff6e0cb951f.css	data/civilopedia/www.civilopedia.net/_next/static/css/e7136ff6e0cb951f.css	(from https://www.civilopedia.net/gathering-storm/concepts/intro)
18:53:06	91460/91460	---MCZ	200	added ('OK')	application/javascript	etag:W/%2216544-1873b8d3efa%22	https://www.civilopedia.net/_next/static/chunks/polyfills-c67a75d1b6f99dc8.js	data/civilopedia/www.civilopedia.net/_next/static/chunks/polyfills-c67a75d1b6f99dc8.js	(from https://www.civilopedia.net/gathering-storm/concepts/intro)
18:53:07	1429/1429	---MCZ	200	added ('OK')	application/javascript	etag:W/%22595-1873b8d3f02%22	https://www.civilopedia.net/_next/static/chunks/webpack-7ee66019f7f6d30f.js	data/civilopedia/www.civilopedia.net/_next/static/chunks/webpack-7ee66019f7f6d30f.js	(from https://www.civilopedia.net/gathering-storm/concepts/intro)
18:53:08	141509/141509	---MCZ	200	added ('OK')	application/javascript	etag:W/%22228c5-1873b8d3f02%22	https://www.civilopedia.net/_next/static/chunks/framework-9b5d6ec4444c80fa.js	data/civilopedia/www.civilopedia.net/_next/static/chunks/framework-9b5d6ec4444c80fa.js	(from https://www.civilopedia.net/gathering-storm/concepts/intro)
18:53:09	107718/107718	---MCZ	200	added ('OK')	application/javascript	etag:W/%221a4c6-1873b8d3efa%22	https://www.civilopedia.net/_next/static/chunks/main-1ca307e6d442dee1.js	data/civilopedia/www.civilopedia.net/_next/static/chunks/main-1ca307e6d442dee1.js	(from https://www.civilopedia.net/gathering-storm/concepts/intro)
18:53:09	998/998	---M--	200	added ('OK')	application/javascript	etag:W/%223e6-1873b8d3efa%22	https://www.civilopedia.net/_next/static/chunks/pages/_app-6960a328042f46f5.js	data/civilopedia/www.civilopedia.net/_next/static/chunks/pages/_app-6960a328042f46f5.js	(from https://www.civilopedia.net/gathering-storm/concepts/intro)
18:53:11	18789/18789	---MCZ	200	added ('OK')	application/javascript	etag:W/%224965-1873b8d3f02%22	https://www.civilopedia.net/_next/static/chunks/130-8200196b658598c5.js	data/civilopedia/www.civilopedia.net/_next/static/chunks/130-8200196b658598c5.js	(from https://www.civilopedia.net/gathering-storm/concepts/intro)
18:53:12	40898/40898	---MCZ	200	added ('OK')	application/javascript	etag:W/%229fc2-1873b8d3f02%22	https://www.civilopedia.net/_next/static/chunks/97-6835a6e18a40fba0.js	data/civilopedia/www.civilopedia.net/_next/static/chunks/97-6835a6e18a40fba0.js	(from https://www.civilopedia.net/gathering-storm/concepts/intro)
18:53:13	21650/21650	---MCZ	200	added ('OK')	application/javascript	etag:W/%225492-1873b8d3f02%22	https://www.civilopedia.net/_next/static/chunks/374-cbac97adf9f427ff.js	data/civilopedia/www.civilopedia.net/_next/static/chunks/374-cbac97adf9f427ff.js	(from https://www.civilopedia.net/gathering-storm/concepts/intro)
18:53:13	745/745	---M--	200	added ('OK')	application/javascript	etag:W/%222e9-1873b8d3efa%22	https://www.civilopedia.net/_next/static/chunks/pages/gathering-storm/%5Bsection%5D/%5Bpage%5D-1e4c4552f795473c.js	data/civilopedia/www.civilopedia.net/_next/static/chunks/pages/gathering-storm/[section]/[page]-1e4c4552f795473c.js	(from https://www.civilopedia.net/gathering-storm/concepts/intro)
18:53:15	1173/1173	---MCZ	200	added ('OK')	application/javascript	etag:W/%22495-1873b8d3efa%22	https://www.civilopedia.net/_next/static/P4uLCswFQfgLRCRgkzZBx/_buildManifest.js	data/civilopedia/www.civilopedia.net/_next/static/P4uLCswFQfgLRCRgkzZBx/_buildManifest.js	(from https://www.civilopedia.net/gathering-storm/concepts/intro)
18:53:15	229/229	---M--	200	added ('OK')	application/javascript	etag:W/%22e5-1873ba0bdce%22	https://www.civilopedia.net/_next/static/P4uLCswFQfgLRCRgkzZBx/_ssgManifest.js	data/civilopedia/www.civilopedia.net/_next/static/P4uLCswFQfgLRCRgkzZBx/_ssgManifest.js	(from https://www.civilopedia.net/gathering-storm/concepts/intro)
18:53:16	8224/8224	---M--	200	added ('OK')	image/png	etag:yxbrqVSTsxmoO8fhNGQzJo0HWebaODn7ImG2zhKJabw=	https://www.civilopedia.net/_next/image?url=%2Fimages%2Fpublic%2Fapp-icon-100.png&w=96&q=75	data/civilopedia/www.civilopedia.net/_next/app-icon-1002ad2.png	(from https://www.civilopedia.net/gathering-storm/concepts/intro)
18:53:17	31/31	---MC-	307	error ('Temporary%20Redirect')	text/html	date:Wed,%2004%20Dec%202024%2015:53:17%20GMT	https://www.civilopedia.net/gathering-storm/concepts	data/civilopedia/www.civilopedia.net/gathering-storm/concepts	(from https://www.civilopedia.net/gathering-storm/concepts/intro)
18:53:18	6804/6804	---M--	200	added ('OK')	image/png	etag:JCHCYaKV5+8XvhUsWhpG6+3s7WW+C7XFRMZf9Nw6u1M=	https://www.civilopedia.net/_next/image?url=%2Fimages%2Fcore%2Flaunchbar_hookselectarrow.png&w=256&q=75	data/civilopedia/www.civilopedia.net/_next/launchbar_hookselectarrowebdd.png	(from https://www.civilopedia.net/gathering-storm/concepts/intro)
18:53:19	2221/2221	---M--	200	added ('OK')	image/png	etag:ppxMBhdo6If-pdsHTljz2mM8rH44q9Vs-9McpMOHY0k=	https://www.civilopedia.net/_next/image?url=%2Fimages%2Fcore%2Ficon_civilopedia_concepts.png&w=64&q=75	data/civilopedia/www.civilopedia.net/_next/icon_civilopedia_concepts882d.png	(from https://www.civilopedia.net/gathering-storm/concepts/intro)
18:53:20	50/50	---MC-	307	error ('Temporary%20Redirect')	text/html	date:Wed,%2004%20Dec%202024%2015:53:20%20GMT	https://www.civilopedia.net/gathering-storm/civilizations	data/civilopedia/www.civilopedia.net/gathering-storm/civilizations	(from https://www.civilopedia.net/gathering-storm/concepts/intro)
18:53:22	58625/58625	---MCZ	200	added ('OK')	text/html	etag:%22mcdg1jxx051969%22	https://www.civilopedia.net/gathering-storm/civilizations/civilizations_intro	data/civilopedia/www.civilopedia.net/gathering-storm/civilizations/civilizations_intro.html	(from https://www.civilopedia.net/gathering-storm/concepts/intro)
18:53:22	1733/1733	---M--	200	added ('OK')	image/png	etag:qeZrtZRsd9iYm9fQS6xIWNxyvw0lbZV+GGgdPw-Jymc=	https://www.civilopedia.net/_next/image?url=%2Fimages%2Fcore%2Ficon_civilopedia_civilizations.png&w=64&q=75	data/civilopedia/www.civilopedia.net/_next/icon_civilopedia_civilizations0def.png	(from https://www.civilopedia.net/gathering-storm/concepts/intro)
18:53:23	33/33	---MC-	307	error ('Temporary%20Redirect')	text/html	date:Wed,%2004%20Dec%202024%2015:53:23%20GMT	https://www.civilopedia.net/gathering-storm/citystates	data/civilopedia/www.civilopedia.net/gathering-storm/citystates	(from https://www.civilopedia.net/gathering-storm/concepts/intro)
18:53:25	46612/46612	---MCZ	200	added ('OK')	text/html	etag:%22l88psgd4i1zwz%22	https://www.civilopedia.net/gathering-storm/citystates/intro	data/civilopedia/www.civilopedia.net/gathering-storm/citystates/intro.html	(from https://www.civilopedia.net/gathering-storm/concepts/intro)
18:53:25	1750/1750	---M--	200	added ('OK')	image/png	etag:VJvt8SLqRQ9sH6fmG+5X01IXaVheOmaMw6EzRsu8mtU=	https://www.civilopedia.net/_next/image?url=%2Fimages%2Fcore%2Ficon_civilopedia_citystates.png&w=64&q=75	data/civilopedia/www.civilopedia.net/_next/icon_civilopedia_citystates6fdc.png	(from https://www.civilopedia.net/gathering-storm/concepts/intro)
18:53:26	32/32	---MC-	307	error ('Temporary%20Redirect')	text/html	date:Wed,%2004%20Dec%202024%2015:53:26%20GMT	https://www.civilopedia.net/gathering-storm/districts	data/civilopedia/www.civilopedia.net/gathering-storm/districts	(from https://www.civilopedia.net/gathering-storm/concepts/intro)
18:53:28	50876/50876	---MCZ	200	added ('OK')	text/html	etag:%22ntmf0kh23i1377%22	https://www.civilopedia.net/gathering-storm/districts/intro	data/civilopedia/www.civilopedia.net/gathering-storm/districts/intro.html	(from https://www.civilopedia.net/gathering-storm/concepts/intro)
18:53:28	1790/1790	---M--	200	added ('OK')	image/png	etag:PbrvY6uH6cZk1KOYR2FGxia3Bl4Va151GAhfivORHDE=	https://www.civilopedia.net/_next/image?url=%2Fimages%2Fcore%2Ficon_civilopedia_districts.png&w=64&q=75	data/civilopedia/www.civilopedia.net/_next/icon_civilopedia_districtsecaf.png	(from https://www.civilopedia.net/gathering-storm/concepts/intro)
18:53:29	32/32	---MC-	307	error ('Temporary%20Redirect')	text/html	date:Wed,%2004%20Dec%202024%2015:53:29%20GMT	https://www.civilopedia.net/gathering-storm/buildings	data/civilopedia/www.civilopedia.net/gathering-storm/buildings	(from https://www.civilopedia.net/gathering-storm/concepts/intro)
18:53:31	51148/51148	---MCZ	200	added ('OK')	text/html	etag:%22125283cr8ms13et%22	https://www.civilopedia.net/gathering-storm/buildings/intro	data/civilopedia/www.civilopedia.net/gathering-storm/buildings/intro.html	(from https://www.civilopedia.net/gathering-storm/concepts/intro)
18:53:31	2159/2159	---M--	200	added ('OK')	image/png	etag:2QH6zFbEEzHpnZdd0rp3WavJcGrhw05IanoDsjhXp0k=	https://www.civilopedia.net/_next/image?url=%2Fimages%2Fcore%2Ficon_civilopedia_buildings.png&w=64&q=75	data/civilopedia/www.civilopedia.net/_next/icon_civilopedia_buildings538b.png	(from https://www.civilopedia.net/gathering-storm/concepts/intro)
18:53:32	30/30	---MC-	307	error ('Temporary%20Redirect')	text/html	date:Wed,%2004%20Dec%202024%2015:53:32%20GMT	https://www.civilopedia.net/gathering-storm/wonders	data/civilopedia/www.civilopedia.net/gathering-storm/wonders	(from https://www.civilopedia.net/gathering-storm/concepts/intro)
18:53:34	52749/52749	---MCZ	200	added ('OK')	text/html	etag:%22kox1qi1mfi14n9%22	https://www.civilopedia.net/gathering-storm/wonders/intro	data/civilopedia/www.civilopedia.net/gathering-storm/wonders/intro.html	(from https://www.civilopedia.net/gathering-storm/concepts/intro)
18:53:34	1635/1635	---M--	200	added ('OK')	image/png	etag:Mvan+ekmu1CvgNgUJL-BptRjwZjxHCmu7vT0t56LTG0=	https://www.civilopedia.net/_next/image?url=%2Fimages%2Fcore%2Ficon_civilopedia_wonders.png&w=64&q=75	data/civilopedia/www.civilopedia.net/_next/icon_civilopedia_wondersfa4d.png	(from https://www.civilopedia.net/gathering-storm/concepts/intro)
18:53:35	28/28	---MC-	307	error ('Temporary%20Redirect')	text/html	date:Wed,%2004%20Dec%202024%2015:53:35%20GMT	https://www.civilopedia.net/gathering-storm/units	data/civilopedia/www.civilopedia.net/gathering-storm/units	(from https://www.civilopedia.net/gathering-storm/concepts/intro)
18:53:37	51746/51746	---MCZ	200	added ('OK')	text/html	etag:%2217nlcle416113v6%22	https://www.civilopedia.net/gathering-storm/units/intro	data/civilopedia/www.civilopedia.net/gathering-storm/units/intro.html	(from https://www.civilopedia.net/gathering-storm/concepts/intro)
18:53:37	986/986	---M--	200	added ('OK')	image/png	etag:3F0WVBes69x+asaTdxkv5MadD+UeCACZsz1mOmez4Vw=	https://www.civilopedia.net/_next/image?url=%2Fimages%2Fcore%2Ficon_civilopedia_units.png&w=64&q=75	data/civilopedia/www.civilopedia.net/_next/icon_civilopedia_units1562.png	(from https://www.civilopedia.net/gathering-storm/concepts/intro)
18:53:38	37/37	---MC-	307	error ('Temporary%20Redirect')	text/html	date:Wed,%2004%20Dec%202024%2015:53:38%20GMT	https://www.civilopedia.net/gathering-storm/unitpromotions	data/civilopedia/www.civilopedia.net/gathering-storm/unitpromotions	(from https://www.civilopedia.net/gathering-storm/concepts/intro)
18:53:40	56082/56082	---MCZ	200	added ('OK')	text/html	etag:%221x4fthljv71781%22	https://www.civilopedia.net/gathering-storm/unitpromotions/intro	data/civilopedia/www.civilopedia.net/gathering-storm/unitpromotions/intro.html	(from https://www.civilopedia.net/gathering-storm/concepts/intro)
18:53:40	1332/1332	---M--	200	added ('OK')	image/png	etag:cFGkiN0AjehQTc718cD1LkPFujhcwdhk3S+js3GxQ30=	https://www.civilopedia.net/_next/image?url=%2Fimages%2Fcore%2Ficon_civilopedia_unitpromotions.png&w=64&q=75	data/civilopedia/www.civilopedia.net/_next/icon_civilopedia_unitpromotions0a47.png	(from https://www.civilopedia.net/gathering-storm/concepts/intro)
18:53:41	34/34	---MC-	307	error ('Temporary%20Redirect')	text/html	date:Wed,%2004%20Dec%202024%2015:53:41%20GMT	https://www.civilopedia.net/gathering-storm/greatpeople	data/civilopedia/www.civilopedia.net/gathering-storm/greatpeople	(from https://www.civilopedia.net/gathering-storm/concepts/intro)
18:53:43	61141/61141	---MCZ	200	added ('OK')	text/html	etag:%22qv90cyx0171b3z%22	https://www.civilopedia.net/gathering-storm/greatpeople/intro	data/civilopedia/www.civilopedia.net/gathering-storm/greatpeople/intro.html	(from https://www.civilopedia.net/gathering-storm/concepts/intro)
18:53:43	1923/1923	---M--	200	added ('OK')	image/png	etag:v1PnwjFHSMLVDwfmcSJzYVIMnKp8SjgLr8lzvR650Ro=	https://www.civilopedia.net/_next/image?url=%2Fimages%2Fcore%2Ficon_civilopedia_greatpeople.png&w=64&q=75	data/civilopedia/www.civilopedia.net/_next/icon_civilopedia_greatpeoplead9f.png	(from https://www.civilopedia.net/gathering-storm/concepts/intro)
18:53:44	35/35	---MC-	307	error ('Temporary%20Redirect')	text/html	date:Wed,%2004%20Dec%202024%2015:53:44%20GMT	https://www.civilopedia.net/gathering-storm/technologies	data/civilopedia/www.civilopedia.net/gathering-storm/technologies	(from https://www.civilopedia.net/gathering-storm/concepts/intro)
18:53:46	49092/49092	---MCZ	200	added ('OK')	text/html	etag:%22gij3l7tc6u11tp%22	https://www.civilopedia.net/gathering-storm/technologies/intro	data/civilopedia/www.civilopedia.net/gathering-storm/technologies/intro.html	(from https://www.civilopedia.net/gathering-storm/concepts/intro)
18:53:46	2423/2423	---M--	200	added ('OK')	image/png	etag:oCZuNvXKIpVuxd9CIyifTCZZIpxFX7Jzbgs-QZsGZgs=	https://www.civilopedia.net/_next/image?url=%2Fimages%2Fcore%2Ficon_civilopedia_technologies.png&w=64&q=75	data/civilopedia/www.civilopedia.net/_next/icon_civilopedia_technologies65d4.png	(from https://www.civilopedia.net/gathering-storm/concepts/intro)
18:53:47	29/29	---MC-	307	error ('Temporary%20Redirect')	text/html	date:Wed,%2004%20Dec%202024%2015:53:47%20GMT	https://www.civilopedia.net/gathering-storm/civics	data/civilopedia/www.civilopedia.net/gathering-storm/civics	(from https://www.civilopedia.net/gathering-storm/concepts/intro)
18:53:49	48845/48845	---MCZ	200	added ('OK')	text/html	etag:%22tkqekur2mf11n0%22	https://www.civilopedia.net/gathering-storm/civics/intro	data/civilopedia/www.civilopedia.net/gathering-storm/civics/intro.html	(from https://www.civilopedia.net/gathering-storm/concepts/intro)
