Work,Alternative Author,Score,Probability
A_Confession_of_Unfaith,Brian Lumley,0.6072642,0.6473165
"A_Description_of_the_Town_of_Quebeck,_in_New_France,_Lately_added_to_His_Britannick_Majestys_Dominions",Brian Lumley,0.4546532,0.611745
A_Reminiscence_of_Dr._Samuel_Johnson,Brian Lumley,0.41001427,0.6010913
A_Winter_Wish_and_Other_Poems,Brian Lumley,0.5121019,0.6252991
Ad_Criticos:_Liber_Secundus,Thomas Ligotti,0.20465413,0.5509857
Advice_for_the_Weird_Fictioneer,Brian Lumley,0.48763898,0.6195501
Against_Religion,Brian Lumley,0.64141184,0.6550725
Alfredo:_A_Tragedy,Thomas Ligotti,0.18621787,0.5464204
Amateur_Journalism:_Its_Possible_Needs_and_Betterment,Thomas Ligotti,0.3139912,0.57785916
An_American_to_Mother_England,Brian Lumley,0.48682353,0.6193578
Astrophobos,Frank Belknap Long,0.95377207,0.72187316
At_the_Mountains_of_Madness,Brian Lumley,0.37996283,0.59386414
At_the_Mountains_of_Madness:_A_Graphic_Novel,Thomas Ligotti,0.66548496,0.6604914
At_the_Mountains_of_Madness_and_Other_Novels,Thomas Ligotti,0.05296212,0.5132374
At_the_Root,Brian Lumley,0.6761812,0.66288584
August,Brian Lumley,0.6360267,0.6538547
Azathoth_%28short_story%29,Thomas Ligotti,0.4071922,0.60041445
Baby_Its_Cold_Inside,Brian Lumley,0.5271703,0.62882286
Beyond_the_Wall_of_Sleep,Robert E. Howard,0.3384777,0.5838207
Beyond_the_Wall_of_Sleep_%28Nick_OGorman%29,Brian Lumley,0.6576614,0.65873486
Beyond_the_Wall_of_Sleep_%28collection%29,Thomas Ligotti,0.30512056,0.5756938
Bothon,Brian Lumley,0.27934527,0.5693857
Brotherhood,Thomas Ligotti,0.22661446,0.5564124
Celepha%C3%AFs,Brian Lumley,0.47822288,0.61732817
Christmas_Greeting_to_Mrs._Phillips_Gamwell%E2%80%941925,Brian Lumley,0.45577845,0.6120122
Cliffourd_the_Big_Red_God,Thomas Ligotti,0.34696442,0.58588123
Collected_Essays_Volume_4:_Travel,Thomas Ligotti,0.07155728,0.5178817
Collected_Poems,Brian Lumley,0.49690324,0.62173134
Commonplace_Book,Brian Lumley,0.5668726,0.6380412
Cool_Air,Thomas Ligotti,0.50993705,0.62479174
Cthulhu:_Le_mythe,William Hope Hodgson,0.36927775,0.59128445
Cthulhu:_Le_mythe_-_Livre_II,Brian Lumley,0.5728098,0.6394113
Cthulhu:_Le_mythe_-_Livre_III,Thomas Ligotti,0.28516492,0.57081205
Cthulhu_%28Festa%29,Thomas Ligotti,0.57082784,0.63895416
Dagon_%28short_story%29,Thomas Ligotti,0.16427043,0.5409755
Dagon_Rising:_William_Meikle_vs._H._P._Lovecrafts_Dagon,Thomas Ligotti,0.45697019,0.61229515
Dagon_and_Other_Macabre_Tales,Thomas Ligotti,0.37088808,0.59167355
Death,Brian Lumley,0.79845107,0.689643
Despair,Brian Lumley,0.491825,0.62053627
Dreams_and_Fancies,Brian Lumley,0.025700206,0.50642467
Dreams_and_Fancies_%28collection%29,Brian Lumley,0.5203623,0.6272325
Eldritch_Tales:_A_Miscellany_of_the_Macabre,Brian Lumley,0.748087,0.67876166
Essais_-_Correspondance_-_Po%C3%A9sie_-_R%C3%A9visions,Frank Belknap Long,0.42788732,0.6053691
Experiment_%E2%80%A6_in_Death,Thomas Ligotti,0.9859681,0.7282908
Facts_Concerning_the_Late_Arthur_Jermyn_and_His_Family,Thomas Ligotti,0.11387555,0.52843815
Festival,Brian Lumley,1.0398357,0.7388183
Fitting_Punishment,Brian Lumley,0.4328425,0.60655224
Four_Tales_of_Cthulhu:_H._P._Lovecraft_for_Young_Readers,Thomas Ligotti,0.38204646,0.59436655
From_Beyond,Brian Lumley,0.59437346,0.644368
From_the_Dark_%28audio_script%29,Brian Lumley,0.72763175,0.67428535
Fungi_from_Yuggoth,Brian Lumley,0.6456414,0.6560276
Fungi_from_Yuggoth:_A_Sonnet_Cycle,Thomas Ligotti,0.2933631,0.57281923
Fungi_from_Yuggoth_%28Pickmans_Press%29,Thomas Ligotti,0.28816256,0.57154626
Fungi_from_Yuggoth_and_Other_Poems,Brian Lumley,0.64774454,0.656502
Goodnight_Azathoth,Thomas Ligotti,0.5545129,0.63518196
H._P._Lovecraft:_Tales,Brian Lumley,0.7817918,0.68606615
H._P._Lovecraft:_Tales_of_Horror_%28Illustrated_Classic_Editions%29,Brian Lumley,0.47899288,0.61751
H._P._Lovecraft:_Tales_of_Horror_%28Leather-Bound_Classics%29,Thomas Ligotti,0.20515779,0.55111027
H._P._Lovecraft:_The_Early_Stories,Brian Lumley,0.6766231,0.6629846
H._P._Lovecraft_in_the_Argosy,Brian Lumley,0.45894808,0.6127646
H._P._Lovecrafts_At_the_Mountains_of_Madness_for_Beginning_Readers,Thomas Ligotti,0.46583033,0.6143964
H._P._Lovecrafts_Dagon_for_Beginning_Readers,Brian Lumley,0.7317821,0.67519623
H._P._Lovecrafts_Haunt_of_Horror,Brian Lumley,0.17367274,0.5433094
H._P._Lovecrafts_Reanimator_Tales,Thomas Ligotti,0.45816192,0.61257803
H._P._Lovecrafts_The_Call_of_Cthulhu_for_Beginning_Readers,Brian Lumley,0.67663544,0.66298735
H._P._Lovecrafts_The_Dunwich_Horror_%28Ben_Granoff%29,Brian Lumley,0.5116889,0.6252023
H._P._Lovecrafts_Worlds:_Volume_1,Brian Lumley,0.51009184,0.624828
H._P._Lovecrafts_Worlds:_Volume_2,Brian Lumley,0.58733904,0.6427544
HPL_1920,Thomas Ligotti,0.28567746,0.5709376
HPL_Vol._1:_Comic_Adaptations_of_the_Works_of_HP_Lovecraft,Brian Lumley,0.22251086,0.5553993
Halloween_in_a_Suburb,Thomas Ligotti,0.44771737,0.6100964
He,Brian Lumley,0.83035487,0.69642997
Herbert_West--Reanimator,Brian Lumley,0.44807345,0.61018103
Herbert_West:_Reanimator_%28Nick_OGorman%29,Brian Lumley,0.29486135,0.57318586
History_of_the_Necronomicon,Thomas Ligotti,0.24673383,0.5613724
Homes_and_Shrines_of_Poe,Brian Lumley,0.33835062,0.5837898
HorrorBabbles_Dream_Cycle,Thomas Ligotti,0.3875467,0.595692
Howard_Phillips_Lovecraft_3,Thomas Ligotti,0.28879175,0.57170033
Hypnos_%28short_story%29,Thomas Ligotti,0.32569206,0.5807108
Ibid,Brian Lumley,0.6139948,0.6488515
Idealism_and_Materialism:_A_Reflection,William Hope Hodgson,0.29877156,0.5741422
Imprisoned_with_the_Pharaohs,Thomas Ligotti,0.10463774,0.52613556
In_Memoriam:_Robert_Ervin_Howard,Thomas Ligotti,0.16710615,0.54167956
In_a_Sequesterd_Providence_Churchyard_Where_Once_Poe_Walkd,Thomas Ligotti,0.5575862,0.6358938
In_the_Mind_of_H._P._Lovecraft,Thomas Ligotti,0.43441004,0.60692626
In_the_Vault,Thomas Ligotti,0.29347664,0.57284707
Journey_Into_Mystery_Vol_2_4,Thomas Ligotti,0.406204,0.6001773
June_Skies,Brian Lumley,0.5830612,0.6417715
Lament_for_the_Vanished_Spider,Brian Lumley,0.38365304,0.59475386
Les_contr%C3%A9es_du_r%C3%AAve,Thomas Ligotti,0.3953227,0.5975634
Life_for_Humanitys_Sake,Brian Lumley,0.6453092,0.65595263
Literary_Composition,Thomas Ligotti,0.20855166,0.55194974
Littlest_Lovecraft:_The_Call_of_Cthulhu,Brian Lumley,0.25077328,0.56236684
Littlest_Lovecraft:_The_Dreamlands_Collection,Brian Lumley,0.5554542,0.6354001
Littlest_Lovecraft:_The_Dunwich_Horror,Thomas Ligotti,0.4941598,0.6210859
Littlest_Lovecraft:_The_Shadow_Over_Innsmouth,Thomas Ligotti,0.55525947,0.63535494
Los_mitos_de_Cthulhu,Thomas Ligotti,0.438605,0.60792655
Lovecraft:_The_Myth_of_Cthulhu,Brian Lumley,1.2993506,0.78572565
Lovecraft_Comics_%28J._Scott_Vanlester%29,Thomas Ligotti,0.8846139,0.70777744
Lovecrafts_The_Alchemist,Brian Lumley,0.6023747,0.6461994
Lovecrafts_The_Beast_in_the_Cave,Thomas Ligotti,0.31083605,0.5770893
Marginalia,Thomas Ligotti,0.6198075,0.65017474
May_Skies,Brian Lumley,0.58888924,0.6431103
Memory,Brian Lumley,0.67956305,0.6636412
Metrical_Regularity,Thomas Ligotti,0.34684467,0.5858522
Miscellaneous_Writings,Brian Lumley,0.22025871,0.5548431
More_Annotated_H._P._Lovecraft,Thomas Ligotti,0.115570806,0.52886057
My_Favorite_Character,Thomas Ligotti,0.23931128,0.5595439
Mythos:_Lovecrafts_Worlds,Thomas Ligotti,0.57796186,0.6405983
Nathicana,Brian Lumley,0.8612863,0.7029293
Nemesis,Brian Lumley,0.93712986,0.71851957
Nietzscheism_and_Realism,Brian Lumley,0.2616389,0.5650391
Notes_on_Writing_Weird_Fiction,Thomas Ligotti,0.4999136,0.622439
November_Skies,Brian Lumley,0.6064382,0.64712787
Nyarlathotep_%282007_comic_book%29,Brian Lumley,0.6787483,0.6634593
Nyarlathotep_%28short_story%29,Thomas Ligotti,0.42749488,0.60527533
October,Frank Belknap Long,0.9814188,0.72738963
Old_Bugs,Brian Lumley,0.7069643,0.66973007
On_The_Thing_in_the_Woods_by_Harper_Williams,Brian Lumley,0.591572,0.64372575
On_a_Grecian_Colonnade_in_a_Park,Frank Belknap Long,-0.024638275,0.49384075
Phaeton,Brian Lumley,0.8950981,0.7099411
Pickmans_Model,Brian Lumley,0.36862957,0.59112775
Polaris,Brian Lumley,0.9367414,0.71844095
Primavera,Brian Lumley,0.4735546,0.6162247
