Subject,Predicate,Object
http://example.org/lovecraft#A_Home_for_Cthulhu,http://example.org/lovecraft#wasReleasedOnW,May 2022
http://example.org/lovecraft#Coffin_of_Glass,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://example.org/lovecraft#OtherAuthors
http://example.org/lovecraft#Simon_Canfield,http://example.org/lovecraft#wasCreatedByC,Elizabeth Berkeley
http://example.org/lovecraft#The_Man_Who_Was_Lovecraft,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://example.org/lovecraft#Work
http://example.org/lovecraft#Punktown,http://example.org/lovecraft#hasAnnotation,"Paxton is a fictional city on an alien planet named oasis . It was created by american author jeffrey thomas as the setting for a series of science fiction stories of the same name . Plays host to a number of alien species from across the galaxy, some of whom even maintain their own embassies ."
http://example.org/lovecraft#Whipple_Phillips,http://example.org/lovecraft#wasBornOnR,1836
"http://example.org/lovecraft#Once_More,_from_the_Top",http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://example.org/lovecraft#MythosLiterature
http://example.org/lovecraft#Cassandra_Khaw,http://example.org/lovecraft#wasBornOnR,1984 August 31
http://example.org/lovecraft#Howard_Phillips_Lovecraft:_A_Bibliography,http://example.org/lovecraft#isInLanguageW,English
http://example.org/lovecraft#Cthulhu_Gets_A_Job,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://example.org/lovecraft#MythosLiterature
http://example.org/lovecraft#Spoor_Anthology,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://example.org/lovecraft#Work
http://example.org/lovecraft#Crypt_of_Cthulhu_Roodmas_1982,http://example.org/lovecraft#hasPageCountW,48
http://example.org/lovecraft#Ahtu,http://example.org/lovecraft#hasAppearanceC,http://example.org/lovecraft#Arkham_Unveiled
http://example.org/lovecraft#The_Derleth_Mythos,http://example.org/lovecraft#hasAnnotation,Tierney identifies the relative contributions of lovecraft and derleth to the body of work that has come to be almost universally accepted as the cthulhu mythos . He makes the excellent point that equating cthulhu with the element of water is to ignore or miss the point that cthulhu is a space alien who built his city on land . Tierney identifies the difference and semiotics of pastiche .
http://example.org/lovecraft#The_Green_Fireballs,http://example.org/lovecraft#hasAuthorW,Jason Radak
http://example.org/lovecraft#The_Path_to_Yha-nthlei_%28Call_of_Cthulhu_LCG%29,http://example.org/lovecraft#wasPublishedOnW,2008
http://example.org/lovecraft#Kenneth_Grant,http://example.org/lovecraft#diedOnR,15 January 2011
http://example.org/lovecraft#Denys_Barry,http://www.w3.org/2000/01/rdf-schema#label,Denys Barry
http://example.org/lovecraft#Lola_Hayes,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://example.org/lovecraft#Humans
http://example.org/lovecraft#Lavinia_Whateley,http://example.org/lovecraft#hasAppearanceC,Fate
http://example.org/lovecraft#The_Phantom_of_Beguilement,http://example.org/lovecraft#isPublishedAsW,http://example.org/lovecraft#Death
