Source,Name,Home City,House,Race,Gender,Level,Class,RefID,BaseID,Health,Magicka,Stamina,Primary Skills,Morality,Aggression,Faction(s),Class Details,Essential,Location,Training,Merchant,Gold,Sells,Buys,Race Details,Follower,Respawns,Store,AdoptHF,Protected,Perks,Marry,StewardHF,Horses,Added by,Level (PC=10),Health (PC=10),Magicka (PC=10),Stamina (PC=10)
https://en.uesp.net/wiki/Skyrim:Beitild,Beitild,Dawnstar,Beitild's House,Nord,Female,6,Miner,0001A6B6,00013612,91,67,67,"Smithing, Two-handed",No Crime,Unaggressive,CrimeFactionPale; DawnstarIronBreakerMinersFaction; FavorExcludedFaction; FavorJobsMineOreFaction; JobMinerFaction; TownDawnstarFaction,None,No,,None,,,None,None,,No,No,None,No,No,,No,No,,Vanilla,6,91,67,67
https://en.uesp.net/wiki/Skyrim:Brina_Merilis,Brina Merilis,Dawnstar,Brina's House,Nord,Female,PC×1 (range=10-25),Warrior,0001A6B8,0001A6B7,50+(PC-1)×11.7,50,50+(PC-1)×3.3,"Heavy Armor, One-handed, Archery, Block",No Crime,Unaggressive,CrimeFactionPale; DawnstarBrinaHouseFaction; Favor256QuestGiverFaction; Imperial Government; TownDawnstarFaction,CombatWarrior1H,Yes,,None,,,None,None,,No,No,None,No,No,,No,No,,Vanilla,10,155.3,50,79.7
https://en.uesp.net/wiki/Skyrim:Horik_Halfhand,Horik Halfhand,Dawnstar,Brina's House,Nord,Male,PC×1 (range=10-25),Warrior,0001A6BA,0001A6B9,50+(PC-1)×11.7,50,50+(PC-1)×3.3,"Heavy Armor, One-handed, Archery, Block",No Crime,Unaggressive,CrimeFactionPale; DawnstarBrinaHouseFaction; Imperial Government; TownDawnstarFaction,CombatWarrior1H,Yes,,None,,,None,None,,No,No,None,No,No,,No,No,,Vanilla,10,155.3,50,79.7
https://en.uesp.net/wiki/Skyrim:Dawnstar_Guard,Dawnstar Guard,,,Nord,Male,PCx1 (Range=20-50),Warrior,N/A,0002D794,,,,,Indeterminate,Indeterminate,CrimeFactionPale; Stormcloaks; Sons of Skyrim; NPC faction; Guard Faction; Dialogue Faction for Dawnstar Guards; GuardFaction,None,No,Dawnstar,None,,,None,None,,No,No,None,No,No,,No,No,,Vanilla,20,,,
https://en.uesp.net/wiki/Skyrim:Babette,Babette,,,Breton,Female,10,Assassin,0001D4BC,0001D4B7,125,15,95,"Archery, One-handed, Sneak, Conjuration, Light Armor",No Crime,Unaggressive,Alchemy Trainer; Babette's Bed Ownership; Babette's Dark Brotherhood Services; The Dark Brotherhood; FavorExcludedFaction; JobApothecaryFaction; JobMerchantFaction; JobMiscFaction; Skill Trainer,TrainerAlchemyMaster,Yes,"Dark Brotherhood Sanctuary, Dawnstar Sanctuary",Alchemy (Master),True,500 (+1000 Master Trader),See Standard Merchandise,"Animal Parts, Food, Ingredients, Poisons, Potions, Raw Food, Recipes, Tools","Vampire, Undead, Child",No,No,None,No,No,,No,No,,Vanilla,10,125,15,95
https://en.uesp.net/wiki/Skyrim:Cicero,Cicero,,,Imperial,Male,PC×1 (range=15-50),Assassin,0009BCB0,0009BCAF,267-558,73-132,120-295,"One-handed, Sneak, Archery, Light Armor",Any Crime,Aggressive,The Dark Brotherhood; FavorExcludedFaction,CombatAssassin,"Yes, except during The Cure for Madness","Loreius Farm, Dark Brotherhood Sanctuary, Dawnstar Sanctuary",None,,,None,None,,Yes,No,None,No,No,,No,No,,Vanilla,15,412.5,102.5,207.5
https://en.uesp.net/wiki/Skyrim:Dark_Brotherhood_Initiate,Dark Brotherhood Initiate,,,Nord,Male,PC×1 (range=10-100),Assassin,00015D07,00015CFA,175-925,65-215,95-545,"One-handed, Sneak, Archery, Light Armor",Any Crime,Aggressive,The Dark Brotherhood; FavorExcludedFaction,None,Yes,Dawnstar Sanctuary,None,,,None,None,,No,Yes,None,No,No,,No,No,,Vanilla,10,550.0,140.0,320.0
https://en.uesp.net/wiki/Skyrim:Nazir,Nazir,,,Redguard,Male,PC×1 (range=5-50),Assassin,0001C3AD,0001C3AB,150+(PC-1)×8.3,50+(PC-1)×1.7,50+(PC-1)×5,"Light Armor, One-handed, Sneak, Archery",No Crime,Aggressive,The Dark Brotherhood; FavorExcludedFaction; Light Armor Trainer; Skill Trainer,TrainerLightArmorMaster,Yes,"Dark Brotherhood Sanctuary, Dawnstar Sanctuary",Light Armor (Master),,,None,None,,No,No,None,No,No,,No,No,,Vanilla,10,224.7,65.3,95
https://en.uesp.net/wiki/Skyrim:Fruki,Fruki,Dawnstar,Fruki's House,Nord,Female,6,Miner,0001A6C5,00013615,91,67,67,"Smithing, Two-handed",No Crime,Unaggressive,CrimeFactionPale; DawnstarFrukisHouseFaction; JobMinerFaction; TownDawnstarFaction,None,No,,None,,,None,None,,No,No,None,No,No,,No,No,,Vanilla,6,91,67,67
https://en.uesp.net/wiki/Skyrim:Irgnir,Irgnir,Dawnstar,Irgnir's House,Nord,Female,6,Miner,0001A6BB,00013617,91,67,67,"Smithing, Two-handed",No Crime,Unaggressive,CrimeFactionPale; DawnstarIrgnirsHouseFaction; DawnstarIronBreakerMinersFaction; JobMinerFaction; TownDawnstarFaction,None,No,,None,,,None,None,,No,No,None,No,No,,No,No,,Vanilla,6,91,67,67
