subject,predicate,object
http://example.org/skyrim#Amaund_Motierre,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://example.org/skyrim#Character
http://example.org/skyrim#Sifnar_Ironkettle,http://example.org/skyrim#hasSkill,http://example.org/skyrim#Archery
http://example.org/skyrim#Oslaf,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://example.org/skyrim#Character
http://example.org/skyrim#Vigilant_Tolan,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#NamedIndividual
http://example.org/skyrim#Edla,http://example.org/skyrim#isMemberOf,http://example.org/skyrim#DLC2SkaalMerchant
http://example.org/skyrim#Torbjorn_Shatter-Shield,http://example.org/skyrim#isMemberOf,http://example.org/skyrim#Favor110QuestGiverFaction
http://example.org/skyrim#Yngvar_the_Singer,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#NamedIndividual
http://example.org/skyrim#Captain_Veleth,http://example.org/skyrim#hasSkill,http://example.org/skyrim#Heavy_Armor
http://example.org/skyrim#Nightingale_Blade_(Lvl1-18),http://example.org/skyrim#cost,426
http://example.org/skyrim#Ancient_Nord_War_Axe,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#NamedIndividual
http://example.org/skyrim#Anton_Virane,http://example.org/skyrim#isMemberOf,http://example.org/skyrim#CrimeFactionReach
http://example.org/skyrim#Avrusa_Sarethi,http://example.org/skyrim#isMemberOf,http://example.org/skyrim#Sarethi_Farm_Faction
http://example.org/skyrim#Edda,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://example.org/skyrim#Character
http://example.org/skyrim#MarkarthHagsCureFaction,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://example.org/skyrim#Faction
http://example.org/skyrim#Legend_of_Krately_House,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#NamedIndividual
http://example.org/skyrim#Aslfur,http://example.org/skyrim#hasSkill,http://example.org/skyrim#Archery
http://example.org/skyrim#Riften_Home_Decorating_Guide,http://example.org/skyrim#cost,5
http://example.org/skyrim#ServicesIvarsteadVilemyrInn,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#NamedIndividual
http://example.org/skyrim#Sunhallowed_Elven_Arrow_DG,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://example.org/skyrim#Weapon
http://example.org/skyrim#WinterholdRanmirsHouseFaction,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://example.org/skyrim#Faction
http://example.org/skyrim#Bloodskal_Blade_DR,http://example.org/skyrim#weight,16.0
"http://example.org/skyrim#A_Dance_in_Fire,_v7",http://example.org/skyrim#authoredBy,http://example.org/skyrim#Waughin_Jarth
http://example.org/skyrim#Borgny,http://example.org/skyrim#isMemberOf,http://example.org/skyrim#TownDawnstarFaction
http://example.org/skyrim#Hjornskar_Head-Smasher,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#NamedIndividual
http://example.org/skyrim#Elisif_the_Fair,http://example.org/skyrim#isMemberOf,http://example.org/skyrim#NPCs_the_Player_cannot_marry
http://example.org/skyrim#DA05HuntersOfHircineFaction,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#NamedIndividual
http://example.org/skyrim#Arcadia,http://example.org/skyrim#isMemberOf,http://example.org/skyrim#Whiterun_Arcadias's_Cauldron_Faction
http://example.org/skyrim#Brand-Shei,http://example.org/skyrim#isMemberOf,http://example.org/skyrim#TownRiftenFaction
http://example.org/skyrim#Mathies,http://example.org/skyrim#hasSkill,http://example.org/skyrim#Two-handed
http://example.org/skyrim#Molgrom_Twice-Killed,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#NamedIndividual
http://example.org/skyrim#Suvaris_Atheron's_Logbook,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#NamedIndividual
http://example.org/skyrim#Thaena,http://example.org/skyrim#isMemberOf,http://example.org/skyrim#Sons_of_Skyrim_Government
http://example.org/skyrim#Ghorbash's_Ancestral_Axe,http://example.org/skyrim#weight,11.0
http://example.org/skyrim#Arvel's_Journal,http://example.org/skyrim#cost,5
http://example.org/skyrim#Horker_Attacks,http://example.org/skyrim#relatedSkill,false
http://example.org/skyrim#JobMinerFaction,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#NamedIndividual
http://example.org/skyrim#Morwen,http://example.org/skyrim#isMemberOf,http://example.org/skyrim#DLC2SkaalBlacksmith
http://example.org/skyrim#Ceremonial_Sword,http://example.org/skyrim#weight,12.0
http://example.org/skyrim#Karliah's_Bow,http://example.org/skyrim#madeOf,Bow
http://example.org/skyrim#LeftHandDaighresHouseFaction,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#NamedIndividual
http://example.org/skyrim#Delacourt,http://example.org/skyrim#isMemberOf,http://example.org/skyrim#JobBardFaction
http://example.org/skyrim#Tolfdir's_Book,http://example.org/skyrim#cost,5
http://example.org/skyrim#On_Apocrypha:_Boneless_Limbs,http://example.org/skyrim#relatedSkill,false
http://example.org/skyrim#Torsten_Cruel-Sea,http://example.org/skyrim#isMemberOf,http://example.org/skyrim#WindhelmMarketBrowsers
http://example.org/skyrim#Alvor,http://example.org/skyrim#isMemberOf,http://example.org/skyrim#CrimeFactionWhiterun
http://example.org/skyrim#Pantea_Ateia,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#NamedIndividual
http://example.org/skyrim#Beem-Ja,http://example.org/skyrim#hasRace,http://example.org/skyrim#Argonian
http://example.org/skyrim#Imperial_Captain,http://example.org/skyrim#isMemberOf,http://example.org/skyrim#CWImperialFaction
http://example.org/skyrim#Revyn_Sadri,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://example.org/skyrim#Character
