source,target,weight,color
House_2,Character_298,1,#888888
House_2,Character_1129,1,#888888
House_2,Character_1301,1,#888888
House_2,Character_1922,1,#888888
House_4,Character_82,1,#888888
House_4,Character_102,1,#888888
House_4,Character_141,1,#888888
House_4,Character_152,1,#888888
House_4,Character_344,1,#888888
House_7,Character_49,1,#888888
House_7,Character_92,1,#888888
House_7,Character_93,1,#888888
House_7,Character_107,1,#888888
House_7,Character_223,1,#888888
House_7,Character_265,1,#888888
House_7,Character_300,1,#888888
House_7,Character_356,1,#888888
House_7,Character_477,1,#888888
House_7,Character_508,1,#888888
House_7,Character_540,1,#888888
House_7,Character_548,1,#888888
House_7,Character_558,1,#888888
House_7,Character_572,1,#888888
House_7,Character_688,1,#888888
House_7,Character_894,1,#888888
House_7,Character_1068,1,#888888
House_7,Character_1193,1,#888888
House_7,Character_1280,1,#888888
House_7,Character_1443,1,#888888
House_7,Character_1655,1,#888888
House_7,Character_1693,1,#888888
House_7,Character_1715,1,#888888
House_7,Character_1884,1,#888888
House_8,Character_121,1,#888888
House_8,Character_641,1,#888888
House_8,Character_895,1,#888888
House_8,Character_1812,1,#888888
House_10,Character_651,1,#888888
House_10,Character_804,1,#888888
House_10,Character_823,1,#888888
House_10,Character_957,1,#888888
House_10,Character_970,1,#888888
House_11,Character_688,1,#888888
House_11,Character_823,1,#888888
House_11,Character_1240,1,#888888
House_11,Character_1249,1,#888888
House_11,Character_1448,1,#888888
House_11,Character_1581,1,#888888
House_11,Character_1719,1,#888888
House_11,Character_2052,1,#888888
House_12,Character_842,1,#888888
House_13,Character_497,1,#888888
House_13,Character_837,1,#888888
House_14,Character_332,1,#888888
House_15,Character_3,1,#888888
House_15,Character_7,1,#888888
House_15,Character_220,1,#888888
House_15,Character_243,1,#888888
House_15,Character_308,1,#888888
House_15,Character_369,1,#888888
House_15,Character_430,1,#888888
House_15,Character_601,1,#888888
House_15,Character_795,1,#888888
House_15,Character_881,1,#888888
House_15,Character_908,1,#888888
House_15,Character_925,1,#888888
House_15,Character_975,1,#888888
House_15,Character_1285,1,#888888
House_15,Character_1312,1,#888888
House_15,Character_1319,1,#888888
House_15,Character_1325,1,#888888
House_15,Character_1467,1,#888888
House_15,Character_1516,1,#888888
House_15,Character_1535,1,#888888
House_15,Character_1623,1,#888888
House_15,Character_1680,1,#888888
House_15,Character_1777,1,#888888
House_15,Character_1797,1,#888888
House_15,Character_1925,1,#888888
House_15,Character_1935,1,#888888
House_15,Character_2100,1,#888888
House_16,Character_355,1,#888888
House_16,Character_775,1,#888888
House_16,Character_1009,1,#888888
House_16,Character_1325,1,#888888
House_16,Character_1713,1,#888888
House_16,Character_1782,1,#888888
House_16,Character_1798,1,#888888
House_16,Character_1826,1,#888888
House_17,Character_110,1,#888888
House_17,Character_128,1,#888888
House_17,Character_216,1,#888888
House_17,Character_230,1,#888888
House_17,Character_249,1,#888888
House_17,Character_315,1,#888888
House_17,Character_435,1,#888888
House_17,Character_679,1,#888888
House_17,Character_794,1,#888888
House_17,Character_797,1,#888888
House_17,Character_862,1,#888888
House_17,Character_870,1,#888888
House_17,Character_986,1,#888888
House_17,Character_1044,1,#888888
House_17,Character_1188,1,#888888
House_17,Character_1233,1,#888888
House_17,Character_1355,1,#888888
House_17,Character_1473,1,#888888
House_17,Character_1552,1,#888888
House_18,Character_94,1,#888888
House_18,Character_187,1,#888888
House_18,Character_193,1,#888888
House_18,Character_366,1,#888888
House_18,Character_509,1,#888888
House_18,Character_513,1,#888888
House_18,Character_549,1,#888888
House_18,Character_671,1,#888888
House_18,Character_1103,1,#888888
House_19,Character_176,1,#888888
House_19,Character_727,1,#888888
House_20,Character_573,1,#888888
House_22,Character_621,1,#888888
House_23,Character_8,1,#888888
House_23,Character_35,1,#888888
House_23,Character_47,1,#888888
House_23,Character_50,1,#888888
House_23,Character_83,1,#888888
House_23,Character_226,1,#888888
House_23,Character_267,1,#888888
House_23,Character_268,1,#888888
House_23,Character_697,1,#888888
House_23,Character_920,1,#888888
House_23,Character_1462,1,#888888
House_23,Character_2021,1,#888888
House_24,Character_1574,1,#888888
House_24,Character_1607,1,#888888
House_24,Character_1810,1,#888888
House_26,Character_158,1,#888888
House_26,Character_191,1,#888888
House_27,Character_108,1,#888888
House_27,Character_195,1,#888888
House_27,Character_737,1,#888888
House_27,Character_744,1,#888888
House_27,Character_843,1,#888888
House_27,Character_1241,1,#888888
House_27,Character_1640,1,#888888
House_27,Character_2045,1,#888888
House_28,Character_1135,1,#888888
House_29,Character_202,1,#888888
House_31,Character_1726,1,#888888
House_33,Character_491,1,#888888
House_34,Character_196,1,#888888
House_34,Character_314,1,#888888
House_34,Character_849,1,#888888
House_34,Character_933,1,#888888
House_34,Character_1084,1,#888888
House_34,Character_1159,1,#888888
House_34,Character_1208,1,#888888
House_34,Character_1313,1,#888888
House_34,Character_1329,1,#888888
House_34,Character_1452,1,#888888
House_34,Character_1492,1,#888888
House_34,Character_1648,1,#888888
House_34,Character_1747,1,#888888
House_34,Character_1949,1,#888888
House_34,Character_2077,1,#888888
House_35,Character_429,1,#888888
House_36,Character_163,1,#888888
House_36,Character_185,1,#888888
House_36,Character_419,1,#888888
House_36,Character_468,1,#888888
House_36,Character_474,1,#888888
House_36,Character_661,1,#888888
House_36,Character_717,1,#888888
House_36,Character_835,1,#888888
House_36,Character_958,1,#888888
House_36,Character_961,1,#888888
