id,label,type,color,size
House_1,House Algood,House,#FF5733,15
House_2,House Allyrion of Godsgrace,House,#FF5733,15
House_3,House Amber,House,#FF5733,15
House_4,House Ambrose,House,#FF5733,15
House_5,House Appleton of Appleton,House,#FF5733,15
House_6,House Arryn of Gulltown,House,#FF5733,15
House_7,House Arryn of the Eyrie,House,#FF5733,15
House_8,House Ashford of Ashford,House,#FF5733,15
House_9,House Ashwood,House,#FF5733,15
House_10,House Baelish of Harrenhal,House,#FF5733,15
House_11,House Baelish of the Fingers,House,#FF5733,15
House_12,House Ball,House,#FF5733,15
House_13,House Banefort of Banefort,House,#FF5733,15
House_14,House Bar Emmon of Sharp Point,House,#FF5733,15
House_15,House Baratheon of Dragonstone,House,#FF5733,15
House_16,House Baratheon of King's Landing,House,#FF5733,15
House_17,House Baratheon of Storm's End,House,#FF5733,15
House_18,House Beesbury of Honeyholt,House,#FF5733,15
House_19,House Belmore of Strongsong,House,#FF5733,15
House_20,House Bettley,House,#FF5733,15
House_21,House Bigglestone,House,#FF5733,15
House_22,House Blackbar of Bandallon,House,#FF5733,15
House_23,House Blackfyre of King's Landing,House,#FF5733,15
House_24,House Blackmont of Blackmont,House,#FF5733,15
House_25,House Blackmyre,House,#FF5733,15
House_26,House Blacktyde of Blacktyde,House,#FF5733,15
House_27,House Blackwood of Raventree Hall,House,#FF5733,15
House_28,House Blanetree,House,#FF5733,15
House_29,House Blount,House,#FF5733,15
House_30,House Boggs,House,#FF5733,15
House_31,House Boggs of Crackclaw Point,House,#FF5733,15
House_32,House Bole,House,#FF5733,15
House_33,House Bolling,House,#FF5733,15
House_34,House Bolton of the Dreadfort,House,#FF5733,15
House_35,House Borrell of Sweetsister,House,#FF5733,15
House_36,House Botley of Lordsport,House,#FF5733,15
House_37,House Bracken of Stone Hedge,House,#FF5733,15
House_38,House Branch,House,#FF5733,15
House_39,House Branfield,House,#FF5733,15
House_40,House Brax of Hornvale,House,#FF5733,15
House_41,House Breakstone,House,#FF5733,15
House_42,House Briar,House,#FF5733,15
House_43,House Bridges,House,#FF5733,15
House_44,House Brightstone,House,#FF5733,15
House_45,House Brook,House,#FF5733,15
House_46,House Broom,House,#FF5733,15
House_47,House Brownhill,House,#FF5733,15
House_48,House Brune of Brownhollow,House,#FF5733,15
House_49,House Brune of the Dyre Den,House,#FF5733,15
House_50,House Buckler of Bronzegate,House,#FF5733,15
House_51,House Buckwell of the Antlers,House,#FF5733,15
House_52,House Bulwer of Blackcrown,House,#FF5733,15
House_53,House Burley,House,#FF5733,15
House_54,House Bushy,House,#FF5733,15
House_55,House Butterwell,House,#FF5733,15
House_56,House Byrch,House,#FF5733,15
House_57,House Bywater,House,#FF5733,15
House_58,House Cafferen of Fawnton,House,#FF5733,15
House_59,House Cargyll,House,#FF5733,15
House_60,House Caron of Nightsong,House,#FF5733,15
House_61,House Cassel,House,#FF5733,15
House_62,House Casterly of Casterly Rock,House,#FF5733,15
House_63,House Caswell of Bitterbridge,House,#FF5733,15
House_64,House Cave,House,#FF5733,15
House_65,House Celtigar of Claw Isle,House,#FF5733,15
House_66,House Cerwyn of Cerwyn,House,#FF5733,15
House_67,House Chambers,House,#FF5733,15
House_68,House Charlton,House,#FF5733,15
House_69,House Chelsted,House,#FF5733,15
House_70,House Chester of Greenshield,House,#FF5733,15
House_71,House Chyttering,House,#FF5733,15
House_72,House Clegane,House,#FF5733,15
House_73,House Clifton,House,#FF5733,15
House_74,House Cockshaw,House,#FF5733,15
House_75,House Codd,House,#FF5733,15
House_76,House Coldwater of Coldwater Burn,House,#FF5733,15
House_77,House Cole,House,#FF5733,15
House_78,House Condon,House,#FF5733,15
House_79,House Conklyn,House,#FF5733,15
House_80,House Connington of Griffin's Roost,House,#FF5733,15
House_81,House Corbray of Heart's Home,House,#FF5733,15
House_82,House Cordwayner of Hammerhal,House,#FF5733,15
House_83,House Costayne of Three Towers,House,#FF5733,15
House_84,House Cox of Saltpans,House,#FF5733,15
House_85,House Crabb,House,#FF5733,15
House_86,House Crakehall of Crakehall,House,#FF5733,15
House_87,House Crane of Red Lake,House,#FF5733,15
House_88,House Cray,House,#FF5733,15
House_89,House Cressey,House,#FF5733,15
House_90,House Crowl of Deepdown,House,#FF5733,15
House_91,House Cuy of Sunhouse,House,#FF5733,15
House_92,House Dalt of Lemonwood,House,#FF5733,15
House_93,House Dargood,House,#FF5733,15
House_94,House Darke,House,#FF5733,15
House_95,House Darklyn of Duskendale,House,#FF5733,15
House_96,House Darkwood,House,#FF5733,15
House_97,House Darry of Darry,House,#FF5733,15
House_98,House Dayne of High Hermitage,House,#FF5733,15
House_99,House Dayne of Starfall,House,#FF5733,15
House_100,House Deddings,House,#FF5733,15
House_101,House Doggett,House,#FF5733,15
House_102,House Dondarrion of Blackhaven,House,#FF5733,15
House_103,House Donniger,House,#FF5733,15
House_104,House Drinkwater,House,#FF5733,15
House_105,House Drox,House,#FF5733,15
House_106,House Drumm of Old Wyk,House,#FF5733,15
House_107,House Dryland,House,#FF5733,15
House_108,House Dunn,House,#FF5733,15
House_109,House Durrandon,House,#FF5733,15
House_110,House Durwell,House,#FF5733,15
House_111,House Dustin of Barrowton,House,#FF5733,15
House_112,House Edgerton,House,#FF5733,15
House_113,House Egen,House,#FF5733,15
House_114,House Elesham of the Paps,House,#FF5733,15
House_115,House Erenford,House,#FF5733,15
House_116,House Errol of Haystack Hall,House,#FF5733,15
House_117,House Estermont of Greenstone,House,#FF5733,15
House_118,House Estren of Wyndhall,House,#FF5733,15
House_119,House Falwell,House,#FF5733,15
House_120,House Farman of Faircastle,House,#FF5733,15
House_121,House Farring,House,#FF5733,15
House_122,House Farwynd of Sealskin Point,House,#FF5733,15
House_123,House Farwynd of the Lonely Light,House,#FF5733,15
House_124,House Fell of Felwood,House,#FF5733,15
House_125,House Fenn,House,#FF5733,15
House_126,House Ferren,House,#FF5733,15
House_127,House Fisher,House,#FF5733,15
House_128,House Fisher of the Stony Shore,House,#FF5733,15
House_129,House Flint  of the mountains,House,#FF5733,15
House_130,House Flint of Breakstone Hill,House,#FF5733,15
House_131,House Flint of Flint's Finger,House,#FF5733,15
House_132,House Flint of Widow's Watch,House,#FF5733,15
House_133,House Florent of Brightwater Keep,House,#FF5733,15
House_134,House Follard,House,#FF5733,15
House_135,House Foote,House,#FF5733,15
House_136,House Foote of Nightsong,House,#FF5733,15
House_137,House Footly of Tumbleton,House,#FF5733,15
House_138,House Forrester,House,#FF5733,15
House_139,House Fossoway of Cider Hall,House,#FF5733,15
House_140,House Fossoway of New Barrel,House,#FF5733,15
House_141,House Fowler of Skyreach,House,#FF5733,15
House_142,House Frey of Riverrun,House,#FF5733,15
House_143,House Frey of the Crossing,House,#FF5733,15
House_144,House Frost,House,#FF5733,15
House_145,House Gardener of Highgarden,House,#FF5733,15
House_146,House Gargalen of Salt Shore,House,#FF5733,15
House_147,House Garner,House,#FF5733,15
House_148,House Gaunt,House,#FF5733,15
House_149,House Glenmore,House,#FF5733,15
House_150,House Glover of Deepwood Motte,House,#FF5733,15
House_151,House Goodbrook,House,#FF5733,15
House_152,House Goodbrother of Corpse Lake,House,#FF5733,15
House_153,House Goodbrother of Crow Spike Keep,House,#FF5733,15
House_154,House Goodbrother of Downdelving,House,#FF5733,15
House_155,House Goodbrother of Hammerhorn,House,#FF5733,15
House_156,House Goodbrother of Orkmont,House,#FF5733,15
House_157,House Goodbrother of Shatterstone,House,#FF5733,15
House_158,House Gower,House,#FF5733,15
House_159,House Graceford of Holyhall,House,#FF5733,15
House_160,House Grafton of Gulltown,House,#FF5733,15
House_161,House Grandison of Grandview,House,#FF5733,15
House_162,House Graves,House,#FF5733,15
House_163,House Greenfield of Greenfield,House,#FF5733,15
House_164,House Greengood,House,#FF5733,15
House_165,House Greenwood,House,#FF5733,15
House_166,House Grell,House,#FF5733,15
House_167,House Grey,House,#FF5733,15
House_168,House Greyiron of Orkmont,House,#FF5733,15
House_169,House Greyjoy of Pyke,House,#FF5733,15
House_170,House Greystark of Wolf's Den,House,#FF5733,15
House_171,House Grimm of Greyshield,House,#FF5733,15
House_172,House Haigh,House,#FF5733,15
House_173,House Hamell,House,#FF5733,15
House_174,House Harclay,House,#FF5733,15
House_175,House Hardy,House,#FF5733,15
House_176,House Hardyng,House,#FF5733,15
House_177,House Harlaw of Grey Garden,House,#FF5733,15
House_178,House Harlaw of Harlaw,House,#FF5733,15
House_179,House Harlaw of Harlaw Hall,House,#FF5733,15
House_180,House Harlaw of Harridan Hill,House,#FF5733,15
House_181,House Harlaw of the Tower of Glimmering,House,#FF5733,15
House_182,House Harlton,House,#FF5733,15
House_183,House Harroway of Harrenhal,House,#FF5733,15
House_184,House Harte,House,#FF5733,15
House_185,House Hastwyck,House,#FF5733,15
House_186,House Hasty,House,#FF5733,15
House_187,House Hawick of Saltpans,House,#FF5733,15
House_188,House Hawthorne,House,#FF5733,15
House_189,House Hayford of Hayford,House,#FF5733,15
House_190,House Heddle,House,#FF5733,15
House_191,House Herston,House,#FF5733,15
House_192,House Hersy of Newkeep,House,#FF5733,15
House_193,House Hetherspoon,House,#FF5733,15
House_194,House Hewett of Oakenshield,House,#FF5733,15
House_195,House Hightower of the Hightower,House,#FF5733,15
House_196,House Hoare of Orkmont,House,#FF5733,15
House_197,House Hogg of Sow's Horn,House,#FF5733,15
House_198,House Hollard,House,#FF5733,15
House_199,House Holt,House,#FF5733,15
House_200,House Holt,House,#FF5733,15
House_201,House Hook,House,#FF5733,15
House_202,House Hornwood of Hornwood,House,#FF5733,15
House_203,House Horpe,House,#FF5733,15
House_204,House Hull,House,#FF5733,15
House_205,House Humble,House,#FF5733,15
House_206,House Hunt,House,#FF5733,15
House_207,House Hunter of Longbow Hall,House,#FF5733,15
House_208,House Hutcheson,House,#FF5733,15
House_209,House Inchfield,House,#FF5733,15
