System;Cluster;Planet/Object;Action;Available
Artemis Tau;Sparta;Edolus;Land;1
;;Ontamalca;Survey;1
;;Alsages;Survey;1
;;Asteroid;Survey;1
;;Tremanre;N/A;0
;;Altaaya;N/A;0
;Knossos;Therum;Mission;1
;;Asteroid #1;Survey;1
;;Asteroid #2;Survey;1
;;Archanes;Survey;1
;;Armeni;N/A;0
;;Phiastos;N/A;0
;;Zakros;N/A;0
;Athens;Proteus;Survey;1
;;Circe;Survey;1
;;Pharos;Survey;1
;;Salamis;N/A;0
;;Nausicaa;N/A;0
;Macedon;Sharjila;Land;1
;;Porolan;Survey;1
;;Fargeluse;Survey;1
;;Asteroid;Survey;1
;;Patavig;N/A;0
Horse Head Nebula;Pax;Noveria;Mission;1
;;Veles;Survey;1
;;Svarog;N/A;0
;;Morana;N/A;0
;Streenus;MSV Majesty;Survey;1
;;Xawin;Land;1
;;Yunthorl;Survey;1
;;Antitarra;Survey;1
;;Trelyn;N/A;0
;;Thesalgon;N/A;0
;Fortuna;Amaranthine;Land;1
;;Maganlis;Survey;1
;;Therumlon;Survey;1
;;Wentania;N/A;0
Attican Beta;Feros;Feros;Mission;1
;;Quana;Survey;1
;;Sharring;Survey;1
;;Sytau;N/A;0
;;Logan;N/A;0
;Hercules;Eletania;Land;1
;;Syided;Survey;1
;;Zatorus;Survey;1
;;Xathorron;N/A;0
Exodus Cluster;Asgard;Asteroid X57;Mission;1
;;Terra Nova;N/A;0
;;Borr;N/A;0
;;Tyr;N/A;0
;;Loki;N/A;0
;Utopia;Eden Prime;Mission;1
;;Arcadia;N/A;0
;;Zion;N/A;0
;;Nirvana;N/A;0
;;Xanadu;N/A;0
Local Cluster;Sol;Luna;Land;1
;;Earth;N/A;0
;;Mercury;N/A;0
;;Venus;N/A;0
;;Mars;N/A;0
;;Jupiter;N/A;0
;;Saturn;N/A;0
;;Uranus;N/A;0
;;Neptune;N/A;0
;;Pluto;N/A;0
Argos Rho;Hydra;Metgos;Land;1
;;Syba;Survey;1
;;Canrum;Survey;1
;;Theyar;N/A;0
;;Varmalus;N/A;0
;Phoenix;Pinnacle Station;Mission;1
;;Tuntau;Land;1
;;Intai'sei;Ahern's Villa;1
;;Patashi;Survey;1
;;Vebinok;Survey;1
;;Asteroid;Survey;1
;;Sylsalto;N/A;0
;Gorgon;Unidentified Space Facility;Land;1
;;Wuo;N/A;0
;;Vectra;N/A;0
;;Camaron;N/A;0
;;Sharblu;N/A;0
;;Slekon;N/A;0
Gemini Sigma;Ming;MSV Worthington;Land;1
;;Parag;Survey;1
;;Altanorch;Survey;1
;;Antiropus;N/A;0
;Han;Mavigon;Land;1
;;Paravin;Survey;1
;;Patatanlis;Survey;1
;;Huningto;N/A;0
;;Farcrothu;N/A;0
Hades Gamma;Plutus;Nonuel;Land;1
;;Mingito;Survey;1
;;Clocrolis;Survey;1
;;Maidla;N/A;0
;;Veyaria;N/A;0
;Antaeus;Trebin;Land;1
;;Edmos;Survey;1
;;Ploba;Survey;1
;;Vemal;Survey;1
;;Ageko;N/A;0
