name	tier	x	y	cluster
AKKA	https://stackknowledge.org/stackkg#HIGH	0.621092	0.313267	1
ANGULAR	https://stackknowledge.org/stackkg#HIGH	-0.381996	0.379071	0
ANSIBLE	https://stackknowledge.org/stackkg#MEDIUM	0.683424	0.098729	1
APOLLO_SERVER	https://stackknowledge.org/stackkg#MEDIUM	0.683391	0.172506	1
AZURE	https://stackknowledge.org/stackkg#HIGH	0.676053	0.226662	1
BARE_METAL_PLATFORM	https://stackknowledge.org/stackkg#MEDIUM	-0.456883	0.418241	0
C++	https://stackknowledge.org/stackkg#HIGH	-0.355632	0.352324	0
CLOJURE	https://stackknowledge.org/stackkg#MEDIUM	-0.453033	0.424175	0
COMUNDA	https://stackknowledge.org/stackkg#MEDIUM	-0.384433	0.319966	0
CYPRESS	https://stackknowledge.org/stackkg#MEDIUM	-0.406424	0.412043	0
ENVOY	https://stackknowledge.org/stackkg#LOW	0.699565	0.180999	1
FLASK	https://stackknowledge.org/stackkg#MEDIUM	0.650256	0.271198	1
GIN	https://stackknowledge.org/stackkg#MEDIUM	-0.385794	0.424112	0
GIT	https://stackknowledge.org/stackkg#HIGH	-0.402970	0.424535	0
GITHUB_ACTIONS	https://stackknowledge.org/stackkg#HIGH	0.697555	0.179949	1
GITLAB_CI	https://stackknowledge.org/stackkg#MEDIUM	0.689732	0.157885	1
GO	https://stackknowledge.org/stackkg#HIGH	-0.376955	0.396176	0
HIBERNATE	https://stackknowledge.org/stackkg#MEDIUM	0.651325	0.230289	1
ISTIO	https://stackknowledge.org/stackkg#LOW	-0.476774	0.400917	0
JAKARTAEE	https://stackknowledge.org/stackkg#MEDIUM	-0.451476	0.390574	0
JENKINS	https://stackknowledge.org/stackkg#HIGH	-0.387412	0.377877	0
JMETER	https://stackknowledge.org/stackkg#MEDIUM	0.674303	0.134399	1
JOOQ	https://stackknowledge.org/stackkg#LOW	0.681962	0.208621	1
KAFKA_CLIENT	https://stackknowledge.org/stackkg#LOW	-0.526732	0.417760	0
KOTLIN_COROUTINES	https://stackknowledge.org/stackkg#HIGH	0.624745	0.218539	1
LARAVEL	https://stackknowledge.org/stackkg#HIGH	-0.485431	0.413258	0
LOGBACK	https://stackknowledge.org/stackkg#HIGH	-0.346478	0.433119	0
LOKI	https://stackknowledge.org/stackkg#HIGH	-0.406384	0.351735	0
MANAGED_DB_PLATFORM	https://stackknowledge.org/stackkg#LOW	0.689935	0.199543	1
MANAGED_STREAM_PLATFORM	https://stackknowledge.org/stackkg#HIGH	0.681220	0.259840	1
MYBATIS	https://stackknowledge.org/stackkg#MEDIUM	0.662622	0.142594	1
NATS_CLIENT	https://stackknowledge.org/stackkg#HIGH	0.688957	0.122686	1
NEXTJS	https://stackknowledge.org/stackkg#MEDIUM	0.662408	0.192155	1
NUMPY	https://stackknowledge.org/stackkg#MEDIUM	0.685699	0.148547	1
OPENID_CONNECT	https://stackknowledge.org/stackkg#MEDIUM	-0.339482	0.403154	0
ORACLE_DB	https://stackknowledge.org/stackkg#LOW	0.662260	0.151243	1
PANDAS	https://stackknowledge.org/stackkg#MEDIUM	-0.444462	0.442486	0
PYTORCH	https://stackknowledge.org/stackkg#MEDIUM	-0.456833	0.392114	0
RABBITMQ_CLIENT	https://stackknowledge.org/stackkg#MEDIUM	0.690036	0.286870	1
REACT	https://stackknowledge.org/stackkg#HIGH	-0.499123	0.385515	0
REACTOR	https://stackknowledge.org/stackkg#HIGH	0.688925	0.190962	1
REST	https://stackknowledge.org/stackkg#HIGH	-0.298078	0.412451	0
RUBY_ON_RAILS	https://stackknowledge.org/stackkg#LOW	-0.526799	0.308325	0
RUST	https://stackknowledge.org/stackkg#HIGH	-0.381601	0.460602	0
SCIKIT_LEARN	https://stackknowledge.org/stackkg#MEDIUM	-0.451077	0.394964	0
SELENIUM	https://stackknowledge.org/stackkg#MEDIUM	-0.297061	0.429216	0
SENTRY	https://stackknowledge.org/stackkg#HIGH	-0.398624	0.352450	0
SERVERLESS_PLATFORM	https://stackknowledge.org/stackkg#MEDIUM	-0.411442	0.397749	0
SLF4J	https://stackknowledge.org/stackkg#MEDIUM	-0.336734	0.460615	0
SPARK_STREAMING	https://stackknowledge.org/stackkg#MEDIUM	-0.372994	0.299155	0
SPRING_WEBFLUX	https://stackknowledge.org/stackkg#LOW	-0.300804	0.424058	0
SQLSERVER	https://stackknowledge.org/stackkg#LOW	0.677709	0.196609	1
SUBVERSION	https://stackknowledge.org/stackkg#MEDIUM	0.673787	0.193826	1
SWAGGER_UI	https://stackknowledge.org/stackkg#LOW	0.707042	0.241977	1
VUE	https://stackknowledge.org/stackkg#HIGH	-0.411848	0.311802	0
WINDOWS	https://stackknowledge.org/stackkg#HIGH	0.671401	0.214891	1
YDB	https://stackknowledge.org/stackkg#MEDIUM	-0.357182	0.433965	0
YT	https://stackknowledge.org/stackkg#MEDIUM	-0.466009	0.183948	0
AWS	https://stackknowledge.org/stackkg#MEDIUM	-0.457848	0.020847	0
ELASTICSEARCH	https://stackknowledge.org/stackkg#LOW	-0.480584	0.065501	0
GCP	https://stackknowledge.org/stackkg#LOW	-0.332053	-0.002368	0
K6	https://stackknowledge.org/stackkg#MEDIUM	-0.245142	0.392364	0
MOCKITO	https://stackknowledge.org/stackkg#HIGH	-0.105439	0.407192	0
PHP	https://stackknowledge.org/stackkg#LOW	-0.291592	0.403561	0
PLAYWRIGHT	https://stackknowledge.org/stackkg#MEDIUM	-0.136158	0.445849	0
RUBY	https://stackknowledge.org/stackkg#MEDIUM	-0.446510	0.430017	0
SCALA	https://stackknowledge.org/stackkg#MEDIUM	-0.259743	0.087036	0
SOCKET_IO	https://stackknowledge.org/stackkg#MEDIUM	-0.377470	0.077235	0
FLINK	https://stackknowledge.org/stackkg#MEDIUM	-0.408454	0.035495	0
GRAPHQL	https://stackknowledge.org/stackkg#MEDIUM	0.593954	-0.076587	1
JUNIT5	https://stackknowledge.org/stackkg#MEDIUM	-0.049250	0.418690	0
POSTMAN	https://stackknowledge.org/stackkg#MEDIUM	0.606969	0.155508	1
TESTCONTAINERS	https://stackknowledge.org/stackkg#MEDIUM	0.590034	0.196641	1
DYNAMODB	https://stackknowledge.org/stackkg#MEDIUM	-0.305458	-0.453817	2
NEO4J	https://stackknowledge.org/stackkg#MEDIUM	-0.326021	-0.486147	2
GRPC	https://stackknowledge.org/stackkg#MEDIUM	0.480954	-0.318272	1
MICRONAUT	https://stackknowledge.org/stackkg#MEDIUM	0.458008	-0.314402	1
MYSQL	https://stackknowledge.org/stackkg#MEDIUM	-0.188480	-0.524763	2
CLICKHOUSE	https://stackknowledge.org/stackkg#LOW	0.464436	-0.254536	1
DJANGO	https://stackknowledge.org/stackkg#MEDIUM	-0.210235	-0.518247	2
FASTAPI	https://stackknowledge.org/stackkg#HIGH	-0.239765	0.106478	0
JWT	https://stackknowledge.org/stackkg#HIGH	-0.260797	-0.512735	2
KTOR	https://stackknowledge.org/stackkg#MEDIUM	-0.344425	-0.470347	2
NATS	https://stackknowledge.org/stackkg#MEDIUM	-0.317151	-0.545420	2
OAUTH2	https://stackknowledge.org/stackkg#LOW	0.474936	-0.319278	1
QUARKUS	https://stackknowledge.org/stackkg#MEDIUM	-0.260667	-0.568001	2
RABBITMQ	https://stackknowledge.org/stackkg#LOW	0.395226	-0.393619	1
COCKROACHDB	https://stackknowledge.org/stackkg#MEDIUM	0.445164	-0.356859	1
EXPRESS	https://stackknowledge.org/stackkg#LOW	-0.335726	-0.504219	2
OPENAPI	https://stackknowledge.org/stackkg#HIGH	0.468373	-0.332535	1
DOTNET_ASPNET	https://stackknowledge.org/stackkg#LOW	-0.188156	-0.610224	2
JAVASCRIPT	https://stackknowledge.org/stackkg#HIGH	-0.267724	-0.549912	2
KOTLIN	https://stackknowledge.org/stackkg#HIGH	-0.311868	-0.559305	2
MONGODB	https://stackknowledge.org/stackkg#HIGH	-0.274335	-0.577085	2
PULSAR	https://stackknowledge.org/stackkg#MEDIUM	-0.180798	-0.623767	2
CASSANDRA	https://stackknowledge.org/stackkg#HIGH	-0.257900	-0.610093	2
CSHARP	https://stackknowledge.org/stackkg#MEDIUM	0.397390	-0.388860	1
SPRING_BOOT	https://stackknowledge.org/stackkg#HIGH	-0.324568	-0.558689	2
DOCKER	https://stackknowledge.org/stackkg#HIGH	0.659014	0.239493	1
LINUX	https://stackknowledge.org/stackkg#HIGH	0.087417	0.351579	0
NESTJS	https://stackknowledge.org/stackkg#HIGH	-0.197325	-0.569949	2
TYPESCRIPT	https://stackknowledge.org/stackkg#MEDIUM	-0.214617	-0.603606	2
POSTGRESQL	https://stackknowledge.org/stackkg#HIGH	-0.357972	-0.596377	2
ARGO_CD	https://stackknowledge.org/stackkg#MEDIUM	0.334934	-0.465977	2
REDIS	https://stackknowledge.org/stackkg#HIGH	-0.235061	-0.620714	2
PYTHON	https://stackknowledge.org/stackkg#HIGH	-0.163236	-0.603979	2
GRAFANA	https://stackknowledge.org/stackkg#HIGH	-0.152403	-0.653070	2
HELM	https://stackknowledge.org/stackkg#MEDIUM	0.315471	-0.483310	2
KAFKA	https://stackknowledge.org/stackkg#HIGH	-0.185150	-0.627783	2
NGINX	https://stackknowledge.org/stackkg#MEDIUM	0.208892	-0.541739	2
