white_player;white_elo;black_player;black_elo;result;moves;site;date;slug;id;format;eco
Erigaisi, Arjun Kumar;2749;Keymer, Vincent;2599.0;0-1;44;Mumbai;2025-12-23;erigaisi-keymer-r11.4-mumbai-2025-12-23;10599012;2;E10
Gukesh, Dommaraju;2628;Anand, Viswanathan;2732.0;1-0;49;Mumbai;2025-12-23;gukesh-anand-r11.4-mumbai-2025-12-23;10599011;2;C44
Keymer, Vincent;2599;Erigaisi, Arjun Kumar;2749.0;0-1;90;Mumbai;2025-12-23;keymer-erigaisi-r11.3-mumbai-2025-12-23;10599009;2;E62
Anand, Viswanathan;2732;Gukesh, Dommaraju;2628.0;1/2-1/2;61;Mumbai;2025-12-23;anand-gukesh-r11.3-mumbai-2025-12-23;10599005;2;B15
Gukesh, Dommaraju;2692;Anand, Viswanathan;2727.0;1/2-1/2;64;Mumbai;2025-12-23;gukesh-anand-r11.2-mumbai-2025-12-23;10599003;3;C44
Dominguez Perez, Leinier;2703;Sindarov, Javokhir;2704.0;1-0;61;Mumbai;2025-12-23;dominguez-perez-sindarov-r11.2-mumbai-2025-12-23;10599002;3;C55
Erigaisi, Arjun Kumar;2714;Keymer, Vincent;2640.0;1-0;66;Mumbai;2025-12-23;erigaisi-keymer-r11.2-mumbai-2025-12-23;10599001;3;E10
Sindarov, Javokhir;2704;Dominguez Perez, Leinier;2703.0;1-0;44;Mumbai;2025-12-23;sindarov-dominguez-perez-r11.1-mumbai-2025-12-23;10598994;3;A11
Keymer, Vincent;2640;Erigaisi, Arjun Kumar;2714.0;0-1;55;Mumbai;2025-12-23;keymer-erigaisi-r11.1-mumbai-2025-12-23;10598993;3;E62
Anand, Viswanathan;2727;Gukesh, Dommaraju;2692.0;1-0;49;Mumbai;2025-12-23;anand-gukesh-r11.1-mumbai-2025-12-23;10598992;3;B15
Caruana, Fabiano;2751;Gukesh, Dommaraju;2692.0;0-1;56;Mumbai;2025-12-22;caruana-gukesh-r10.3-mumbai-2025-12-22;10598991;3;B51
Giri, Anish;2685;Erigaisi, Arjun Kumar;2714.0;0-1;52;Mumbai;2025-12-22;giri-erigaisi-r10.3-mumbai-2025-12-22;10598989;3;E91
Praggnanandhaa, Rameshbabu;2663;Dominguez Perez, Leinier;2703.0;1/2-1/2;35;Mumbai;2025-12-22;praggnanandhaa-dominguez-perez-r10.3-mumbai-2025-12-22;10598988;3;B90
Vidit, Santosh Gujrathi;2650;Mamedyarov, Shakhriyar;2707.0;0-1;62;Mumbai;2025-12-22;vidit-mamedyarov-r10.2-mumbai-2025-12-22;10598985;3;B10
Firouzja, Alireza;2754;Vachier Lagrave, Maxime;2730.0;1-0;59;Mumbai;2025-12-22;firouzja-vachier-lagrave-r10.2-mumbai-2025-12-22;10598984;3;B90
Wei, Yi;2751;So, Wesley;2702.0;1-0;33;Mumbai;2025-12-22;wei-so-r10.2-mumbai-2025-12-22;10598982;3;C45
Sindarov, Javokhir;2704;Rapport, Richard;2702.0;1/2-1/2;60;Mumbai;2025-12-22;sindarov-rapport-r10.1-mumbai-2025-12-22;10598978;3;E12
Keymer, Vincent;2640;Artemiev, Vladislav;2727.0;1-0;40;Mumbai;2025-12-22;keymer-artemiev-r10.1-mumbai-2025-12-22;10598976;3;A20
Anand, Viswanathan;2727;Nakamura, Hikaru;2732.0;1/2-1/2;41;Mumbai;2025-12-22;anand-nakamura-r10.1-mumbai-2025-12-22;10598974;3;C70
Vachier Lagrave, Maxime;2730;Gukesh, Dommaraju;2692.0;1-0;55;Mumbai;2025-12-21;vachier-lagrave-gukesh-r9.3-mumbai-2025-12-21;10598972;3;B90
Mamedyarov, Shakhriyar;2707;Dominguez Perez, Leinier;2703.0;0-1;40;Mumbai;2025-12-21;mamedyarov-dominguez-perez-r9.3-mumbai-2025-12-21;10598970;3;D43
So, Wesley;2702;Erigaisi, Arjun Kumar;2714.0;1/2-1/2;49;Mumbai;2025-12-21;so-erigaisi-r9.3-mumbai-2025-12-21;10598969;3;E94
Artemiev, Vladislav;2727;Giri, Anish;2685.0;1/2-1/2;83;Mumbai;2025-12-21;artemiev-giri-r9.2-mumbai-2025-12-21;10598966;3;E68
Nakamura, Hikaru;2732;Caruana, Fabiano;2751.0;1/2-1/2;48;Mumbai;2025-12-21;nakamura-caruana-r9.2-mumbai-2025-12-21;10598965;3;C47
Rapport, Richard;2702;Praggnanandhaa, Rameshbabu;2663.0;1/2-1/2;62;Mumbai;2025-12-21;rapport-praggnanandhaa-r9.2-mumbai-2025-12-21;10598963;3;C69
Anand, Viswanathan;2727;Firouzja, Alireza;2754.0;0-1;48;Mumbai;2025-12-21;anand-firouzja-r9.1-mumbai-2025-12-21;10598961;3;B51
Sindarov, Javokhir;2704;Vidit, Santosh Gujrathi;2650.0;1-0;53;Mumbai;2025-12-21;sindarov-vidit-r9.1-mumbai-2025-12-21;10598960;3;C53
Keymer, Vincent;2640;Wei, Yi;2751.0;1/2-1/2;23;Mumbai;2025-12-21;keymer-wei-r9.1-mumbai-2025-12-21;10598956;3;A28
So, Wesley;2702;Giri, Anish;2685.0;1/2-1/2;33;Mumbai;2025-12-21;so-giri-r8.3-mumbai-2025-12-21;10598953;3;E81
Mamedyarov, Shakhriyar;2707;Praggnanandhaa, Rameshbabu;2663.0;1/2-1/2;38;Mumbai;2025-12-21;mamedyarov-praggnanandhaa-r8.3-mumbai-2025-12-21;10598951;3;A21
Vachier Lagrave, Maxime;2730;Caruana, Fabiano;2751.0;1/2-1/2;40;Mumbai;2025-12-21;vachier-lagrave-caruana-r8.3-mumbai-2025-12-21;10598950;3;C79
Gukesh, Dommaraju;2692;Anand, Viswanathan;2727.0;1/2-1/2;67;Mumbai;2025-12-20;gukesh-anand-r8.2-mumbai-2025-12-20;10598949;3;D00
Erigaisi, Arjun Kumar;2714;Keymer, Vincent;2640.0;1-0;36;Mumbai;2025-12-20;erigaisi-keymer-r8.2-mumbai-2025-12-20;10598948;3;C58
Dominguez Perez, Leinier;2703;Sindarov, Javokhir;2704.0;1/2-1/2;32;Mumbai;2025-12-20;dominguez-perez-sindarov-r8.2-mumbai-2025-12-20;10598945;3;C53
Artemiev, Vladislav;2727;Wei, Yi;2751.0;1/2-1/2;36;Mumbai;2025-12-20;artemiev-wei-r8.1-mumbai-2025-12-20;10598942;3;A15
Rapport, Richard;2702;Vidit, Santosh Gujrathi;2650.0;1/2-1/2;49;Mumbai;2025-12-20;rapport-vidit-r8.1-mumbai-2025-12-20;10598940;3;C67
Nakamura, Hikaru;2732;Firouzja, Alireza;2754.0;1/2-1/2;30;Mumbai;2025-12-20;nakamura-firouzja-r8.1-mumbai-2025-12-20;10598938;3;B54
Sindarov, Javokhir;2704;Praggnanandhaa, Rameshbabu;2663.0;1-0;59;Mumbai;2025-12-20;sindarov-praggnanandhaa-r7.3-mumbai-2025-12-20;10598937;3;A13
Anand, Viswanathan;2727;Caruana, Fabiano;2751.0;1/2-1/2;39;Mumbai;2025-12-20;anand-caruana-r7.3-mumbai-2025-12-20;10598934;3;C63
Nakamura, Hikaru;2732;Vachier Lagrave, Maxime;2730.0;1-0;55;Mumbai;2025-12-20;nakamura-vachier-lagrave-r7.2-mumbai-2025-12-20;10598931;3;C47
Rapport, Richard;2702;Mamedyarov, Shakhriyar;2707.0;1-0;40;Mumbai;2025-12-20;rapport-mamedyarov-r7.2-mumbai-2025-12-20;10598930;3;C50
Artemiev, Vladislav;2727;So, Wesley;2702.0;1-0;38;Mumbai;2025-12-20;artemiev-so-r7.2-mumbai-2025-12-20;10598928;3;C67
Firouzja, Alireza;2754;Gukesh, Dommaraju;2692.0;0-1;58;Mumbai;2025-12-19;firouzja-gukesh-r7.1-mumbai-2025-12-19;10598838;3;D01
Wei, Yi;2751;Erigaisi, Arjun Kumar;2714.0;1-0;71;Mumbai;2025-12-19;wei-erigaisi-r7.1-mumbai-2025-12-19;10598836;3;C70
Vidit, Santosh Gujrathi;2650;Dominguez Perez, Leinier;2703.0;1-0;40;Mumbai;2025-12-19;vidit-dominguez-perez-r7.1-mumbai-2025-12-19;10598833;3;D26
Vachier Lagrave, Maxime;2730;Anand, Viswanathan;2727.0;1/2-1/2;77;Mumbai;2025-12-19;vachier-lagrave-anand-r6.3-mumbai-2025-12-19;10598817;3;C53
Mamedyarov, Shakhriyar;2707;Sindarov, Javokhir;2704.0;1-0;58;Mumbai;2025-12-19;mamedyarov-sindarov-r6.3-mumbai-2025-12-19;10598816;3;A06
So, Wesley;2702;Keymer, Vincent;2640.0;1-0;32;Mumbai;2025-12-19;so-keymer-r6.3-mumbai-2025-12-19;10598815;3;C26
Caruana, Fabiano;2751;Firouzja, Alireza;2754.0;1-0;77;Mumbai;2025-12-19;caruana-firouzja-r6.2-mumbai-2025-12-19;10598796;3;A10
Giri, Anish;2685;Wei, Yi;2751.0;1-0;30;Mumbai;2025-12-19;giri-wei-r6.2-mumbai-2025-12-19;10598792;3;A46
Gukesh, Dommaraju;2692;Nakamura, Hikaru;2732.0;0-1;44;Mumbai;2025-12-19;gukesh-nakamura-r6.1-mumbai-2025-12-19;10598789;3;C55
Dominguez Perez, Leinier;2703;Rapport, Richard;2702.0;1/2-1/2;33;Mumbai;2025-12-19;dominguez-perez-rapport-r6.1-mumbai-2025-12-19;10598786;3;B32
Erigaisi, Arjun Kumar;2714;Artemiev, Vladislav;2727.0;1-0;45;Mumbai;2025-12-19;erigaisi-artemiev-r6.1-mumbai-2025-12-19;10598785;3;A46
