,hash,qid,url,topic
0,2d0c3bfc1aa900865df8462b83a3f59a93826f56e5aaf9b3cfd28d8625bfb6aa2893d96d396b90aabf09599ee23a706f,267880963,https://otvet.mail.ru/api/pictures/images/2d0c3bfc1aa900865df8462b83a3f59a93826f56e5aaf9b3cfd28d8625bfb6aa2893d96d396b90aabf09599ee23a706f.jpg?size=origin,Просто установи
1,134d65607da9a17d7acfe4a87f698b75a8f07721ae86c4a5405ea94e4392261c7e1eac915f126ee01233206c89a59895,267880969,https://otvet.mail.ru/api/pictures/images/134d65607da9a17d7acfe4a87f698b75a8f07721ae86c4a5405ea94e4392261c7e1eac915f126ee01233206c89a59895.jpg?size=origin,Тарелка ЗОЖ
2,393a263688f04a45e1c82ddf5da61bbba87e87662d8d7004d1d148da6ab07d9a9ce0dd61e40d23f218cd39e1c00996ac,267881026,https://otvet.mail.ru/api/pictures/images/393a263688f04a45e1c82ddf5da61bbba87e87662d8d7004d1d148da6ab07d9a9ce0dd61e40d23f218cd39e1c00996ac.jpg?size=origin,А сейчас что-то совсем другое
3,7e59e0075e088c027d7921b250fdf2335604156e09604029c6e85178727778570244cf2e3b8b633e6961ac8820866308,267881037,https://otvet.mail.ru/api/pictures/images/7e59e0075e088c027d7921b250fdf2335604156e09604029c6e85178727778570244cf2e3b8b633e6961ac8820866308.jpg?size=origin,Завод
4,21b483e613a294ae9c9e9b34ea485de9cb1a1f80510ca4b8b3d5b42e472c7c51438d9304751a68b5f90fb111638bdb5e,267881046,https://otvet.mail.ru/api/pictures/images/21b483e613a294ae9c9e9b34ea485de9cb1a1f80510ca4b8b3d5b42e472c7c51438d9304751a68b5f90fb111638bdb5e.jpg?size=origin,Политические дебаты
5,914d7a131e14543b76079340ffe5e7a57866cc0751e15876e2f92899866803a16ea9c36eff743ca316c380d72a4d1593,267881084,https://otvet.mail.ru/api/pictures/images/914d7a131e14543b76079340ffe5e7a57866cc0751e15876e2f92899866803a16ea9c36eff743ca316c380d72a4d1593.jpg?size=origin,А сейчас что-то совсем другое
6,6fc524336af0152f399809dabb715a01951179c90e965615b0b02e231351d57da400fa22827ac57cba4f6dabb19979a4,267881144,https://otvet.mail.ru/api/pictures/images/6fc524336af0152f399809dabb715a01951179c90e965615b0b02e231351d57da400fa22827ac57cba4f6dabb19979a4.jpg?size=origin,Киномания
7,86ccc361e8d8a13889a825f4e8b04b404856c1bf3b2482d0c580fb1f9721127971fc57770be649574dcb996c07de7867,267881194,https://otvet.mail.ru/api/pictures/images/86ccc361e8d8a13889a825f4e8b04b404856c1bf3b2482d0c580fb1f9721127971fc57770be649574dcb996c07de7867.jpg?size=origin,А сейчас что-то совсем другое
8,1153cf5e2f71035e0d63658ebaccec35c4a78f0773ee887eccd22e9b2361d2b92310a97ebfdf06c716ef4f680aff2389,267881200,https://otvet.mail.ru/api/pictures/images/1153cf5e2f71035e0d63658ebaccec35c4a78f0773ee887eccd22e9b2361d2b92310a97ebfdf06c716ef4f680aff2389.jpg?size=origin,"Бог, вера, религия"
9,fb626fb98d76256d51de162066d18e7e841b0a7c0caf1eab2d170e1150e2656717bd4f5b4b4396bca904bfc64133bf32,267881257,https://otvet.mail.ru/api/pictures/images/fb626fb98d76256d51de162066d18e7e841b0a7c0caf1eab2d170e1150e2656717bd4f5b4b4396bca904bfc64133bf32.jpg?size=origin,Психология и жизнь
10,07b62fae2e052844ff106054c4476f3c0f0a8838fc3862a6e44b7207fab7c6950cd742fca730ed538eeaf240ef1b64b0,267881277,https://otvet.mail.ru/api/pictures/images/07b62fae2e052844ff106054c4476f3c0f0a8838fc3862a6e44b7207fab7c6950cd742fca730ed538eeaf240ef1b64b0.jpg?size=origin,Время игр
11,87fd7943343c164a864adaa2bed167746d05b51e7ffee1a0b57ee04c5f38edc4ba4b725d9cb7977e7c97e34b14d1fc69,267881309,https://otvet.mail.ru/api/pictures/images/87fd7943343c164a864adaa2bed167746d05b51e7ffee1a0b57ee04c5f38edc4ba4b725d9cb7977e7c97e34b14d1fc69.jpg?size=origin,А сейчас что-то совсем другое
12,2a85495111994a2930c2c834bb8b188a8b49e5a54522d779a95bf779ad6a3a6957c547970744ab0854e2c267c8201e6d,267881467,https://otvet.mail.ru/api/pictures/images/2a85495111994a2930c2c834bb8b188a8b49e5a54522d779a95bf779ad6a3a6957c547970744ab0854e2c267c8201e6d.jpg?size=origin,Трушный спорт
13,c0693cdeabb86cf859dafd3b02b4004da950c6cbbcf50517767d82b0a9e646919bc6748e0a91b220107cf0591efaaaa5,267881512,https://otvet.mail.ru/api/pictures/images/c0693cdeabb86cf859dafd3b02b4004da950c6cbbcf50517767d82b0a9e646919bc6748e0a91b220107cf0591efaaaa5.jpg?size=origin,А сейчас что-то совсем другое
14,44d797e6f3d33282261507c7e1de0dcb472a389c6f788fdc8ba402fe04ca39d741c179220ac4be9ac3a09a48b85e8303,267881522,https://otvet.mail.ru/api/pictures/images/44d797e6f3d33282261507c7e1de0dcb472a389c6f788fdc8ba402fe04ca39d741c179220ac4be9ac3a09a48b85e8303.jpg?size=origin,А сейчас что-то совсем другое
15,f328e07ea7873ca7fd5e42e26fb711a88a6536f8a34a058fc01543f6fe1a40fcc37805767ed3e0403fed2c0e5cbfded9,267881525,https://otvet.mail.ru/api/pictures/images/f328e07ea7873ca7fd5e42e26fb711a88a6536f8a34a058fc01543f6fe1a40fcc37805767ed3e0403fed2c0e5cbfded9.jpg?size=origin,Политические дебаты
16,2386584dbe6e2c62cdb840055f1cc030d14e796623b8a902dfd96f9531a72f76c8bae0ce0d18f243ac4bf0539f62f6d7,267881529,https://otvet.mail.ru/api/pictures/images/2386584dbe6e2c62cdb840055f1cc030d14e796623b8a902dfd96f9531a72f76c8bae0ce0d18f243ac4bf0539f62f6d7.jpg?size=origin,Математика
17,0d6dc4a693e29be1f8d5062f26172f6aee7c796fde56c1d1a4fe2570fdbdd0ec26696f77b37cde1ebc67bf4e2fd2e401,267881577,https://otvet.mail.ru/api/pictures/images/0d6dc4a693e29be1f8d5062f26172f6aee7c796fde56c1d1a4fe2570fdbdd0ec26696f77b37cde1ebc67bf4e2fd2e401.jpg?size=origin,Жизнь в России
