ID,READER,MINUTES,SUBSET,PROJ.,BOOK ID,CH. TITLE,PROJECT TITLE,GENRE
198,19,8.42,train-clean-100,219,121,Chapter 01,Northanger Abbey,Fiction
209,198,8.2,train-clean-100,219,121,Chapter 12,Northanger Abbey,Fiction
216,403,6.3,train-clean-100,219,121,Chapter 19,Northanger Abbey,Fiction
218,89,12.78,train-clean-100,219,121,Chapter 21,Northanger Abbey,Fiction
219,89,12.3,train-clean-100,219,121,Chapter 22,Northanger Abbey,Fiction
222,40,15.59,train-clean-100,219,121,Chapter 25,Northanger Abbey,Fiction
227,19,16.77,train-clean-100,219,121,Chapter 30,Northanger Abbey,Fiction
358,730,9.82,train-clean-100,381,84,10 - Chapter 11,"Frankenstein, or The Modern Prometheus",Fantasy / Sci-Fi
359,730,7.9,train-clean-100,381,84,11 - Chapter 12,"Frankenstein, or The Modern Prometheus",Fantasy / Sci-Fi
360,730,7.48,train-clean-100,381,84,12 - Chapter 13,"Frankenstein, or The Modern Prometheus",Fantasy / Sci-Fi
368,78,10.91,train-clean-100,381,84,20 - Chapter 23,"Frankenstein, or The Modern Prometheus",Fantasy / Sci-Fi
369,78,14.15,train-clean-100,381,84,21 - Chapter 24,"Frankenstein, or The Modern Prometheus",Fantasy / Sci-Fi
407,2952,5.51,train-clean-100,569,1210,Of A Mirror and a Bell,Kwaidan: Stories and Studies of Strange Things,Fantasy / Sci-Fi
408,2952,6.49,train-clean-100,569,1210,Jikininki,Kwaidan: Stories and Studies of Strange Things,Fantasy / Sci-Fi
410,2952,13.02,train-clean-100,569,1210,Rokuro-Kubi,Kwaidan: Stories and Studies of Strange Things,Fantasy / Sci-Fi
495,26,19.32,train-clean-100,629,376,Part 1,Journal of the Plague Year,Fiction
496,26,5.76,train-clean-100,629,376,Part 2,Journal of the Plague Year,Fiction
1240,103,13.44,train-clean-100,1168,45,Mrs. Rachel Lynde Is Surprised,Anne of Green Gables (version 3),Fiction
1241,103,10.28,train-clean-100,1168,45,Matthew Cuthbert Is Surprised,Anne of Green Gables (version 3),Fiction
2476,2436,8.92,train-clean-100,1922,19066,04 - Chapter 04,Brigands of the Moon,Fantasy / Sci-Fi
2477,2436,8.15,train-clean-100,1922,19066,05 - Chapter 05,Brigands of the Moon,Fantasy / Sci-Fi
2481,2436,8.08,train-clean-100,1922,19066,09 - Chapter 09,Brigands of the Moon,Fantasy / Sci-Fi
3054,83,4.44,train-clean-100,2041,3154,Chapter 15,Surprising Adventures of Baron Munchausen,Fiction
3185,6019,25.17,train-clean-100,2116,1831,"The Avenger, part 1",Lock and Key Library,Fiction
4137,32,11.51,train-clean-100,2354,2046,02 - Going to the South,"Clotel, or, The President's Daughter",Fiction
4923,3807,12.9,train-clean-100,2528,3424,Book 02  Macquarie Harbour. 1833. Chapter 10  John Rex's Revenge,For the Term of His Natural Life,Fiction
4955,3807,9.4,train-clean-100,2528,3424,Book 03  Port Arthur. 1838. Chapter 25  The Flight,For the Term of His Natural Life,Fiction
5140,2136,9.15,train-clean-100,2558,14851,A New Face,Uncle Silas,Fiction
5143,2136,7.93,train-clean-100,2558,14851,A Walk In The Wood,Uncle Silas,Fiction
5147,2136,8.11,train-clean-100,2558,14851,Lady Knollys Removes A Coverlet,Uncle Silas,Fiction
5331,3983,12.61,train-clean-100,2575,3322,05 - Ch. 05: Mr. Carlyle's Office,East Lynne,Fiction
5354,2836,12.53,train-clean-100,2575,3322,"28 - Ch. 25: Charming Results, pt 1",East Lynne,Fiction
5355,2836,12.6,train-clean-100,2575,3322,"29 - Ch. 25: Charming Results, pt 2",East Lynne,Fiction
5371,3983,12.41,train-clean-100,2575,3322,"45 - Ch. 35: A Mishap to the Blue Spectacles, pt 2",East Lynne,Fiction
6379,1578,9.94,train-clean-100,2695,21048,04 - The Third Man from the End,Just Patty,Children / Juvenile
7146,4214,17.45,train-clean-100,2759,45,Diana Is Invited to Tea with Tragic Results,Anne of Green Gables (version 5),Fiction
7601,2911,11.63,train-clean-100,2832,2148,"Tell-Tale Heart, The","Works of Edgar Allan Poe, Raven Edition, Volume 2",Fantasy / Sci-Fi
7678,5322,8.93,train-clean-100,2840,4761,20 - Chapter XX,Cossacks,Fiction
7679,5322,8.67,train-clean-100,2840,4761,21 - Chapter XXI,Cossacks,Fiction
7680,5322,7.42,train-clean-100,2840,4761,22 - Chapter XXII,Cossacks,Fiction
7763,7148,8.05,train-clean-100,2850,10378,"Chapter 5, A Crisis in My Mental Historical fiction, Part 1",Autobiography,Non-fiction
8112,3242,8.8,train-clean-100,2907,21510,Chapter 07,Legacy,Fantasy / Sci-Fi
9554,3112,5.43,train-clean-100,3114,5978,Preface,Autobiography of Anthony Trollope,Non-fiction
9555,3112,19.65,train-clean-100,3114,5978,My Education,Autobiography of Anthony Trollope,Non-fiction
9960,83,11.88,train-clean-100,3158,135,Bk 08 Ch 20 part 3,Miserables Vol. 3,Fiction
10594,1970,9.22,train-clean-100,3230,21904,He Will Never Forgive,Millionaire Baby,Mystery / Crime
10927,4051,5.85,train-clean-100,3273,1399,Book 2 Chapter 09,"Anna Karenina, Book 2",Fiction
11217,4051,7.02,train-clean-100,3292,976,The Golden Fleece (Part 3),Tanglewood Tales,Fantasy / Sci-Fi
11218,4051,12.27,train-clean-100,3292,976,The Golden Fleece (Part 4),Tanglewood Tales,Fantasy / Sci-Fi
11549,4160,8.98,train-clean-100,3315,27990,Chapter 4 Part 2: Theo's diary,Theo,Fiction
11550,4160,9.25,train-clean-100,3315,27990,Chapter 5: The separation,Theo,Fiction
11599,3235,5.39,train-clean-100,3318,19499,10- Measure,Music Notation and Terminology,Poetry / Short Form
11691,83,8.73,train-clean-100,3337,27771,10 - Chapter 9 - They are Afraid of Udo,Once on a Time,Fantasy / Sci-Fi
11701,4137,11.42,train-clean-100,3337,27771,20 - Chapter 19 - Udo Behaves Like a Gentleman,Once on a Time,Fantasy / Sci-Fi
11702,4137,13.5,train-clean-100,3337,27771,21 - Chapter 20 - Coronel Knows a Good Story when he Hears it,Once on a Time,Fantasy / Sci-Fi
11714,3664,7.39,train-clean-100,3339,2741,1-02 - The Borgias: Prologue,"Celebrated Crimes, Vol. 1",Mystery / Crime
