BOOK ID,image,scene,characters,style,attributes
16,book_illustrations\16\cover.jpg,"драматичная сцена сражения на пиратском корабле","Питер Пэн, капитан Крюк","классический стиль","сепия, экшн, штамп библиотеки"
45,book_illustrations\45\cover.jpg,"девочка стоит на мосту посреди весеннего пейзажа","девочка","сказочный стиль","цветы, яркие краски, стилизованные деревья"
47,book_illustrations\47\cover.jpg,"портрет женщины на коричневой обложке","женщина","реалистичная живопись, винтаж","приглушённые цвета, формальный стиль, начало XX века"
59,,,,,
60,book_illustrations\60\cover.jpg,"портрет мужчины и женщины","женщина, мужчина","реалистичная живопись, темные цвета","трость, шляпа, аристократская одежда"
62,book_illustrations\62\cover.jpg,инопланетный дворец с жёлтыми стенами и символами,"мужчина в броне, готовится к бою; женщина в красном платье, держится за него",реалистичная живопись в стиле pulp-иллюстрации начала XX века,"меч, ремни, футуристическая одежда, барельеф на стене"
62,book_illustrations\62\img-142.jpg,"интерьер большого судна или боевой колесницы, окружённый воином в доспехах и мрачными фигурами, в тумане или дымке","мужчина в ремнях с повязкой на груди, фигура в капюшоне, воин в доспехах, несколько фигур на заднем плане с копьями","реалистичная живопись, черно-белая", военная аттрибутика
62,book_illustrations\62\img-178.jpg,,,,
62,book_illustrations\62\img-224.jpg,,,,
62,book_illustrations\62\img-front.jpg,,,,
73,book_illustrations\73\cover.jpg,,,,
83,book_illustrations\83\cover.jpg,,,,
84,book_illustrations\84\cover.jpg,,,,
98,book_illustrations\98\0471m.jpg,,,,
98,book_illustrations\98\0403m.jpg,,,,
98,book_illustrations\98\0404m.jpg,,,,
98,book_illustrations\98\0414m.jpg,,,,
98,book_illustrations\98\0442m.jpg,,,,
98,book_illustrations\98\0465m.jpg,,,,
98,book_illustrations\98\cover.jpg,,,,
98,book_illustrations\98\0496m.jpg,,,,
98,book_illustrations\98\0653m.jpg,,,,
98,book_illustrations\98\0524m.jpg,,,,
98,book_illustrations\98\0686m.jpg,,,,
98,book_illustrations\98\0544m.jpg,,,,
98,book_illustrations\98\0576m.jpg,,,,
98,book_illustrations\98\0535m.jpg,,,,
98,book_illustrations\98\0616m.jpg,,,,
98,book_illustrations\98\0649m.jpg,,,,
98,book_illustrations\98\0592m.jpg,,,,
120,book_illustrations\120\9122m.jpg,,,,
120,book_illustrations\120\9062m.jpg,,,,
120,book_illustrations\120\9114m.jpg,,,,
120,book_illustrations\120\9106m.jpg,,,,
120,book_illustrations\120\9098m.jpg,,,,
120,book_illustrations\120\9090m.jpg,,,,
120,book_illustrations\120\9083m.jpg,,,,
120,book_illustrations\120\9070m.jpg,,,,
120,book_illustrations\120\9054m.jpg,,,,
120,book_illustrations\120\0289m.jpg,,,,
120,book_illustrations\120\9037m.jpg,,,,
120,book_illustrations\120\9029m.jpg,,,,
120,book_illustrations\120\0317m.jpg,,,,
120,book_illustrations\120\0314m.jpg,,,,
120,book_illustrations\120\0306m.jpg,,,,
120,book_illustrations\120\0301m.jpg,,,,
120,book_illustrations\120\0298m.jpg,,,,
120,book_illustrations\120\0291m.jpg,,,,
120,book_illustrations\120\9133m.jpg,,,,
120,book_illustrations\120\9046m.jpg,,,,
120,book_illustrations\120\9140m.jpg,,,,
120,book_illustrations\120\9271m.jpg,,,,
120,book_illustrations\120\9161m.jpg,,,,
120,book_illustrations\120\enlarge.jpg,,,,
120,book_illustrations\120\cover.jpg,,,,
120,book_illustrations\120\9314m.jpg,,,,
120,book_illustrations\120\9306m.jpg,,,,
120,book_illustrations\120\9298m.jpg,,,,
120,book_illustrations\120\9289m.jpg,,,,
120,book_illustrations\120\9280m.jpg,,,,
120,book_illustrations\120\0285m.jpg,,,,
120,book_illustrations\120\9261m.jpg,,,,
120,book_illustrations\120\9150m.jpg,,,,
120,book_illustrations\120\9251m.jpg,,,,
120,book_illustrations\120\9234m.jpg,,,,
120,book_illustrations\120\9226m.jpg,,,,
120,book_illustrations\120\9217m.jpg,,,,
120,book_illustrations\120\9209m.jpg,,,,
120,book_illustrations\120\9198m.jpg,,,,
120,book_illustrations\120\9190m.jpg,,,,
120,book_illustrations\120\9182m.jpg,,,,
120,book_illustrations\120\9175m.jpg,,,,
120,book_illustrations\120\9168m.jpg,,,,
120,book_illustrations\120\9241m.jpg,,,,
120,book_illustrations\120\0280m.jpg,,,,
