emo,bbox_x,bbox_y,bbox_width,bbox_height,image_name,image_width,image_height
удивление,269,3,626,530,Быков о как.png,1098,776
удивление,623,109,175,103,Быков о как.png,1098,776
удивление,388,19,204,142,Быков о как.png,1098,776
сарказм,924,156,195,258,Ну да ну да пошел я.png,1920,1080
сарказм,655,455,931,625,Ну да ну да пошел я.png,1920,1080
сарказм,648,97,935,978,Ну да ну да пошел я.png,1920,1080
сарказм,954,317,104,52,Ну да ну да пошел я.png,1920,1080
сарказм,929,217,72,57,Ну да ну да пошел я.png,1920,1080
сарказм,1003,220,84,57,Ну да ну да пошел я.png,1920,1080
радость,351,2,1162,1078,Повар спрашивает повара.png,1920,1080
радость,648,700,448,312,Повар спрашивает повара.png,1920,1080
радость,856,129,324,278,Повар спрашивает повара.png,1920,1080
радость,392,247,297,362,Повар спрашивает повара.png,1920,1080
радость,680,405,258,206,Повар спрашивает повара.png,1920,1080
мотивация,655,125,609,704,Стетхем мотивация.png,1920,1080
мотивация,825,120,292,392,Стетхем мотивация.png,1920,1080
мотивация,974,265,91,52,Стетхем мотивация.png,1920,1080
мотивация,1078,265,43,54,Стетхем мотивация.png,1920,1080
мотивация,843,143,260,97,Стетхем мотивация.png,1920,1080
мотивация,1065,374,154,233,Стетхем мотивация.png,1920,1080
мотивация,1157,641,106,66,Стетхем мотивация.png,1920,1080
гнев,920,7,996,1069,Я тебя захуярю.png,1920,1080
гнев,929,16,485,715,Я тебя захуярю.png,1920,1080
гнев,990,251,174,88,Я тебя захуярю.png,1920,1080
гнев,1019,507,136,70,Я тебя захуярю.png,1920,1080
грусть,96,2,1032,1071,Я тоже хочу шоколадку.png,1920,1080
грусть,521,129,272,376,Я тоже хочу шоколадку.png,1920,1080
грусть,621,374,122,66,Я тоже хочу шоколадку.png,1920,1080
грусть,557,251,113,52,Я тоже хочу шоколадку.png,1920,1080
грусть,696,224,79,70,Я тоже хочу шоколадку.png,1920,1080
грусть,306,430,623,607,Я тоже хочу шоколадку.png,1920,1080
