"agreement","annotation_id","annotator","created_at","id","lead_time","sentiment","text","updated_at"
100.0,63471172,"casil.pablo@gmail.com","2025-06-17T11:18:57.236381Z",187584183,4.235,"Neutral","Алан, спасибо, что уделил мне время.","2025-06-17T11:18:57.236390Z"
100.0,63471204,"casil.pablo@gmail.com","2025-06-17T11:19:17.640118Z",187584184,15.912,"Positive","Да без проблем.","2025-06-17T11:19:17.640126Z"
100.0,63471209,"casil.pablo@gmail.com","2025-06-17T11:19:21.430419Z",187584185,1.469,"Neutral","А что за повод?","2025-06-17T11:19:21.430430Z"
100.0,63471216,"casil.pablo@gmail.com","2025-06-17T11:19:25.396667Z",187584186,1.148,"Neutral","Я бы хотела поговорить о твоей работе.","2025-06-17T11:19:25.396678Z"
100.0,63471221,"casil.pablo@gmail.com","2025-06-17T11:19:29.080885Z",187584187,1.353,"Neutral","А, всё в порядке?","2025-06-17T11:19:29.080898Z"
100.0,63471229,"casil.pablo@gmail.com","2025-06-17T11:19:36.330619Z",187584188,4.979,"Neutral","Более чем.","2025-06-17T11:19:36.330628Z"
100.0,63471235,"casil.pablo@gmail.com","2025-06-17T11:19:40.992332Z",187584189,2.449,"Positive","Алан, ты отлично справляешься. Твоя активность очень похвальна.","2025-06-17T11:19:40.992341Z"
100.0,63471239,"casil.pablo@gmail.com","2025-06-17T11:19:44.869937Z",187584190,1.504,"Positive","Большое спасибо. Это много для меня значит.","2025-06-17T11:19:44.869947Z"
100.0,63471245,"casil.pablo@gmail.com","2025-06-17T11:19:52.565838Z",187584191,4.945,"Positive","Да, ты постоянно справляешься со своими KPI, как и с другими показателями эффективности.","2025-06-17T11:19:52.565853Z"
100.0,63471250,"casil.pablo@gmail.com","2025-06-17T11:19:56.739925Z",187584192,1.719,"Neutral","Да, я очень стараюсь.","2025-06-17T11:19:56.739939Z"
100.0,63471258,"casil.pablo@gmail.com","2025-06-17T11:20:01.766946Z",187584193,6.123,"Neutral","Да, и это видно.","2025-06-17T11:20:01.766955Z"
100.0,63471264,"casil.pablo@gmail.com","2025-06-17T11:20:09.530283Z",187584194,4.591,"Positive","А ещё, в качестве знака, что мы видим твоё усердие, нам хочется слегка наградить тебя.","2025-06-17T11:20:09.530296Z"
100.0,63471268,"casil.pablo@gmail.com","2025-06-17T11:20:14.572809Z",187584195,2.316,"Positive","О, хорошо.","2025-06-17T11:20:14.572818Z"
100.0,63471275,"casil.pablo@gmail.com","2025-06-17T11:20:20.538430Z",187584196,3.761,"Neutral","Я бы хотела, чтобы ты брал больше обязанностей по управлению магазином.","2025-06-17T11:20:20.538438Z"
100.0,63471284,"casil.pablo@gmail.com","2025-06-17T11:20:25.375093Z",187584197,1.627,"Positive","Ну, я буду рад попробовать.","2025-06-17T11:20:25.375102Z"
100.0,63471292,"casil.pablo@gmail.com","2025-06-17T11:20:29.498993Z",187584198,1.68,"Positive","Потрясающе.","2025-06-17T11:20:29.499006Z"
100.0,63471299,"casil.pablo@gmail.com","2025-06-17T11:20:36.038411Z",187584199,3.767,"Neutral","Тогда, для начала, я бы хотела официально закрепить за тобой обязанность по открытию и закрытию магазина по будням.","2025-06-17T11:20:36.038419Z"
100.0,63471305,"casil.pablo@gmail.com","2025-06-17T11:20:40.289501Z",187584200,1.902,"Neutral","Это я могу.","2025-06-17T11:20:40.289512Z"
100.0,63471332,"casil.pablo@gmail.com","2025-06-17T11:21:18.030262Z",187584201,3.686,"Neutral","Кроме того, ты будешь главным по инвентаризации.","2025-06-17T11:21:18.030272Z"
100.0,63471334,"casil.pablo@gmail.com","2025-06-17T11:21:21.903485Z",187584202,1.601,"Neutral","Тогда мы будем уверены, что у нас достаточно нужных товаров, ну и так далее.","2025-06-17T11:21:21.903493Z"
100.0,63471339,"casil.pablo@gmail.com","2025-06-17T11:21:25.807193Z",187584203,1.508,"Neutral","Хорошо.","2025-06-17T11:21:25.807205Z"
100.0,63471344,"casil.pablo@gmail.com","2025-06-17T11:21:29.325344Z",187584204,1.285,"Positive","Супер.","2025-06-17T11:21:29.325354Z"
100.0,63471353,"casil.pablo@gmail.com","2025-06-17T11:21:34.994656Z",187584205,3.285,"Neutral","Ещё ты будешь главным по доставке, то есть ты будешь","2025-06-17T11:21:34.994665Z"
100.0,63471358,"casil.pablo@gmail.com","2025-06-17T11:21:38.848695Z",187584206,1.339,"Neutral","руководить Байроном и следить, чтобы он эффективно работал.","2025-06-17T11:21:38.848706Z"
100.0,63471364,"casil.pablo@gmail.com","2025-06-17T11:21:43.384778Z",187584207,2.32,"Negative","Оу, эээ, ну ладно.","2025-06-17T11:21:43.384793Z"
100.0,63471368,"casil.pablo@gmail.com","2025-06-17T11:21:47.240577Z",187584208,1.737,"Positive","Чудесно.","2025-06-17T11:21:47.240587Z"
100.0,63471373,"casil.pablo@gmail.com","2025-06-17T11:21:53.600621Z",187584209,4.085,"Neutral","Далее я повышаю тебя до главного по коммуникации.","2025-06-17T11:21:53.600633Z"
100.0,63471380,"casil.pablo@gmail.com","2025-06-17T11:21:59.200997Z",187584210,1.513,"Neutral","Таким образом ты будешь отвечать на письма, давать","2025-06-17T11:21:59.201009Z"
100.0,63471382,"casil.pablo@gmail.com","2025-06-17T11:22:02.712209Z",187584211,1.283,"Neutral","обратную связь покупателям и клиентам.","2025-06-17T11:22:02.712219Z"
