#FORMAT=WebAnno TSV 3.3
#T_SP=webanno.custom.BirdNER|canonical_form|label|species_id


#Text=Barn swallow\r
#Text=\r
#Text=The barn swallow is the most widespread species of swallow in the world, occurring on all continents, with vagrants reported even in Antarctica.
1-1	0-4	Barn	_	_	_	
1-2	5-12	swallow	_	_	_	
1-3	16-19	The	_	_	_	
1-4	20-24	barn	Hirundo rustica[1]	BIRD\_SPECIES[1]	SP006[1]	
1-5	25-32	swallow	Hirundo rustica[1]	BIRD\_SPECIES[1]	SP006[1]	
1-6	33-35	is	_	_	_	
1-7	36-39	the	_	_	_	
1-8	40-44	most	_	_	_	
1-9	45-55	widespread	_	_	_	
1-10	56-63	species	_	_	_	
1-11	64-66	of	_	_	_	
1-12	67-74	swallow	_	_	_	
1-13	75-77	in	_	_	_	
1-14	78-81	the	_	_	_	
1-15	82-87	world	_	_	_	
1-16	87-88	,	_	_	_	
1-17	89-98	occurring	*[2]	BEHAVIOR[2]	*[2]	
1-18	99-101	on	*[2]	BEHAVIOR[2]	*[2]	
1-19	102-105	all	*[3]	HABITAT[3]	*[3]	
1-20	106-116	continents	*[3]	HABITAT[3]	*[3]	
1-21	116-117	,	_	_	_	
1-22	118-122	with	_	_	_	
1-23	123-131	vagrants	_	_	_	
1-24	132-140	reported	_	_	_	
1-25	141-145	even	_	_	_	
1-26	146-148	in	_	_	_	
1-27	149-159	Antarctica	*	HABITAT	*	
1-28	159-160	.	_	_	_	

#Text=It is a distinctive passerine bird with blue upperparts and a long, deeply forked tail.
2-1	161-163	It	_	_	_	
2-2	164-166	is	_	_	_	
2-3	167-168	a	_	_	_	
2-4	169-180	distinctive	_	_	_	
2-5	181-190	passerine	_	_	_	
2-6	191-195	bird	_	_	_	
2-7	196-200	with	_	_	_	
2-8	201-205	blue	*[4]	COLOR\_FEATURE[4]	*[4]	
2-9	206-216	upperparts	*[4]	COLOR\_FEATURE[4]	*[4]	
2-10	217-220	and	_	_	_	
2-11	221-222	a	_	_	_	
2-12	223-227	long	*[5]	COLOR\_FEATURE[5]	*[5]	
2-13	227-228	,	*[5]	COLOR\_FEATURE[5]	*[5]	
2-14	229-235	deeply	*[5]	COLOR\_FEATURE[5]	*[5]	
2-15	236-242	forked	*[5]	COLOR\_FEATURE[5]	*[5]	
2-16	243-247	tail	*[5]	COLOR\_FEATURE[5]	*[5]	
2-17	247-248	.	_	_	_	

#Text=In Anglophone Europe, it is just called the swallow; in northern Europe, it is the only member of family Hirundinidae called a "swallow" rather than a "martin".
3-1	249-251	In	_	_	_	
3-2	252-262	Anglophone	*[6]	HABITAT[6]	*[6]	
3-3	263-269	Europe	*[6]	HABITAT[6]	*[6]	
3-4	269-270	,	_	_	_	
3-5	271-273	it	_	_	_	
3-6	274-276	is	_	_	_	
3-7	277-281	just	_	_	_	
3-8	282-288	called	_	_	_	
3-9	289-292	the	_	_	_	
3-10	293-300	swallow	_	_	_	
3-11	300-301	;	_	_	_	
3-12	302-304	in	_	_	_	
3-13	305-313	northern	*[7]	HABITAT[7]	*[7]	
3-14	314-320	Europe	*[7]	HABITAT[7]	*[7]	
3-15	320-321	,	_	_	_	
3-16	322-324	it	_	_	_	
3-17	325-327	is	_	_	_	
3-18	328-331	the	_	_	_	
3-19	332-336	only	_	_	_	
3-20	337-343	member	_	_	_	
3-21	344-346	of	_	_	_	
3-22	347-353	family	_	_	_	
3-23	354-366	Hirundinidae	_	_	_	
3-24	367-373	called	_	_	_	
3-25	374-375	a	_	_	_	
3-26	376-377	"	_	_	_	
3-27	377-384	swallow	_	_	_	
3-28	384-385	"	_	_	_	
3-29	386-392	rather	_	_	_	
3-30	393-397	than	_	_	_	
3-31	398-399	a	_	_	_	
3-32	400-401	"	_	_	_	
3-33	401-407	martin	_	_	_	
3-34	407-408	"	_	_	_	
3-35	408-409	.	_	_	_	
