species_id,ru_name,latin_name,gbif_taxon_key,text_status,image_status,audio_status,notes
SP001,Домовый воробей,Passer domesticus,5231190,done,done,done,
SP002,Обыкновенный скворец,Sturnus vulgaris,5232052,done,done,done,
SP003,Большая синица,Parus major,2490291,done,done,done,
SP004,Серая ворона,Corvus cornix,2482458,done,done,done,
SP005,Обыкновенная кукушка,Cuculus canorus,2484243,done,done,done,
SP006,Ласточка деревенская,Hirundo rustica,2482869,done,done,done,
SP007,Обыкновенный соловей,Luscinia luscinia,2492514,done,done,done,
SP008,Белая трясогузка,Motacilla alba,2481687,done,done,done,
SP009,Обыкновенный зяблик,Fringilla coelebs,2492097,done,done,done,
SP010,Обыкновенный дрозд,Turdus philomelos,2493675,done,done,done,
